date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,28
2020-03-22 00:00:00,152
2020-03-29 00:00:00,700
2020-04-05 00:00:00,1025
2020-04-12 00:00:00,1762
2020-04-19 00:00:00,1311
2020-04-26 00:00:00,1497
2020-05-03 00:00:00,1502
2020-05-10 00:00:00,2005
2020-05-17 00:00:00,2155
2020-05-24 00:00:00,2539
2020-05-31 00:00:00,3524
2020-06-07 00:00:00,2577
2020-06-14 00:00:00,5405
2020-06-21 00:00:00,3940
2020-06-28 00:00:00,6381
2020-07-05 00:00:00,7519
2020-07-12 00:00:00,10759
2020-07-19 00:00:00,12952
2020-07-26 00:00:00,12215
2020-08-02 00:00:00,11510
2020-08-09 00:00:00,10008
2020-08-16 00:00:00,6201
2020-08-23 00:00:00,7818
2020-08-30 00:00:00,9459
2020-09-06 00:00:00,6746
2020-09-13 00:00:00,6171
2020-09-20 00:00:00,6464
2020-09-27 00:00:00,7279
2020-10-04 00:00:00,7113
2020-10-11 00:00:00,6697
2020-10-18 00:00:00,7588
2020-10-25 00:00:00,11721
2020-11-01 00:00:00,9735
2020-11-08 00:00:00,10207
2020-11-15 00:00:00,13157
2020-11-22 00:00:00,14684
2020-11-29 00:00:00,14723
2020-12-06 00:00:00,22648
2020-12-13 00:00:00,25754
2020-12-20 00:00:00,26821
2020-12-27 00:00:00,23176
2021-01-03 00:00:00,26306
2021-01-10 00:00:00,29966
2021-01-17 00:00:00,20698
2021-01-24 00:00:00,18572
2021-01-31 00:00:00,18469
2021-02-07 00:00:00,12784
2021-02-14 00:00:00,8508
2021-02-21 00:00:00,5912
2021-02-28 00:00:00,6409
2021-03-07 00:00:00,6567
2021-03-14 00:00:00,3854
2021-03-21 00:00:00,7787
2021-03-28 00:00:00,2931
2021-04-04 00:00:00,2418
2021-04-11 00:00:00,2090
2021-04-18 00:00:00,3502
2021-04-25 00:00:00,3730
2021-05-02 00:00:00,2466
2021-05-09 00:00:00,2391
2021-05-16 00:00:00,9095
2021-05-23 00:00:00,2041
2021-05-30 00:00:00,1281
2021-06-06 00:00:00,2180
2021-06-13 00:00:00,1738
2021-06-20 00:00:00,1334
2021-06-27 00:00:00,1277
2021-07-04 00:00:00,1364
2021-07-11 00:00:00,3307
2021-07-18 00:00:00,5597
2021-07-25 00:00:00,10465
2021-08-01 00:00:00,16738
2021-08-08 00:00:00,19804
2021-08-15 00:00:00,27688
2021-08-22 00:00:00,28168
2021-08-29 00:00:00,28386
2021-09-05 00:00:00,30671
2021-09-12 00:00:00,25484
2021-09-19 00:00:00,22785
2021-09-26 00:00:00,18663
2021-10-03 00:00:00,11638
2021-10-10 00:00:00,7440
2021-10-17 00:00:00,5893
2021-10-24 00:00:00,5986
2021-10-31 00:00:00,12036
2021-11-07 00:00:00,3985
2021-11-14 00:00:00,3663
2021-11-21 00:00:00,3213
2021-11-28 00:00:00,2200
2021-12-05 00:00:00,3390
2021-12-12 00:00:00,3782
2021-12-19 00:00:00,5564
2021-12-26 00:00:00,11104
2022-01-02 00:00:00,40593
2022-01-09 00:00:00,69091
2022-01-16 00:00:00,77846
2022-01-23 00:00:00,90716
2022-01-30 00:00:00,65604
2022-02-06 00:00:00,29622
2022-02-13 00:00:00,20652
2022-02-20 00:00:00,10020
2022-02-27 00:00:00,6272
2022-03-06 00:00:00,3581
2022-03-13 00:00:00,6054
2022-03-20 00:00:00,2187
2022-03-27 00:00:00,1322
2022-04-03 00:00:00,2960
2022-04-10 00:00:00,1262
2022-04-17 00:00:00,1139
2022-04-24 00:00:00,1268
2022-05-01 00:00:00,1596
2022-05-08 00:00:00,1664
2022-05-15 00:00:00,2313
2022-05-22 00:00:00,3173
2022-05-29 00:00:00,4554
2022-06-05 00:00:00,4592
2022-06-12 00:00:00,8332
2022-06-19 00:00:00,9620
2022-06-26 00:00:00,11287
2022-07-03 00:00:00,12783
2022-07-10 00:00:00,14633
2022-07-17 00:00:00,16649
2022-07-24 00:00:00,17366
2022-07-31 00:00:00,16712
2022-08-07 00:00:00,12047
2022-08-14 00:00:00,13354
2022-08-21 00:00:00,14121
2022-08-28 00:00:00,15672
2022-09-04 00:00:00,14695
2022-09-11 00:00:00,9880
2022-09-18 00:00:00,7954
2022-09-25 00:00:00,5770
2022-10-02 00:00:00,4231
2022-10-09 00:00:00,3589
2022-10-16 00:00:00,3015
2022-10-23 00:00:00,2566
2022-10-30 00:00:00,2982
2022-11-06 00:00:00,0
2022-11-13 00:00:00,6042
2022-11-20 00:00:00,1898
2022-11-27 00:00:00,2872
2022-12-04 00:00:00,4186
2022-12-11 00:00:00,5807
2022-12-18 00:00:00,6465
2022-12-25 00:00:00,7377
2023-01-01 00:00:00,0
2023-01-08 00:00:00,18290
2023-01-15 00:00:00,8925
2023-01-22 00:00:00,6742
2023-01-29 00:00:00,7644
2023-02-05 00:00:00,7315
2023-02-12 00:00:00,9820
2023-02-19 00:00:00,6073
2023-02-26 00:00:00,4605
2023-03-05 00:00:00,3714
