date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,1
2020-03-22 00:00:00,25
2020-03-29 00:00:00,85
2020-04-05 00:00:00,76
2020-04-12 00:00:00,89
2020-04-19 00:00:00,48
2020-04-26 00:00:00,22
2020-05-03 00:00:00,27
2020-05-10 00:00:00,13
2020-05-17 00:00:00,22
2020-05-24 00:00:00,15
2020-05-31 00:00:00,61
2020-06-07 00:00:00,111
2020-06-14 00:00:00,148
2020-06-21 00:00:00,127
2020-06-28 00:00:00,200
2020-07-05 00:00:00,312
2020-07-12 00:00:00,402
2020-07-19 00:00:00,513
2020-07-26 00:00:00,846
2020-08-02 00:00:00,870
2020-08-09 00:00:00,510
2020-08-16 00:00:00,583
2020-08-23 00:00:00,513
2020-08-30 00:00:00,515
2020-09-06 00:00:00,544
2020-09-13 00:00:00,512
2020-09-20 00:00:00,599
2020-09-27 00:00:00,709
2020-10-04 00:00:00,914
2020-10-11 00:00:00,1285
2020-10-18 00:00:00,1343
2020-10-25 00:00:00,2035
2020-11-01 00:00:00,2634
2020-11-08 00:00:00,3125
2020-11-15 00:00:00,3992
2020-11-22 00:00:00,3971
2020-11-29 00:00:00,4290
2020-12-06 00:00:00,4975
2020-12-13 00:00:00,4107
2020-12-20 00:00:00,2727
2020-12-27 00:00:00,1904
2021-01-03 00:00:00,2318
2021-01-10 00:00:00,2120
2021-01-17 00:00:00,1721
2021-01-24 00:00:00,1377
2021-01-31 00:00:00,1014
2021-02-07 00:00:00,911
2021-02-14 00:00:00,1150
2021-02-21 00:00:00,995
2021-02-28 00:00:00,890
2021-03-07 00:00:00,1039
2021-03-14 00:00:00,932
2021-03-21 00:00:00,898
2021-03-28 00:00:00,1099
2021-04-04 00:00:00,1237
2021-04-11 00:00:00,1281
2021-04-18 00:00:00,1139
2021-04-25 00:00:00,1138
2021-05-02 00:00:00,1089
2021-05-09 00:00:00,732
2021-05-16 00:00:00,584
2021-05-23 00:00:00,438
2021-05-30 00:00:00,306
2021-06-06 00:00:00,261
2021-06-13 00:00:00,183
2021-06-20 00:00:00,223
2021-06-27 00:00:00,160
2021-07-04 00:00:00,349
2021-07-11 00:00:00,347
2021-07-18 00:00:00,709
2021-07-25 00:00:00,1378
2021-08-01 00:00:00,1668
2021-08-08 00:00:00,2100
2021-08-15 00:00:00,2237
2021-08-22 00:00:00,3333
2021-08-29 00:00:00,3597
2021-09-05 00:00:00,3889
2021-09-12 00:00:00,4533
2021-09-19 00:00:00,5185
2021-09-26 00:00:00,7319
2021-10-03 00:00:00,8024
2021-10-10 00:00:00,5645
2021-10-17 00:00:00,6419
2021-10-24 00:00:00,5505
2021-10-31 00:00:00,4615
2021-11-07 00:00:00,4231
2021-11-14 00:00:00,3049
2021-11-21 00:00:00,2916
2021-11-28 00:00:00,2004
2021-12-05 00:00:00,1897
2021-12-12 00:00:00,1441
2021-12-19 00:00:00,1214
2021-12-26 00:00:00,655
2022-01-02 00:00:00,1875
2022-01-09 00:00:00,8184
2022-01-16 00:00:00,13265
2022-01-23 00:00:00,16727
2022-01-30 00:00:00,17051
2022-02-06 00:00:00,12516
2022-02-13 00:00:00,7190
2022-02-20 00:00:00,3854
2022-02-27 00:00:00,2727
2022-03-06 00:00:00,2106
2022-03-13 00:00:00,2608
2022-03-20 00:00:00,1490
2022-03-27 00:00:00,945
2022-04-03 00:00:00,1907
2022-04-10 00:00:00,936
2022-04-17 00:00:00,1303
2022-04-24 00:00:00,1528
2022-05-01 00:00:00,1496
2022-05-08 00:00:00,1464
2022-05-15 00:00:00,1623
2022-05-22 00:00:00,1950
2022-05-29 00:00:00,2020
2022-06-05 00:00:00,2012
2022-06-12 00:00:00,2485
2022-06-19 00:00:00,2175
2022-06-26 00:00:00,2580
2022-07-03 00:00:00,3104
2022-07-10 00:00:00,2907
2022-07-17 00:00:00,2996
2022-07-24 00:00:00,2885
2022-07-31 00:00:00,2440
2022-08-07 00:00:00,3160
2022-08-14 00:00:00,2229
2022-08-21 00:00:00,1849
2022-08-28 00:00:00,2195
2022-09-04 00:00:00,1422
2022-09-11 00:00:00,1098
2022-09-18 00:00:00,1209
2022-09-25 00:00:00,757
2022-10-02 00:00:00,616
2022-10-09 00:00:00,691
2022-10-16 00:00:00,565
2022-10-23 00:00:00,356
2022-10-30 00:00:00,387
2022-11-06 00:00:00,367
2022-11-13 00:00:00,0
2022-11-20 00:00:00,390
2022-11-27 00:00:00,430
2022-12-04 00:00:00,398
2022-12-11 00:00:00,496
2022-12-18 00:00:00,354
2022-12-25 00:00:00,380
2023-01-01 00:00:00,333
2023-01-08 00:00:00,371
2023-01-15 00:00:00,469
2023-01-22 00:00:00,649
2023-01-29 00:00:00,654
2023-02-05 00:00:00,793
2023-02-12 00:00:00,692
2023-02-19 00:00:00,786
2023-02-26 00:00:00,777
2023-03-05 00:00:00,450
