date,OT
2020-03-08 00:00:00,3
2020-03-15 00:00:00,8
2020-03-22 00:00:00,140
2020-03-29 00:00:00,767
2020-04-05 00:00:00,1350
2020-04-12 00:00:00,1273
2020-04-19 00:00:00,1391
2020-04-26 00:00:00,1601
2020-05-03 00:00:00,2106
2020-05-10 00:00:00,2479
2020-05-17 00:00:00,2826
2020-05-24 00:00:00,2432
2020-05-31 00:00:00,3559
2020-06-07 00:00:00,7053
2020-06-14 00:00:00,8717
2020-06-21 00:00:00,16885
2020-06-28 00:00:00,21329
2020-07-05 00:00:00,24183
2020-07-12 00:00:00,24364
2020-07-19 00:00:00,21157
2020-07-26 00:00:00,18390
2020-08-02 00:00:00,16453
2020-08-09 00:00:00,8456
2020-08-16 00:00:00,6614
2020-08-23 00:00:00,4566
2020-08-30 00:00:00,3558
2020-09-06 00:00:00,4106
2020-09-13 00:00:00,2745
2020-09-20 00:00:00,5509
2020-09-27 00:00:00,3216
2020-10-04 00:00:00,3517
2020-10-11 00:00:00,4821
2020-10-18 00:00:00,5574
2020-10-25 00:00:00,7014
2020-11-01 00:00:00,9310
2020-11-08 00:00:00,11791
2020-11-15 00:00:00,16172
2020-11-22 00:00:00,24229
2020-11-29 00:00:00,26330
2020-12-06 00:00:00,38281
2020-12-13 00:00:00,44166
2020-12-20 00:00:00,45155
2020-12-27 00:00:00,40740
2021-01-03 00:00:00,62047
2021-01-10 00:00:00,62162
2021-01-17 00:00:00,55336
2021-01-24 00:00:00,48692
2021-01-31 00:00:00,35830
2021-02-07 00:00:00,22233
2021-02-14 00:00:00,16633
2021-02-21 00:00:00,10697
2021-02-28 00:00:00,8815
2021-03-07 00:00:00,9672
2021-03-14 00:00:00,6289
2021-03-21 00:00:00,3510
2021-03-28 00:00:00,3635
2021-04-04 00:00:00,4414
2021-04-11 00:00:00,5259
2021-04-18 00:00:00,4200
2021-04-25 00:00:00,4976
2021-05-02 00:00:00,5190
2021-05-09 00:00:00,4903
2021-05-16 00:00:00,4148
2021-05-23 00:00:00,3754
2021-05-30 00:00:00,3734
2021-06-06 00:00:00,3355
2021-06-13 00:00:00,2931
2021-06-20 00:00:00,2975
2021-06-27 00:00:00,3420
2021-07-04 00:00:00,3813
2021-07-11 00:00:00,4479
2021-07-18 00:00:00,6809
2021-07-25 00:00:00,8920
2021-08-01 00:00:00,12373
2021-08-08 00:00:00,16513
2021-08-15 00:00:00,19408
2021-08-22 00:00:00,20620
2021-08-29 00:00:00,21772
2021-09-05 00:00:00,22576
2021-09-12 00:00:00,18170
2021-09-19 00:00:00,18203
2021-09-26 00:00:00,17566
2021-10-03 00:00:00,18053
2021-10-10 00:00:00,16179
2021-10-17 00:00:00,13375
2021-10-24 00:00:00,17848
2021-10-31 00:00:00,19076
2021-11-07 00:00:00,20808
2021-11-14 00:00:00,24711
2021-11-21 00:00:00,27459
2021-11-28 00:00:00,22970
2021-12-05 00:00:00,27206
2021-12-12 00:00:00,24135
2021-12-19 00:00:00,20617
2021-12-26 00:00:00,18246
2022-01-02 00:00:00,35357
2022-01-09 00:00:00,87074
2022-01-16 00:00:00,89709
2022-01-23 00:00:00,185360
2022-01-30 00:00:00,105833
2022-02-06 00:00:00,59649
2022-02-13 00:00:00,32449
2022-02-20 00:00:00,17219
2022-02-27 00:00:00,9188
2022-03-06 00:00:00,3879
2022-03-13 00:00:00,6549
2022-03-20 00:00:00,5153
2022-03-27 00:00:00,4566
2022-04-03 00:00:00,10143
2022-04-10 00:00:00,6840
2022-04-17 00:00:00,2777
2022-04-24 00:00:00,2377
2022-05-01 00:00:00,2350
2022-05-08 00:00:00,3911
2022-05-15 00:00:00,5490
2022-05-22 00:00:00,7204
2022-05-29 00:00:00,11498
2022-06-05 00:00:00,13042
2022-06-12 00:00:00,14677
2022-06-19 00:00:00,16334
2022-06-26 00:00:00,15373
2022-07-03 00:00:00,16514
2022-07-10 00:00:00,20198
2022-07-17 00:00:00,15280
2022-07-24 00:00:00,18135
2022-07-31 00:00:00,17249
2022-08-07 00:00:00,15034
2022-08-14 00:00:00,13501
2022-08-21 00:00:00,12244
2022-08-28 00:00:00,8505
2022-09-04 00:00:00,8661
2022-09-11 00:00:00,3666
2022-09-18 00:00:00,6119
2022-09-25 00:00:00,3999
2022-10-02 00:00:00,3402
2022-10-09 00:00:00,3675
2022-10-16 00:00:00,2400
2022-10-23 00:00:00,5438
2022-10-30 00:00:00,4813
2022-11-06 00:00:00,5129
2022-11-13 00:00:00,7360
2022-11-20 00:00:00,10775
2022-11-27 00:00:00,13410
2022-12-04 00:00:00,12987
2022-12-11 00:00:00,15983
2022-12-18 00:00:00,11550
2022-12-25 00:00:00,8281
2023-01-01 00:00:00,4973
2023-01-08 00:00:00,6187
2023-01-15 00:00:00,7374
2023-01-22 00:00:00,2751
2023-01-29 00:00:00,3554
2023-02-05 00:00:00,3087
2023-02-12 00:00:00,3099
2023-02-19 00:00:00,3379
2023-02-26 00:00:00,26866
2023-03-05 00:00:00,5663
