date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,3
2020-03-22 00:00:00,162
2020-03-29 00:00:00,261
2020-04-05 00:00:00,411
2020-04-12 00:00:00,443
2020-04-19 00:00:00,501
2020-04-26 00:00:00,1220
2020-05-03 00:00:00,436
2020-05-10 00:00:00,575
2020-05-17 00:00:00,747
2020-05-24 00:00:00,1163
2020-05-31 00:00:00,1331
2020-06-07 00:00:00,2173
2020-06-14 00:00:00,3075
2020-06-21 00:00:00,3060
2020-06-28 00:00:00,4257
2020-07-05 00:00:00,3996
2020-07-12 00:00:00,4553
2020-07-19 00:00:00,4861
2020-07-26 00:00:00,5395
2020-08-02 00:00:00,5187
2020-08-09 00:00:00,5573
2020-08-16 00:00:00,3282
2020-08-23 00:00:00,3909
2020-08-30 00:00:00,4282
2020-09-06 00:00:00,4521
2020-09-13 00:00:00,4842
2020-09-20 00:00:00,5504
2020-09-27 00:00:00,5519
2020-10-04 00:00:00,5771
2020-10-11 00:00:00,5820
2020-10-18 00:00:00,6233
2020-10-25 00:00:00,7049
2020-11-01 00:00:00,6942
2020-11-08 00:00:00,8809
2020-11-15 00:00:00,11174
2020-11-22 00:00:00,12133
2020-11-29 00:00:00,11074
2020-12-06 00:00:00,14677
2020-12-13 00:00:00,14778
2020-12-20 00:00:00,15948
2020-12-27 00:00:00,13227
2021-01-03 00:00:00,18598
2021-01-10 00:00:00,21601
2021-01-17 00:00:00,16078
2021-01-24 00:00:00,12912
2021-01-31 00:00:00,11202
2021-02-07 00:00:00,11468
2021-02-14 00:00:00,6292
2021-02-21 00:00:00,2486
2021-02-28 00:00:00,6901
2021-03-07 00:00:00,2403
2021-03-14 00:00:00,2125
2021-03-21 00:00:00,1712
2021-03-28 00:00:00,1274
2021-04-04 00:00:00,1125
2021-04-11 00:00:00,1099
2021-04-18 00:00:00,1299
2021-04-25 00:00:00,1254
2021-05-02 00:00:00,1399
2021-05-09 00:00:00,1405
2021-05-16 00:00:00,1272
2021-05-23 00:00:00,1355
2021-05-30 00:00:00,1214
2021-06-06 00:00:00,1082
2021-06-13 00:00:00,1531
2021-06-20 00:00:00,1641
2021-06-27 00:00:00,1649
2021-07-04 00:00:00,3325
2021-07-11 00:00:00,4881
2021-07-18 00:00:00,7120
2021-07-25 00:00:00,12770
2021-08-01 00:00:00,13086
2021-08-08 00:00:00,15841
2021-08-15 00:00:00,15530
2021-08-22 00:00:00,15449
2021-08-29 00:00:00,14127
2021-09-05 00:00:00,14412
2021-09-12 00:00:00,11206
2021-09-19 00:00:00,10055
2021-09-26 00:00:00,7594
2021-10-03 00:00:00,5412
2021-10-10 00:00:00,4744
2021-10-17 00:00:00,4150
2021-10-24 00:00:00,3289
2021-10-31 00:00:00,2970
2021-11-07 00:00:00,3030
2021-11-14 00:00:00,3515
2021-11-21 00:00:00,4410
2021-11-28 00:00:00,3417
2021-12-05 00:00:00,5769
2021-12-12 00:00:00,5070
2021-12-19 00:00:00,5222
2021-12-26 00:00:00,6765
2022-01-02 00:00:00,22409
2022-01-09 00:00:00,40192
2022-01-16 00:00:00,68162
2022-01-23 00:00:00,57462
2022-01-30 00:00:00,29423
2022-02-06 00:00:00,26281
2022-02-13 00:00:00,12535
2022-02-20 00:00:00,7851
2022-02-27 00:00:00,4698
2022-03-06 00:00:00,3784
2022-03-13 00:00:00,3360
2022-03-20 00:00:00,3740
2022-03-27 00:00:00,2243
2022-04-03 00:00:00,575
2022-04-10 00:00:00,557
2022-04-17 00:00:00,546
2022-04-24 00:00:00,764
2022-05-01 00:00:00,921
2022-05-08 00:00:00,1238
2022-05-15 00:00:00,1456
2022-05-22 00:00:00,1980
2022-05-29 00:00:00,2475
2022-06-05 00:00:00,2881
2022-06-12 00:00:00,4257
2022-06-19 00:00:00,5089
2022-06-26 00:00:00,5718
2022-07-03 00:00:00,7374
2022-07-10 00:00:00,8996
2022-07-17 00:00:00,9356
2022-07-24 00:00:00,8239
2022-07-31 00:00:00,8956
2022-08-07 00:00:00,6877
2022-08-14 00:00:00,6253
2022-08-21 00:00:00,5618
2022-08-28 00:00:00,6929
2022-09-04 00:00:00,6803
2022-09-11 00:00:00,5053
2022-09-18 00:00:00,4841
2022-09-25 00:00:00,3449
2022-10-02 00:00:00,2250
2022-10-09 00:00:00,2072
2022-10-16 00:00:00,1880
2022-10-23 00:00:00,1958
2022-10-30 00:00:00,1768
2022-11-06 00:00:00,2083
2022-11-13 00:00:00,1975
2022-11-20 00:00:00,1735
2022-11-27 00:00:00,1989
2022-12-04 00:00:00,3556
2022-12-11 00:00:00,3596
2022-12-18 00:00:00,3707
2022-12-25 00:00:00,3246
2023-01-01 00:00:00,4178
2023-01-08 00:00:00,3335
2023-01-15 00:00:00,2732
2023-01-22 00:00:00,2372
2023-01-29 00:00:00,2080
2023-02-05 00:00:00,1615
2023-02-12 00:00:00,1771
2023-02-19 00:00:00,2442
2023-02-26 00:00:00,2259
2023-03-05 00:00:00,1494
