date,OT
2020-03-08 00:00:00,94
2020-03-15 00:00:00,261
2020-03-22 00:00:00,1323
2020-03-29 00:00:00,3798
2020-04-05 00:00:00,8994
2020-04-12 00:00:00,7715
2020-04-19 00:00:00,9103
2020-04-26 00:00:00,12428
2020-05-03 00:00:00,11515
2020-05-10 00:00:00,13202
2020-05-17 00:00:00,12603
2020-05-24 00:00:00,14277
2020-05-31 00:00:00,18533
2020-06-07 00:00:00,18580
2020-06-14 00:00:00,20780
2020-06-21 00:00:00,28397
2020-06-28 00:00:00,41918
2020-07-05 00:00:00,54428
2020-07-12 00:00:00,57740
2020-07-19 00:00:00,61698
2020-07-26 00:00:00,66802
2020-08-02 00:00:00,56906
2020-08-09 00:00:00,48199
2020-08-16 00:00:00,64268
2020-08-23 00:00:00,40763
2020-08-30 00:00:00,35402
2020-09-06 00:00:00,31334
2020-09-13 00:00:00,22854
2020-09-20 00:00:00,24396
2020-09-27 00:00:00,24241
2020-10-04 00:00:00,23594
2020-10-11 00:00:00,24027
2020-10-18 00:00:00,21944
2020-10-25 00:00:00,31252
2020-11-01 00:00:00,31084
2020-11-08 00:00:00,43505
2020-11-15 00:00:00,60704
2020-11-22 00:00:00,87918
2020-11-29 00:00:00,107552
2020-12-06 00:00:00,166395
2020-12-13 00:00:00,230836
2020-12-20 00:00:00,316910
2020-12-27 00:00:00,273694
2021-01-03 00:00:00,280682
2021-01-10 00:00:00,303199
2021-01-17 00:00:00,269893
2021-01-24 00:00:00,168354
2021-01-31 00:00:00,129644
2021-02-07 00:00:00,94121
2021-02-14 00:00:00,66089
2021-02-21 00:00:00,45148
2021-02-28 00:00:00,37513
2021-03-07 00:00:00,31141
2021-03-14 00:00:00,23303
2021-03-21 00:00:00,20116
2021-03-28 00:00:00,19049
2021-04-04 00:00:00,17992
2021-04-11 00:00:00,24481
2021-04-18 00:00:00,17508
2021-04-25 00:00:00,14330
2021-05-02 00:00:00,13523
2021-05-09 00:00:00,12957
2021-05-16 00:00:00,10882
2021-05-23 00:00:00,8956
2021-05-30 00:00:00,12152
2021-06-06 00:00:00,6550
2021-06-13 00:00:00,6794
2021-06-20 00:00:00,7217
2021-06-27 00:00:00,10471
2021-07-04 00:00:00,2756
2021-07-11 00:00:00,19105
2021-07-18 00:00:00,30946
2021-07-25 00:00:00,49567
2021-08-01 00:00:00,68651
2021-08-08 00:00:00,81667
2021-08-15 00:00:00,89538
2021-08-22 00:00:00,107144
2021-08-29 00:00:00,97136
2021-09-05 00:00:00,93999
2021-09-12 00:00:00,65908
2021-09-19 00:00:00,67916
2021-09-26 00:00:00,53358
2021-10-03 00:00:00,49218
2021-10-10 00:00:00,40998
2021-10-17 00:00:00,37609
2021-10-24 00:00:00,27759
2021-10-31 00:00:00,55567
2021-11-07 00:00:00,43264
2021-11-14 00:00:00,38433
2021-11-21 00:00:00,35961
2021-11-28 00:00:00,29327
2021-12-05 00:00:00,45973
2021-12-12 00:00:00,44969
2021-12-19 00:00:00,52482
2021-12-26 00:00:00,94944
2022-01-02 00:00:00,258990
2022-01-09 00:00:00,691812
2022-01-16 00:00:00,862256
2022-01-23 00:00:00,741749
2022-01-30 00:00:00,530008
2022-02-06 00:00:00,238063
2022-02-13 00:00:00,199480
2022-02-20 00:00:00,69575
2022-02-27 00:00:00,74066
2022-03-06 00:00:00,38240
2022-03-13 00:00:00,29551
2022-03-20 00:00:00,28625
2022-03-27 00:00:00,22375
2022-04-03 00:00:00,15273
2022-04-10 00:00:00,24006
2022-04-17 00:00:00,23308
2022-04-24 00:00:00,33854
2022-05-01 00:00:00,44373
2022-05-08 00:00:00,55385
2022-05-15 00:00:00,61978
2022-05-22 00:00:00,98963
2022-05-29 00:00:00,111871
2022-06-05 00:00:00,103868
2022-06-12 00:00:00,129288
2022-06-19 00:00:00,103970
2022-06-26 00:00:00,127110
2022-07-03 00:00:00,131626
2022-07-10 00:00:00,117551
2022-07-17 00:00:00,163038
2022-07-24 00:00:00,142107
2022-07-31 00:00:00,129257
2022-08-07 00:00:00,111880
2022-08-14 00:00:00,89990
2022-08-21 00:00:00,77392
2022-08-28 00:00:00,75984
2022-09-04 00:00:00,61441
2022-09-11 00:00:00,44131
2022-09-18 00:00:00,33217
2022-09-25 00:00:00,33536
2022-10-02 00:00:00,32664
2022-10-09 00:00:00,29644
2022-10-16 00:00:00,23842
2022-10-23 00:00:00,22066
2022-10-30 00:00:00,24691
2022-11-06 00:00:00,24574
2022-11-13 00:00:00,26558
2022-11-20 00:00:00,41418
2022-11-27 00:00:00,44023
2022-12-04 00:00:00,55643
2022-12-11 00:00:00,82975
2022-12-18 00:00:00,71417
2022-12-25 00:00:00,64541
2023-01-01 00:00:00,53847
2023-01-08 00:00:00,52154
2023-01-15 00:00:00,47312
2023-01-22 00:00:00,25924
2023-01-29 00:00:00,25407
2023-02-05 00:00:00,26617
2023-02-12 00:00:00,23518
2023-02-19 00:00:00,26798
2023-02-26 00:00:00,22983
2023-03-05 00:00:00,24130
