date,OT
2020-03-08 00:00:00,8
2020-03-15 00:00:00,128
2020-03-22 00:00:00,459
2020-03-29 00:00:00,1713
2020-04-05 00:00:00,6729
2020-04-12 00:00:00,2784
2020-04-19 00:00:00,2856
2020-04-26 00:00:00,3399
2020-05-03 00:00:00,2687
2020-05-10 00:00:00,2702
2020-05-17 00:00:00,2272
2020-05-24 00:00:00,1953
2020-05-31 00:00:00,1325
2020-06-07 00:00:00,1175
2020-06-14 00:00:00,1268
2020-06-21 00:00:00,1642
2020-06-28 00:00:00,2306
2020-07-05 00:00:00,2996
2020-07-12 00:00:00,3790
2020-07-19 00:00:00,3784
2020-07-26 00:00:00,3421
2020-08-02 00:00:00,2654
2020-08-09 00:00:00,2383
2020-08-16 00:00:00,2039
2020-08-23 00:00:00,2125
2020-08-30 00:00:00,1970
2020-09-06 00:00:00,2261
2020-09-13 00:00:00,3106
2020-09-20 00:00:00,4158
2020-09-27 00:00:00,4330
2020-10-04 00:00:00,5265
2020-10-11 00:00:00,7063
2020-10-18 00:00:00,9195
2020-10-25 00:00:00,11926
2020-11-01 00:00:00,19928
2020-11-08 00:00:00,30682
2020-11-15 00:00:00,37034
2020-11-22 00:00:00,37212
2020-11-29 00:00:00,29990
2020-12-06 00:00:00,33692
2020-12-13 00:00:00,22722
2020-12-20 00:00:00,17261
2020-12-27 00:00:00,13788
2021-01-03 00:00:00,16325
2021-01-10 00:00:00,16218
2021-01-17 00:00:00,12031
2021-01-24 00:00:00,10146
2021-01-31 00:00:00,9070
2021-02-07 00:00:00,8364
2021-02-14 00:00:00,7529
2021-02-21 00:00:00,7394
2021-02-28 00:00:00,7000
2021-03-07 00:00:00,6842
2021-03-14 00:00:00,6738
2021-03-21 00:00:00,7332
2021-03-28 00:00:00,8250
2021-04-04 00:00:00,10213
2021-04-11 00:00:00,11400
2021-04-18 00:00:00,11294
2021-04-25 00:00:00,11716
2021-05-02 00:00:00,10887
2021-05-09 00:00:00,8610
2021-05-16 00:00:00,6629
2021-05-23 00:00:00,4880
2021-05-30 00:00:00,3668
2021-06-06 00:00:00,2864
2021-06-13 00:00:00,2252
2021-06-20 00:00:00,2019
2021-06-27 00:00:00,2253
2021-07-04 00:00:00,2435
2021-07-11 00:00:00,3084
2021-07-18 00:00:00,3666
2021-07-25 00:00:00,4878
2021-08-01 00:00:00,6236
2021-08-08 00:00:00,7712
2021-08-15 00:00:00,9021
2021-08-22 00:00:00,11342
2021-08-29 00:00:00,12297
2021-09-05 00:00:00,13427
2021-09-12 00:00:00,13228
2021-09-19 00:00:00,13206
2021-09-26 00:00:00,12790
2021-10-03 00:00:00,14477
2021-10-10 00:00:00,15160
2021-10-17 00:00:00,15120
2021-10-24 00:00:00,17746
2021-10-31 00:00:00,20535
2021-11-07 00:00:00,23694
2021-11-14 00:00:00,24531
2021-11-21 00:00:00,21810
2021-11-28 00:00:00,16667
2021-12-05 00:00:00,17322
2021-12-12 00:00:00,12104
2021-12-19 00:00:00,14324
2021-12-26 00:00:00,39260
2022-01-02 00:00:00,86915
2022-01-09 00:00:00,125014
2022-01-16 00:00:00,106402
2022-01-23 00:00:00,75394
2022-01-30 00:00:00,43400
2022-02-06 00:00:00,21295
2022-02-13 00:00:00,11598
2022-02-20 00:00:00,6799
2022-02-27 00:00:00,3959
2022-03-06 00:00:00,3265
2022-03-13 00:00:00,2749
2022-03-20 00:00:00,2307
2022-03-27 00:00:00,2169
2022-04-03 00:00:00,2401
2022-04-10 00:00:00,2772
2022-04-17 00:00:00,3938
2022-04-24 00:00:00,4969
2022-05-01 00:00:00,6054
2022-05-08 00:00:00,8029
2022-05-15 00:00:00,10719
2022-05-22 00:00:00,11759
2022-05-29 00:00:00,14190
2022-06-05 00:00:00,15750
2022-06-12 00:00:00,15349
2022-06-19 00:00:00,13633
2022-06-26 00:00:00,13800
2022-07-03 00:00:00,14518
2022-07-10 00:00:00,13074
2022-07-17 00:00:00,12193
2022-07-24 00:00:00,10968
2022-07-31 00:00:00,9653
2022-08-07 00:00:00,7911
2022-08-14 00:00:00,6810
2022-08-21 00:00:00,4609
2022-08-28 00:00:00,4464
2022-09-04 00:00:00,7686
2022-09-11 00:00:00,4730
2022-09-18 00:00:00,6034
2022-09-25 00:00:00,4407
2022-10-02 00:00:00,4935
2022-10-09 00:00:00,4130
2022-10-16 00:00:00,4313
2022-10-23 00:00:00,4738
2022-10-30 00:00:00,4333
2022-11-06 00:00:00,6845
2022-11-13 00:00:00,7467
2022-11-20 00:00:00,8373
2022-11-27 00:00:00,8101
2022-12-04 00:00:00,7949
2022-12-11 00:00:00,7030
2022-12-18 00:00:00,6056
2022-12-25 00:00:00,6318
2023-01-01 00:00:00,4331
2023-01-08 00:00:00,3876
2023-01-15 00:00:00,3314
2023-01-22 00:00:00,2046
2023-01-29 00:00:00,3609
2023-02-05 00:00:00,2363
2023-02-12 00:00:00,1895
2023-02-19 00:00:00,4635
2023-02-26 00:00:00,3449
2023-03-05 00:00:00,3052
