date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,24
2020-03-22 00:00:00,303
2020-03-29 00:00:00,1666
2020-04-05 00:00:00,3682
2020-04-12 00:00:00,6360
2020-04-19 00:00:00,5927
2020-04-26 00:00:00,7307
2020-05-03 00:00:00,4018
2020-05-10 00:00:00,4267
2020-05-17 00:00:00,3865
2020-05-24 00:00:00,3049
2020-05-31 00:00:00,1733
2020-06-07 00:00:00,1767
2020-06-14 00:00:00,1120
2020-06-21 00:00:00,667
2020-06-28 00:00:00,548
2020-07-05 00:00:00,414
2020-07-12 00:00:00,570
2020-07-19 00:00:00,606
2020-07-26 00:00:00,883
2020-08-02 00:00:00,1034
2020-08-09 00:00:00,510
2020-08-16 00:00:00,577
2020-08-23 00:00:00,622
2020-08-30 00:00:00,976
2020-09-06 00:00:00,870
2020-09-13 00:00:00,961
2020-09-20 00:00:00,1201
2020-09-27 00:00:00,1060
2020-10-04 00:00:00,1710
2020-10-11 00:00:00,1741
2020-10-18 00:00:00,2792
2020-10-25 00:00:00,3222
2020-11-01 00:00:00,5155
2020-11-08 00:00:00,6918
2020-11-15 00:00:00,10520
2020-11-22 00:00:00,12824
2020-11-29 00:00:00,11112
2020-12-06 00:00:00,15134
2020-12-13 00:00:00,19046
2020-12-20 00:00:00,16021
2020-12-27 00:00:00,9961
2021-01-03 00:00:00,17377
2021-01-10 00:00:00,15874
2021-01-17 00:00:00,17428
2021-01-24 00:00:00,14393
2021-01-31 00:00:00,12208
2021-02-07 00:00:00,9349
2021-02-14 00:00:00,7965
2021-02-21 00:00:00,5764
2021-02-28 00:00:00,6845
2021-03-07 00:00:00,5384
2021-03-14 00:00:00,5247
2021-03-21 00:00:00,6114
2021-03-28 00:00:00,8519
2021-04-04 00:00:00,8746
2021-04-11 00:00:00,7630
2021-04-18 00:00:00,7476
2021-04-25 00:00:00,5704
2021-05-02 00:00:00,4467
2021-05-09 00:00:00,3485
2021-05-16 00:00:00,2259
2021-05-23 00:00:00,1348
2021-05-30 00:00:00,1016
2021-06-06 00:00:00,550
2021-06-13 00:00:00,459
2021-06-20 00:00:00,315
2021-06-27 00:00:00,455
2021-07-04 00:00:00,356
2021-07-11 00:00:00,493
2021-07-18 00:00:00,706
2021-07-25 00:00:00,1362
2021-08-01 00:00:00,2298
2021-08-08 00:00:00,3741
2021-08-15 00:00:00,3760
2021-08-22 00:00:00,4020
2021-08-29 00:00:00,4852
2021-09-05 00:00:00,4427
2021-09-12 00:00:00,3798
2021-09-19 00:00:00,5409
2021-09-26 00:00:00,3391
2021-10-03 00:00:00,3333
2021-10-10 00:00:00,2942
2021-10-17 00:00:00,3115
2021-10-24 00:00:00,3103
2021-10-31 00:00:00,2357
2021-11-07 00:00:00,2386
2021-11-14 00:00:00,2781
2021-11-21 00:00:00,5168
2021-11-28 00:00:00,5555
2021-12-05 00:00:00,6802
2021-12-12 00:00:00,14148
2021-12-19 00:00:00,16143
2021-12-26 00:00:00,18991
2022-01-02 00:00:00,35631
2022-01-09 00:00:00,63523
2022-01-16 00:00:00,63861
2022-01-23 00:00:00,34102
2022-01-30 00:00:00,24396
2022-02-06 00:00:00,10070
2022-02-13 00:00:00,6744
2022-02-20 00:00:00,6443
2022-02-27 00:00:00,3050
2022-03-06 00:00:00,2456
2022-03-13 00:00:00,4864
2022-03-20 00:00:00,2171
2022-03-27 00:00:00,2328
2022-04-03 00:00:00,3080
2022-04-10 00:00:00,3618
2022-04-17 00:00:00,4758
2022-04-24 00:00:00,6158
2022-05-01 00:00:00,6471
2022-05-08 00:00:00,7891
2022-05-15 00:00:00,13288
2022-05-22 00:00:00,18156
2022-05-29 00:00:00,8851
2022-06-05 00:00:00,5465
2022-06-12 00:00:00,4424
2022-06-19 00:00:00,4514
2022-06-26 00:00:00,5304
2022-07-03 00:00:00,6739
2022-07-10 00:00:00,4838
2022-07-17 00:00:00,4961
2022-07-24 00:00:00,5837
2022-07-31 00:00:00,6033
2022-08-07 00:00:00,5393
2022-08-14 00:00:00,4940
2022-08-21 00:00:00,4191
2022-08-28 00:00:00,4188
2022-09-04 00:00:00,4529
2022-09-11 00:00:00,3771
2022-09-18 00:00:00,6794
2022-09-25 00:00:00,4876
2022-10-02 00:00:00,4809
2022-10-09 00:00:00,4023
2022-10-16 00:00:00,3651
2022-10-23 00:00:00,3398
2022-10-30 00:00:00,3852
2022-11-06 00:00:00,2597
2022-11-13 00:00:00,3167
2022-11-20 00:00:00,2827
2022-11-27 00:00:00,3635
2022-12-04 00:00:00,4396
2022-12-11 00:00:00,4012
2022-12-18 00:00:00,5312
2022-12-25 00:00:00,5550
2023-01-01 00:00:00,4831
2023-01-08 00:00:00,5752
2023-01-15 00:00:00,4229
2023-01-22 00:00:00,3861
2023-01-29 00:00:00,3044
2023-02-05 00:00:00,2847
2023-02-12 00:00:00,2279
2023-02-19 00:00:00,1991
2023-02-26 00:00:00,1409
2023-03-05 00:00:00,1338
