date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,6
2020-03-22 00:00:00,50
2020-03-29 00:00:00,176
2020-04-05 00:00:00,441
2020-04-12 00:00:00,952
2020-04-19 00:00:00,913
2020-04-26 00:00:00,1496
2020-05-03 00:00:00,1174
2020-05-10 00:00:00,1069
2020-05-17 00:00:00,1393
2020-05-24 00:00:00,1139
2020-05-31 00:00:00,689
2020-06-07 00:00:00,444
2020-06-14 00:00:00,322
2020-06-21 00:00:00,511
2020-06-28 00:00:00,451
2020-07-05 00:00:00,902
2020-07-12 00:00:00,676
2020-07-19 00:00:00,715
2020-07-26 00:00:00,771
2020-08-02 00:00:00,659
2020-08-09 00:00:00,626
2020-08-16 00:00:00,876
2020-08-23 00:00:00,444
2020-08-30 00:00:00,448
2020-09-06 00:00:00,700
2020-09-13 00:00:00,806
2020-09-20 00:00:00,717
2020-09-27 00:00:00,694
2020-10-04 00:00:00,983
2020-10-11 00:00:00,887
2020-10-18 00:00:00,963
2020-10-25 00:00:00,868
2020-11-01 00:00:00,1165
2020-11-08 00:00:00,1477
2020-11-15 00:00:00,2200
2020-11-22 00:00:00,3005
2020-11-29 00:00:00,3443
2020-12-06 00:00:00,4661
2020-12-13 00:00:00,5548
2020-12-20 00:00:00,5156
2020-12-27 00:00:00,4441
2021-01-03 00:00:00,4427
2021-01-10 00:00:00,5789
2021-01-17 00:00:00,5021
2021-01-24 00:00:00,4281
2021-01-31 00:00:00,3496
2021-02-07 00:00:00,2523
2021-02-14 00:00:00,2409
2021-02-21 00:00:00,1729
2021-02-28 00:00:00,2067
2021-03-07 00:00:00,1555
2021-03-14 00:00:00,2027
2021-03-21 00:00:00,1906
2021-03-28 00:00:00,1775
2021-04-04 00:00:00,2314
2021-04-11 00:00:00,2194
2021-04-18 00:00:00,2588
2021-04-25 00:00:00,2064
2021-05-02 00:00:00,1687
2021-05-09 00:00:00,1239
2021-05-16 00:00:00,859
2021-05-23 00:00:00,1358
2021-05-30 00:00:00,456
2021-06-06 00:00:00,305
2021-06-13 00:00:00,232
2021-06-20 00:00:00,190
2021-06-27 00:00:00,134
2021-07-04 00:00:00,193
2021-07-11 00:00:00,199
2021-07-18 00:00:00,313
2021-07-25 00:00:00,410
2021-08-01 00:00:00,766
2021-08-08 00:00:00,1209
2021-08-15 00:00:00,1714
2021-08-22 00:00:00,2285
2021-08-29 00:00:00,2455
2021-09-05 00:00:00,2885
2021-09-12 00:00:00,2994
2021-09-19 00:00:00,3148
2021-09-26 00:00:00,3171
2021-10-03 00:00:00,3195
2021-10-10 00:00:00,2980
2021-10-17 00:00:00,2275
2021-10-24 00:00:00,2480
2021-10-31 00:00:00,1844
2021-11-07 00:00:00,1705
2021-11-14 00:00:00,1972
2021-11-21 00:00:00,2510
2021-11-28 00:00:00,2285
2021-12-05 00:00:00,3784
2021-12-12 00:00:00,4314
2021-12-19 00:00:00,4853
2021-12-26 00:00:00,7206
2022-01-02 00:00:00,14169
2022-01-09 00:00:00,18644
2022-01-16 00:00:00,21954
2022-01-23 00:00:00,12585
2022-01-30 00:00:00,7459
2022-02-06 00:00:00,3554
2022-02-13 00:00:00,2342
2022-02-20 00:00:00,1562
2022-02-27 00:00:00,1455
2022-03-06 00:00:00,719
2022-03-13 00:00:00,915
2022-03-20 00:00:00,486
2022-03-27 00:00:00,703
2022-04-03 00:00:00,553
2022-04-10 00:00:00,0
2022-04-17 00:00:00,782
2022-04-24 00:00:00,1358
2022-05-01 00:00:00,1062
2022-05-08 00:00:00,1915
2022-05-15 00:00:00,2889
2022-05-22 00:00:00,4029
2022-05-29 00:00:00,3605
2022-06-05 00:00:00,2767
2022-06-12 00:00:00,2586
2022-06-19 00:00:00,1734
2022-06-26 00:00:00,1646
2022-07-03 00:00:00,1771
2022-07-10 00:00:00,1675
2022-07-17 00:00:00,2188
2022-07-24 00:00:00,2353
2022-07-31 00:00:00,2422
2022-08-07 00:00:00,2149
2022-08-14 00:00:00,2072
2022-08-21 00:00:00,1983
2022-08-28 00:00:00,1552
2022-09-04 00:00:00,1399
2022-09-11 00:00:00,1197
2022-09-18 00:00:00,1379
2022-09-25 00:00:00,1498
2022-10-02 00:00:00,1443
2022-10-09 00:00:00,1091
2022-10-16 00:00:00,1189
2022-10-23 00:00:00,1026
2022-10-30 00:00:00,971
2022-11-06 00:00:00,923
2022-11-13 00:00:00,771
2022-11-20 00:00:00,871
2022-11-27 00:00:00,491
2022-12-04 00:00:00,1359
2022-12-11 00:00:00,1162
2022-12-18 00:00:00,910
2022-12-25 00:00:00,1104
2023-01-01 00:00:00,1307
2023-01-08 00:00:00,1263
2023-01-15 00:00:00,986
2023-01-22 00:00:00,946
2023-01-29 00:00:00,789
2023-02-05 00:00:00,975
2023-02-12 00:00:00,1026
2023-02-19 00:00:00,1042
2023-02-26 00:00:00,1417
2023-03-05 00:00:00,461
