date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,0
2020-03-22 00:00:00,102
2020-03-29 00:00:00,240
2020-04-05 00:00:00,660
2020-04-12 00:00:00,873
2020-04-19 00:00:00,918
2020-04-26 00:00:00,1048
2020-05-03 00:00:00,1175
2020-05-10 00:00:00,1256
2020-05-17 00:00:00,851
2020-05-24 00:00:00,987
2020-05-31 00:00:00,691
2020-06-07 00:00:00,531
2020-06-14 00:00:00,435
2020-06-21 00:00:00,253
2020-06-28 00:00:00,228
2020-07-05 00:00:00,234
2020-07-12 00:00:00,365
2020-07-19 00:00:00,414
2020-07-26 00:00:00,519
2020-08-02 00:00:00,494
2020-08-09 00:00:00,479
2020-08-16 00:00:00,467
2020-08-23 00:00:00,370
2020-08-30 00:00:00,369
2020-09-06 00:00:00,320
2020-09-13 00:00:00,313
2020-09-20 00:00:00,363
2020-09-27 00:00:00,295
2020-10-04 00:00:00,269
2020-10-11 00:00:00,465
2020-10-18 00:00:00,386
2020-10-25 00:00:00,397
2020-11-01 00:00:00,602
2020-11-08 00:00:00,632
2020-11-15 00:00:00,976
2020-11-22 00:00:00,1174
2020-11-29 00:00:00,1297
2020-12-06 00:00:00,1688
2020-12-13 00:00:00,1738
2020-12-20 00:00:00,1727
2020-12-27 00:00:00,1601
2021-01-03 00:00:00,1562
2021-01-10 00:00:00,2027
2021-01-17 00:00:00,2060
2021-01-24 00:00:00,1450
2021-01-31 00:00:00,1571
2021-02-07 00:00:00,1163
2021-02-14 00:00:00,883
2021-02-21 00:00:00,730
2021-02-28 00:00:00,950
2021-03-07 00:00:00,821
2021-03-14 00:00:00,1092
2021-03-21 00:00:00,718
2021-03-28 00:00:00,946
2021-04-04 00:00:00,862
2021-04-11 00:00:00,793
2021-04-18 00:00:00,832
2021-04-25 00:00:00,661
2021-05-02 00:00:00,477
2021-05-09 00:00:00,380
2021-05-16 00:00:00,365
2021-05-23 00:00:00,203
2021-05-30 00:00:00,150
2021-06-06 00:00:00,170
2021-06-13 00:00:00,111
2021-06-20 00:00:00,64
2021-06-27 00:00:00,62
2021-07-04 00:00:00,73
2021-07-11 00:00:00,77
2021-07-18 00:00:00,197
2021-07-25 00:00:00,321
2021-08-01 00:00:00,425
2021-08-08 00:00:00,705
2021-08-15 00:00:00,1098
2021-08-22 00:00:00,1141
2021-08-29 00:00:00,1214
2021-09-05 00:00:00,1362
2021-09-12 00:00:00,1048
2021-09-19 00:00:00,1885
2021-09-26 00:00:00,1354
2021-10-03 00:00:00,1126
2021-10-10 00:00:00,1371
2021-10-17 00:00:00,274
2021-10-24 00:00:00,612
2021-10-31 00:00:00,652
2021-11-07 00:00:00,559
2021-11-14 00:00:00,572
2021-11-21 00:00:00,657
2021-11-28 00:00:00,482
2021-12-05 00:00:00,920
2021-12-12 00:00:00,1272
2021-12-19 00:00:00,2517
2021-12-26 00:00:00,8346
2022-01-02 00:00:00,14721
2022-01-09 00:00:00,15754
2022-01-16 00:00:00,11831
2022-01-23 00:00:00,5329
2022-01-30 00:00:00,2617
2022-02-06 00:00:00,1726
2022-02-13 00:00:00,1277
2022-02-20 00:00:00,877
2022-02-27 00:00:00,629
2022-03-06 00:00:00,352
2022-03-13 00:00:00,545
2022-03-20 00:00:00,529
2022-03-27 00:00:00,570
2022-04-03 00:00:00,564
2022-04-10 00:00:00,717
2022-04-17 00:00:00,2169
2022-04-24 00:00:00,1583
2022-05-01 00:00:00,588
2022-05-08 00:00:00,0
2022-05-15 00:00:00,3244
2022-05-22 00:00:00,2023
2022-05-29 00:00:00,2061
2022-06-05 00:00:00,1734
2022-06-12 00:00:00,1794
2022-06-19 00:00:00,1104
2022-06-26 00:00:00,1914
2022-07-03 00:00:00,1224
2022-07-10 00:00:00,1240
2022-07-17 00:00:00,1448
2022-07-24 00:00:00,1440
2022-07-31 00:00:00,1350
2022-08-07 00:00:00,910
2022-08-14 00:00:00,944
2022-08-21 00:00:00,682
2022-08-28 00:00:00,719
2022-09-04 00:00:00,607
2022-09-11 00:00:00,512
2022-09-18 00:00:00,527
2022-09-25 00:00:00,612
2022-10-02 00:00:00,482
2022-10-09 00:00:00,164
2022-10-16 00:00:00,438
2022-10-23 00:00:00,33
2022-10-30 00:00:00,560
2022-11-06 00:00:00,332
2022-11-13 00:00:00,441
2022-11-20 00:00:00,268
2022-11-27 00:00:00,567
2022-12-04 00:00:00,291
2022-12-11 00:00:00,436
2022-12-18 00:00:00,582
2022-12-25 00:00:00,760
2023-01-01 00:00:00,0
2023-01-08 00:00:00,1173
2023-01-15 00:00:00,455
2023-01-22 00:00:00,555
2023-01-29 00:00:00,443
2023-02-05 00:00:00,413
2023-02-12 00:00:00,420
2023-02-19 00:00:00,370
2023-02-26 00:00:00,289
2023-03-05 00:00:00,210
