date,OT
2020-03-08 00:00:00,10
2020-03-15 00:00:00,90
2020-03-22 00:00:00,904
2020-03-29 00:00:00,3242
2020-04-05 00:00:00,8104
2020-04-12 00:00:00,7545
2020-04-19 00:00:00,6419
2020-04-26 00:00:00,5218
2020-05-03 00:00:00,4546
2020-05-10 00:00:00,4518
2020-05-17 00:00:00,4992
2020-05-24 00:00:00,5279
2020-05-31 00:00:00,5296
2020-06-07 00:00:00,7775
2020-06-14 00:00:00,11630
2020-06-21 00:00:00,21723
2020-06-28 00:00:00,43784
2020-07-05 00:00:00,59036
2020-07-12 00:00:00,69700
2020-07-19 00:00:00,80236
2020-07-26 00:00:00,73808
2020-08-02 00:00:00,63277
2020-08-09 00:00:00,45674
2020-08-16 00:00:00,40610
2020-08-23 00:00:00,27155
2020-08-30 00:00:00,21015
2020-09-06 00:00:00,24845
2020-09-13 00:00:00,17563
2020-09-20 00:00:00,19760
2020-09-27 00:00:00,16810
2020-10-04 00:00:00,15895
2020-10-11 00:00:00,18032
2020-10-18 00:00:00,20529
2020-10-25 00:00:00,23616
2020-11-01 00:00:00,28776
2020-11-08 00:00:00,36485
2020-11-15 00:00:00,41304
2020-11-22 00:00:00,53213
2020-11-29 00:00:00,54246
2020-12-06 00:00:00,65414
2020-12-13 00:00:00,67857
2020-12-20 00:00:00,75635
2020-12-27 00:00:00,70413
2021-01-03 00:00:00,93457
2021-01-10 00:00:00,111574
2021-01-17 00:00:00,94269
2021-01-24 00:00:00,78170
2021-01-31 00:00:00,71928
2021-02-07 00:00:00,56606
2021-02-14 00:00:00,49390
2021-02-21 00:00:00,41399
2021-02-28 00:00:00,40449
2021-03-07 00:00:00,35774
2021-03-14 00:00:00,31813
2021-03-21 00:00:00,31541
2021-03-28 00:00:00,35656
2021-04-04 00:00:00,37821
2021-04-11 00:00:00,42407
2021-04-18 00:00:00,44668
2021-04-25 00:00:00,39683
2021-05-02 00:00:00,34194
2021-05-09 00:00:00,27028
2021-05-16 00:00:00,22198
2021-05-23 00:00:00,18331
2021-05-30 00:00:00,10483
2021-06-06 00:00:00,12049
2021-06-13 00:00:00,11454
2021-06-20 00:00:00,10095
2021-06-27 00:00:00,11048
2021-07-04 00:00:00,15684
2021-07-11 00:00:00,23747
2021-07-18 00:00:00,45449
2021-07-25 00:00:00,73166
2021-08-01 00:00:00,110724
2021-08-08 00:00:00,134751
2021-08-15 00:00:00,151764
2021-08-22 00:00:00,150740
2021-08-29 00:00:00,151760
2021-09-05 00:00:00,129202
2021-09-12 00:00:00,100249
2021-09-19 00:00:00,75998
2021-09-26 00:00:00,54109
2021-10-03 00:00:00,37299
2021-10-10 00:00:00,25184
2021-10-17 00:00:00,18807
2021-10-24 00:00:00,14564
2021-10-31 00:00:00,12151
2021-11-07 00:00:00,10498
2021-11-14 00:00:00,10302
2021-11-21 00:00:00,9891
2021-11-28 00:00:00,0
2021-12-05 00:00:00,19555
2021-12-12 00:00:00,12984
2021-12-19 00:00:00,28841
2021-12-26 00:00:00,124865
2022-01-02 00:00:00,302179
2022-01-09 00:00:00,423150
2022-01-16 00:00:00,408841
2022-01-23 00:00:00,282520
2022-01-30 00:00:00,197768
2022-02-06 00:00:00,131699
2022-02-13 00:00:00,122428
2022-02-20 00:00:00,42373
2022-02-27 00:00:00,25523
2022-03-06 00:00:00,13823
2022-03-13 00:00:00,10211
2022-03-20 00:00:00,0
2022-03-27 00:00:00,16741
2022-04-03 00:00:00,0
2022-04-10 00:00:00,21348
2022-04-17 00:00:00,0
2022-04-24 00:00:00,36371
2022-05-01 00:00:00,0
2022-05-08 00:00:00,59430
2022-05-15 00:00:00,0
2022-05-22 00:00:00,99630
2022-05-29 00:00:00,23332
2022-06-05 00:00:00,115325
2022-06-12 00:00:00,41574
2022-06-19 00:00:00,107184
2022-06-26 00:00:00,41384
2022-07-03 00:00:00,106930
2022-07-10 00:00:00,24321
2022-07-17 00:00:00,121748
2022-07-24 00:00:00,32531
2022-07-31 00:00:00,116921
2022-08-07 00:00:00,22201
2022-08-14 00:00:00,124717
2022-08-21 00:00:00,0
2022-08-28 00:00:00,87082
2022-09-04 00:00:00,180
2022-09-11 00:00:00,65964
2022-09-18 00:00:00,1709
2022-09-25 00:00:00,40419
2022-10-02 00:00:00,0
2022-10-09 00:00:00,22592
2022-10-16 00:00:00,0
2022-10-23 00:00:00,20055
2022-10-30 00:00:00,0
2022-11-06 00:00:00,23157
2022-11-13 00:00:00,0
2022-11-20 00:00:00,23486
2022-11-27 00:00:00,0
2022-12-04 00:00:00,30932
2022-12-11 00:00:00,0
2022-12-18 00:00:00,42553
2022-12-25 00:00:00,0
2023-01-01 00:00:00,25540
2023-01-08 00:00:00,55209
2023-01-15 00:00:00,0
2023-01-22 00:00:00,50242
2023-01-29 00:00:00,0
2023-02-05 00:00:00,39903
2023-02-12 00:00:00,0
2023-02-19 00:00:00,33049
2023-02-26 00:00:00,0
2023-03-05 00:00:00,57684
