date,OT
2020-03-08 00:00:00,5
2020-03-15 00:00:00,94
2020-03-22 00:00:00,522
2020-03-29 00:00:00,2030
2020-04-05 00:00:00,3996
2020-04-12 00:00:00,5805
2020-04-19 00:00:00,5849
2020-04-26 00:00:00,5185
2020-05-03 00:00:00,5179
2020-05-10 00:00:00,4915
2020-05-17 00:00:00,3999
2020-05-24 00:00:00,5323
2020-05-31 00:00:00,4161
2020-06-07 00:00:00,4835
2020-06-14 00:00:00,5783
2020-06-21 00:00:00,7020
2020-06-28 00:00:00,12509
2020-07-05 00:00:00,18306
2020-07-12 00:00:00,21419
2020-07-19 00:00:00,26194
2020-07-26 00:00:00,24824
2020-08-02 00:00:00,25224
2020-08-09 00:00:00,23419
2020-08-16 00:00:00,20434
2020-08-23 00:00:00,16919
2020-08-30 00:00:00,15024
2020-09-06 00:00:00,14226
2020-09-13 00:00:00,11115
2020-09-20 00:00:00,11841
2020-09-27 00:00:00,8530
2020-10-04 00:00:00,8240
2020-10-11 00:00:00,8484
2020-10-18 00:00:00,9149
2020-10-25 00:00:00,10365
2020-11-01 00:00:00,11059
2020-11-08 00:00:00,44079
2020-11-15 00:00:00,18928
2020-11-22 00:00:00,24143
2020-11-29 00:00:00,20384
2020-12-06 00:00:00,31889
2020-12-13 00:00:00,41433
2020-12-20 00:00:00,45080
2020-12-27 00:00:00,44381
2021-01-03 00:00:00,58601
2021-01-10 00:00:00,66145
2021-01-17 00:00:00,58950
2021-01-24 00:00:00,50916
2021-01-31 00:00:00,42534
2021-02-07 00:00:00,31546
2021-02-14 00:00:00,23746
2021-02-21 00:00:00,20768
2021-02-28 00:00:00,21016
2021-03-07 00:00:00,16966
2021-03-14 00:00:00,10299
2021-03-21 00:00:00,11908
2021-03-28 00:00:00,9562
2021-04-04 00:00:00,9298
2021-04-11 00:00:00,9238
2021-04-18 00:00:00,10480
2021-04-25 00:00:00,9496
2021-05-02 00:00:00,9021
2021-05-09 00:00:00,7169
2021-05-16 00:00:00,5643
2021-05-23 00:00:00,4378
2021-05-30 00:00:00,3625
2021-06-06 00:00:00,2530
2021-06-13 00:00:00,2556
2021-06-20 00:00:00,2358
2021-06-27 00:00:00,2243
2021-07-04 00:00:00,2235
2021-07-11 00:00:00,3870
2021-07-18 00:00:00,6580
2021-07-25 00:00:00,11729
2021-08-01 00:00:00,21744
2021-08-08 00:00:00,31990
2021-08-15 00:00:00,41176
2021-08-22 00:00:00,54469
2021-08-29 00:00:00,62842
2021-09-05 00:00:00,63788
2021-09-12 00:00:00,50560
2021-09-19 00:00:00,40840
2021-09-26 00:00:00,32422
2021-10-03 00:00:00,24527
2021-10-10 00:00:00,20604
2021-10-17 00:00:00,13032
2021-10-24 00:00:00,9700
2021-10-31 00:00:00,8694
2021-11-07 00:00:00,6943
2021-11-14 00:00:00,6229
2021-11-21 00:00:00,7384
2021-11-28 00:00:00,4842
2021-12-05 00:00:00,9384
2021-12-12 00:00:00,9871
2021-12-19 00:00:00,12928
2021-12-26 00:00:00,41926
2022-01-02 00:00:00,106279
2022-01-09 00:00:00,89063
2022-01-16 00:00:00,184377
2022-01-23 00:00:00,116356
2022-01-30 00:00:00,116843
2022-02-06 00:00:00,56607
2022-02-13 00:00:00,31006
2022-02-20 00:00:00,17777
2022-02-27 00:00:00,10755
2022-03-06 00:00:00,7721
2022-03-13 00:00:00,6132
2022-03-20 00:00:00,6002
2022-03-27 00:00:00,3218
2022-04-03 00:00:00,14523
2022-04-10 00:00:00,2823
2022-04-17 00:00:00,3552
2022-04-24 00:00:00,2526
2022-05-01 00:00:00,5979
2022-05-08 00:00:00,6525
2022-05-15 00:00:00,9254
2022-05-22 00:00:00,10795
2022-05-29 00:00:00,14331
2022-06-05 00:00:00,15060
2022-06-12 00:00:00,17753
2022-06-19 00:00:00,19315
2022-06-26 00:00:00,18425
2022-07-03 00:00:00,20971
2022-07-10 00:00:00,19989
2022-07-17 00:00:00,26603
2022-07-24 00:00:00,27231
2022-07-31 00:00:00,29524
2022-08-07 00:00:00,27665
2022-08-14 00:00:00,24937
2022-08-21 00:00:00,25766
2022-08-28 00:00:00,23423
2022-09-04 00:00:00,17923
2022-09-11 00:00:00,12689
2022-09-18 00:00:00,9683
2022-09-25 00:00:00,7353
2022-10-02 00:00:00,5046
2022-10-09 00:00:00,4360
2022-10-16 00:00:00,3622
2022-10-23 00:00:00,3919
2022-10-30 00:00:00,3362
2022-11-06 00:00:00,4069
2022-11-13 00:00:00,4702
2022-11-20 00:00:00,3795
2022-11-27 00:00:00,4051
2022-12-04 00:00:00,6239
2022-12-11 00:00:00,9822
2022-12-18 00:00:00,9891
2022-12-25 00:00:00,11387
2023-01-01 00:00:00,10574
2023-01-08 00:00:00,13798
2023-01-15 00:00:00,12851
2023-01-22 00:00:00,8324
2023-01-29 00:00:00,7690
2023-02-05 00:00:00,8018
2023-02-12 00:00:00,6949
2023-02-19 00:00:00,6425
2023-02-26 00:00:00,12237
2023-03-05 00:00:00,3905
