date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,0
2020-03-22 00:00:00,27
2020-03-29 00:00:00,29
2020-04-05 00:00:00,56
2020-04-12 00:00:00,21
2020-04-19 00:00:00,3
2020-04-26 00:00:00,5
2020-05-03 00:00:00,4
2020-05-10 00:00:00,6
2020-05-17 00:00:00,3
2020-05-24 00:00:00,12
2020-05-31 00:00:00,6
2020-06-07 00:00:00,7
2020-06-14 00:00:00,4
2020-06-21 00:00:00,39
2020-06-28 00:00:00,25
2020-07-05 00:00:00,33
2020-07-12 00:00:00,32
2020-07-19 00:00:00,3
2020-07-26 00:00:00,22
2020-08-02 00:00:00,31
2020-08-09 00:00:00,50
2020-08-16 00:00:00,98
2020-08-23 00:00:00,304
2020-08-30 00:00:00,527
2020-09-06 00:00:00,324
2020-09-13 00:00:00,220
2020-09-20 00:00:00,226
2020-09-27 00:00:00,237
2020-10-04 00:00:00,345
2020-10-11 00:00:00,471
2020-10-18 00:00:00,505
2020-10-25 00:00:00,541
2020-11-01 00:00:00,474
2020-11-08 00:00:00,543
2020-11-15 00:00:00,888
2020-11-22 00:00:00,428
2020-11-29 00:00:00,269
2020-12-06 00:00:00,141
2020-12-13 00:00:00,120
2020-12-20 00:00:00,114
2020-12-27 00:00:00,73
2021-01-03 00:00:00,60
2021-01-10 00:00:00,73
2021-01-17 00:00:00,75
2021-01-24 00:00:00,73
2021-01-31 00:00:00,32
2021-02-07 00:00:00,57
2021-02-14 00:00:00,53
2021-02-21 00:00:00,26
2021-02-28 00:00:00,21
2021-03-07 00:00:00,13
2021-03-14 00:00:00,19
2021-03-21 00:00:00,12
2021-03-28 00:00:00,20
2021-04-04 00:00:00,16
2021-04-11 00:00:00,21
2021-04-18 00:00:00,32
2021-04-25 00:00:00,46
2021-05-02 00:00:00,66
2021-05-09 00:00:00,53
2021-05-16 00:00:00,57
2021-05-23 00:00:00,43
2021-05-30 00:00:00,22
2021-06-06 00:00:00,48
2021-06-13 00:00:00,32
2021-06-20 00:00:00,31
2021-06-27 00:00:00,61
2021-07-04 00:00:00,45
2021-07-11 00:00:00,58
2021-07-18 00:00:00,46
2021-07-25 00:00:00,24
2021-08-01 00:00:00,40
2021-08-08 00:00:00,132
2021-08-15 00:00:00,238
2021-08-22 00:00:00,483
2021-08-29 00:00:00,845
2021-09-05 00:00:00,1053
2021-09-12 00:00:00,1087
2021-09-19 00:00:00,1153
2021-09-26 00:00:00,842
2021-10-03 00:00:00,988
2021-10-10 00:00:00,696
2021-10-17 00:00:00,737
2021-10-24 00:00:00,748
2021-10-31 00:00:00,665
2021-11-07 00:00:00,431
2021-11-14 00:00:00,274
2021-11-21 00:00:00,156
2021-11-28 00:00:00,94
2021-12-05 00:00:00,85
2021-12-12 00:00:00,60
2021-12-19 00:00:00,64
2021-12-26 00:00:00,60
2022-01-02 00:00:00,186
2022-01-09 00:00:00,1191
2022-01-16 00:00:00,2509
2022-01-23 00:00:00,3533
2022-01-30 00:00:00,4953
2022-02-06 00:00:00,4309
2022-02-13 00:00:00,3872
2022-02-20 00:00:00,2559
2022-02-27 00:00:00,1800
2022-03-06 00:00:00,1198
2022-03-13 00:00:00,789
2022-03-20 00:00:00,399
2022-03-27 00:00:00,350
2022-04-03 00:00:00,257
2022-04-10 00:00:00,228
2022-04-17 00:00:00,173
2022-04-24 00:00:00,206
2022-05-01 00:00:00,198
2022-05-08 00:00:00,181
2022-05-15 00:00:00,173
2022-05-22 00:00:00,192
2022-05-29 00:00:00,280
2022-06-05 00:00:00,356
2022-06-12 00:00:00,611
2022-06-19 00:00:00,673
2022-06-26 00:00:00,626
2022-07-03 00:00:00,833
2022-07-10 00:00:00,756
2022-07-17 00:00:00,778
2022-07-24 00:00:00,562
2022-07-31 00:00:00,1045
2022-08-07 00:00:00,717
2022-08-14 00:00:00,700
2022-08-21 00:00:00,581
2022-08-28 00:00:00,470
2022-09-04 00:00:00,359
2022-09-11 00:00:00,186
2022-09-18 00:00:00,149
2022-09-25 00:00:00,119
2022-10-02 00:00:00,88
2022-10-09 00:00:00,54
2022-10-16 00:00:00,64
2022-10-23 00:00:00,37
2022-10-30 00:00:00,75
2022-11-06 00:00:00,100
2022-11-13 00:00:00,83
2022-11-20 00:00:00,158
2022-11-27 00:00:00,41
2022-12-04 00:00:00,235
2022-12-11 00:00:00,36
2022-12-18 00:00:00,217
2022-12-25 00:00:00,150
2023-01-01 00:00:00,193
2023-01-08 00:00:00,226
2023-01-15 00:00:00,196
2023-01-22 00:00:00,143
2023-01-29 00:00:00,149
2023-02-05 00:00:00,97
2023-02-12 00:00:00,72
2023-02-19 00:00:00,40
2023-02-26 00:00:00,26
2023-03-05 00:00:00,33
