date,OT
2020-03-08 00:00:00,1
2020-03-15 00:00:00,5
2020-03-22 00:00:00,47
2020-03-29 00:00:00,96
2020-04-05 00:00:00,222
2020-04-12 00:00:00,128
2020-04-19 00:00:00,81
2020-04-26 00:00:00,26
2020-05-03 00:00:00,14
2020-05-10 00:00:00,12
2020-05-17 00:00:00,8
2020-05-24 00:00:00,3
2020-05-31 00:00:00,9
2020-06-07 00:00:00,23
2020-06-14 00:00:00,53
2020-06-21 00:00:00,86
2020-06-28 00:00:00,85
2020-07-05 00:00:00,124
2020-07-12 00:00:00,197
2020-07-19 00:00:00,161
2020-07-26 00:00:00,302
2020-08-02 00:00:00,559
2020-08-09 00:00:00,1256
2020-08-16 00:00:00,1544
2020-08-23 00:00:00,1558
2020-08-30 00:00:00,1739
2020-09-06 00:00:00,1516
2020-09-13 00:00:00,979
2020-09-20 00:00:00,728
2020-09-27 00:00:00,741
2020-10-04 00:00:00,688
2020-10-11 00:00:00,675
2020-10-18 00:00:00,559
2020-10-25 00:00:00,652
2020-11-01 00:00:00,490
2020-11-08 00:00:00,812
2020-11-15 00:00:00,580
2020-11-22 00:00:00,724
2020-11-29 00:00:00,655
2020-12-06 00:00:00,704
2020-12-13 00:00:00,834
2020-12-20 00:00:00,1141
2020-12-27 00:00:00,695
2021-01-03 00:00:00,1048
2021-01-10 00:00:00,1485
2021-01-17 00:00:00,1019
2021-01-24 00:00:00,861
2021-01-31 00:00:00,671
2021-02-07 00:00:00,640
2021-02-14 00:00:00,380
2021-02-21 00:00:00,352
2021-02-28 00:00:00,412
2021-03-07 00:00:00,366
2021-03-14 00:00:00,473
2021-03-21 00:00:00,611
2021-03-28 00:00:00,649
2021-04-04 00:00:00,858
2021-04-11 00:00:00,730
2021-04-18 00:00:00,691
2021-04-25 00:00:00,593
2021-05-02 00:00:00,731
2021-05-09 00:00:00,666
2021-05-16 00:00:00,611
2021-05-23 00:00:00,508
2021-05-30 00:00:00,379
2021-06-06 00:00:00,370
2021-06-13 00:00:00,395
2021-06-20 00:00:00,342
2021-06-27 00:00:00,294
2021-07-04 00:00:00,348
2021-07-11 00:00:00,486
2021-07-18 00:00:00,773
2021-07-25 00:00:00,1405
2021-08-01 00:00:00,2203
2021-08-08 00:00:00,3641
2021-08-15 00:00:00,4697
2021-08-22 00:00:00,4899
2021-08-29 00:00:00,6130
2021-09-05 00:00:00,5280
2021-09-12 00:00:00,4382
2021-09-19 00:00:00,3589
2021-09-26 00:00:00,2669
2021-10-03 00:00:00,1979
2021-10-10 00:00:00,1373
2021-10-17 00:00:00,893
2021-10-24 00:00:00,957
2021-10-31 00:00:00,944
2021-11-07 00:00:00,750
2021-11-14 00:00:00,745
2021-11-21 00:00:00,1057
2021-11-28 00:00:00,667
2021-12-05 00:00:00,781
2021-12-12 00:00:00,934
2021-12-19 00:00:00,3517
2021-12-26 00:00:00,7438
2022-01-02 00:00:00,18636
2022-01-09 00:00:00,24404
2022-01-16 00:00:00,26662
2022-01-23 00:00:00,32387
2022-01-30 00:00:00,15502
2022-02-06 00:00:00,8676
2022-02-13 00:00:00,5059
2022-02-20 00:00:00,2835
2022-02-27 00:00:00,1444
2022-03-06 00:00:00,1574
2022-03-13 00:00:00,309
2022-03-20 00:00:00,1092
2022-03-27 00:00:00,827
2022-04-03 00:00:00,1187
2022-04-10 00:00:00,1194
2022-04-17 00:00:00,1327
2022-04-24 00:00:00,1736
2022-05-01 00:00:00,3370
2022-05-08 00:00:00,4249
2022-05-15 00:00:00,5768
2022-05-22 00:00:00,7149
2022-05-29 00:00:00,8924
2022-06-05 00:00:00,8124
2022-06-12 00:00:00,8033
2022-06-19 00:00:00,7199
2022-06-26 00:00:00,5482
2022-07-03 00:00:00,5362
2022-07-10 00:00:00,4381
2022-07-17 00:00:00,4464
2022-07-24 00:00:00,4329
2022-07-31 00:00:00,4075
2022-08-07 00:00:00,3689
2022-08-14 00:00:00,3189
2022-08-21 00:00:00,2696
2022-08-28 00:00:00,2219
2022-09-04 00:00:00,1777
2022-09-11 00:00:00,1215
2022-09-18 00:00:00,1343
2022-09-25 00:00:00,1132
2022-10-02 00:00:00,12755
2022-10-09 00:00:00,1273
2022-10-16 00:00:00,1047
2022-10-23 00:00:00,2211
2022-10-30 00:00:00,1327
2022-11-06 00:00:00,1017
2022-11-13 00:00:00,1288
2022-11-20 00:00:00,1049
2022-11-27 00:00:00,1169
2022-12-04 00:00:00,1012
2022-12-11 00:00:00,1371
2022-12-18 00:00:00,1191
2022-12-25 00:00:00,1189
2023-01-01 00:00:00,1095
2023-01-08 00:00:00,1316
2023-01-15 00:00:00,1343
2023-01-22 00:00:00,1068
2023-01-29 00:00:00,1052
2023-02-05 00:00:00,766
2023-02-12 00:00:00,738
2023-02-19 00:00:00,619
2023-02-26 00:00:00,0
2023-03-05 00:00:00,998
