date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,4
2020-03-22 00:00:00,38
2020-03-29 00:00:00,239
2020-04-05 00:00:00,797
2020-04-12 00:00:00,329
2020-04-19 00:00:00,261
2020-04-26 00:00:00,229
2020-05-03 00:00:00,164
2020-05-10 00:00:00,169
2020-05-17 00:00:00,189
2020-05-24 00:00:00,207
2020-05-31 00:00:00,213
2020-06-07 00:00:00,300
2020-06-14 00:00:00,260
2020-06-21 00:00:00,607
2020-06-28 00:00:00,1316
2020-07-05 00:00:00,2411
2020-07-12 00:00:00,3170
2020-07-19 00:00:00,3971
2020-07-26 00:00:00,3304
2020-08-02 00:00:00,2932
2020-08-09 00:00:00,3565
2020-08-16 00:00:00,2981
2020-08-23 00:00:00,2189
2020-08-30 00:00:00,2013
2020-09-06 00:00:00,1806
2020-09-13 00:00:00,1615
2020-09-20 00:00:00,2212
2020-09-27 00:00:00,3010
2020-10-04 00:00:00,3463
2020-10-11 00:00:00,4102
2020-10-18 00:00:00,5026
2020-10-25 00:00:00,6252
2020-11-01 00:00:00,5744
2020-11-08 00:00:00,7873
2020-11-15 00:00:00,9284
2020-11-22 00:00:00,9408
2020-11-29 00:00:00,8831
2020-12-06 00:00:00,10026
2020-12-13 00:00:00,10669
2020-12-20 00:00:00,8781
2020-12-27 00:00:00,6255
2021-01-03 00:00:00,6292
2021-01-10 00:00:00,7160
2021-01-17 00:00:00,5887
2021-01-24 00:00:00,3952
2021-01-31 00:00:00,3177
2021-02-07 00:00:00,2526
2021-02-14 00:00:00,2274
2021-02-21 00:00:00,1667
2021-02-28 00:00:00,1990
2021-03-07 00:00:00,1791
2021-03-14 00:00:00,2305
2021-03-21 00:00:00,2184
2021-03-28 00:00:00,2008
2021-04-04 00:00:00,1753
2021-04-11 00:00:00,1972
2021-04-18 00:00:00,1616
2021-04-25 00:00:00,1414
2021-05-02 00:00:00,1473
2021-05-09 00:00:00,1132
2021-05-16 00:00:00,1120
2021-05-23 00:00:00,1160
2021-05-30 00:00:00,944
2021-06-06 00:00:00,783
2021-06-13 00:00:00,720
2021-06-20 00:00:00,491
2021-06-27 00:00:00,684
2021-07-04 00:00:00,482
2021-07-11 00:00:00,659
2021-07-18 00:00:00,1025
2021-07-25 00:00:00,1440
2021-08-01 00:00:00,2188
2021-08-08 00:00:00,3607
2021-08-15 00:00:00,3963
2021-08-22 00:00:00,4885
2021-08-29 00:00:00,4948
2021-09-05 00:00:00,7657
2021-09-12 00:00:00,8363
2021-09-19 00:00:00,8414
2021-09-26 00:00:00,8634
2021-10-03 00:00:00,9396
2021-10-10 00:00:00,8309
2021-10-17 00:00:00,8507
2021-10-24 00:00:00,8078
2021-10-31 00:00:00,6071
2021-11-07 00:00:00,4983
2021-11-14 00:00:00,3550
2021-11-21 00:00:00,3447
2021-11-28 00:00:00,2466
2021-12-05 00:00:00,3107
2021-12-12 00:00:00,2823
2021-12-19 00:00:00,2275
2021-12-26 00:00:00,1759
2022-01-02 00:00:00,3656
2022-01-09 00:00:00,8069
2022-01-16 00:00:00,13406
2022-01-23 00:00:00,17200
2022-01-30 00:00:00,19664
2022-02-06 00:00:00,13346
2022-02-13 00:00:00,12070
2022-02-20 00:00:00,11376
2022-02-27 00:00:00,9125
2022-03-06 00:00:00,8845
2022-03-13 00:00:00,5448
2022-03-20 00:00:00,4007
2022-03-27 00:00:00,1611
2022-04-03 00:00:00,661
2022-04-10 00:00:00,427
2022-04-17 00:00:00,403
2022-04-24 00:00:00,505
2022-05-01 00:00:00,495
2022-05-08 00:00:00,816
2022-05-15 00:00:00,1057
2022-05-22 00:00:00,1352
2022-05-29 00:00:00,1692
2022-06-05 00:00:00,1961
2022-06-12 00:00:00,2509
2022-06-19 00:00:00,2480
2022-06-26 00:00:00,2834
2022-07-03 00:00:00,3353
2022-07-10 00:00:00,3676
2022-07-17 00:00:00,3853
2022-07-24 00:00:00,3721
2022-07-31 00:00:00,3318
2022-08-07 00:00:00,2900
2022-08-14 00:00:00,2446
2022-08-21 00:00:00,2092
2022-08-28 00:00:00,1967
2022-09-04 00:00:00,1936
2022-09-11 00:00:00,1561
2022-09-18 00:00:00,1507
2022-09-25 00:00:00,1522
2022-10-02 00:00:00,1280
2022-10-09 00:00:00,1134
2022-10-16 00:00:00,1075
2022-10-23 00:00:00,726
2022-10-30 00:00:00,1041
2022-11-06 00:00:00,1035
2022-11-13 00:00:00,1221
2022-11-20 00:00:00,1241
2022-11-27 00:00:00,1424
2022-12-04 00:00:00,1462
2022-12-11 00:00:00,1638
2022-12-18 00:00:00,1329
2022-12-25 00:00:00,1336
2023-01-01 00:00:00,1066
2023-01-08 00:00:00,1125
2023-01-15 00:00:00,941
2023-01-22 00:00:00,659
2023-01-29 00:00:00,676
2023-02-05 00:00:00,704
2023-02-12 00:00:00,872
2023-02-19 00:00:00,962
2023-02-26 00:00:00,891
2023-03-05 00:00:00,1419
