date,OT
2020-03-08 00:00:00,4
2020-03-15 00:00:00,59
2020-03-22 00:00:00,983
2020-03-29 00:00:00,3547
2020-04-05 00:00:00,6663
2020-04-12 00:00:00,9593
2020-04-19 00:00:00,9505
2020-04-26 00:00:00,13546
2020-05-03 00:00:00,17596
2020-05-10 00:00:00,16242
2020-05-17 00:00:00,16450
2020-05-24 00:00:00,16113
2020-05-31 00:00:00,9956
2020-06-07 00:00:00,7497
2020-06-14 00:00:00,4786
2020-06-21 00:00:00,4219
2020-06-28 00:00:00,4961
2020-07-05 00:00:00,5528
2020-07-12 00:00:00,7797
2020-07-19 00:00:00,7702
2020-07-26 00:00:00,9913
2020-08-02 00:00:00,10561
2020-08-09 00:00:00,12156
2020-08-16 00:00:00,12032
2020-08-23 00:00:00,14182
2020-08-30 00:00:00,13464
2020-09-06 00:00:00,16457
2020-09-13 00:00:00,11944
2020-09-20 00:00:00,12984
2020-09-27 00:00:00,13930
2020-10-04 00:00:00,13862
2020-10-11 00:00:00,17943
2020-10-18 00:00:00,25453
2020-10-25 00:00:00,31327
2020-11-01 00:00:00,44569
2020-11-08 00:00:00,64460
2020-11-15 00:00:00,85629
2020-11-22 00:00:00,82682
2020-11-29 00:00:00,63816
2020-12-06 00:00:00,67459
2020-12-13 00:00:00,61331
2020-12-20 00:00:00,51466
2020-12-27 00:00:00,37539
2021-01-03 00:00:00,41912
2021-01-10 00:00:00,48929
2021-01-17 00:00:00,40079
2021-01-24 00:00:00,32990
2021-01-31 00:00:00,24482
2021-02-07 00:00:00,20045
2021-02-14 00:00:00,15808
2021-02-21 00:00:00,12255
2021-02-28 00:00:00,12287
2021-03-07 00:00:00,11639
2021-03-14 00:00:00,10996
2021-03-21 00:00:00,12532
2021-03-28 00:00:00,15965
2021-04-04 00:00:00,18806
2021-04-11 00:00:00,23138
2021-04-18 00:00:00,22469
2021-04-25 00:00:00,18792
2021-05-02 00:00:00,18695
2021-05-09 00:00:00,15239
2021-05-16 00:00:00,11301
2021-05-23 00:00:00,9240
2021-05-30 00:00:00,6157
2021-06-06 00:00:00,3580
2021-06-13 00:00:00,2350
2021-06-20 00:00:00,1128
2021-06-27 00:00:00,1747
2021-07-04 00:00:00,2084
2021-07-11 00:00:00,2945
2021-07-18 00:00:00,4449
2021-07-25 00:00:00,7984
2021-08-01 00:00:00,11679
2021-08-08 00:00:00,16747
2021-08-15 00:00:00,21334
2021-08-22 00:00:00,24684
2021-08-29 00:00:00,25636
2021-09-05 00:00:00,30321
2021-09-12 00:00:00,26058
2021-09-19 00:00:00,25959
2021-09-26 00:00:00,21785
2021-10-03 00:00:00,18743
2021-10-10 00:00:00,19240
2021-10-17 00:00:00,15668
2021-10-24 00:00:00,15136
2021-10-31 00:00:00,14615
2021-11-07 00:00:00,17459
2021-11-14 00:00:00,22600
2021-11-21 00:00:00,28279
2021-11-28 00:00:00,21031
2021-12-05 00:00:00,50176
2021-12-12 00:00:00,49666
2021-12-19 00:00:00,59313
2021-12-26 00:00:00,77259
2022-01-02 00:00:00,128254
2022-01-09 00:00:00,232906
2022-01-16 00:00:00,207176
2022-01-23 00:00:00,183745
2022-01-30 00:00:00,123791
2022-02-06 00:00:00,60390
2022-02-13 00:00:00,29932
2022-02-20 00:00:00,26204
2022-02-27 00:00:00,13022
2022-03-06 00:00:00,10465
2022-03-13 00:00:00,8515
2022-03-20 00:00:00,7471
2022-03-27 00:00:00,8039
2022-04-03 00:00:00,8429
2022-04-10 00:00:00,10784
2022-04-17 00:00:00,14052
2022-04-24 00:00:00,19550
2022-05-01 00:00:00,24647
2022-05-08 00:00:00,30635
2022-05-15 00:00:00,40028
2022-05-22 00:00:00,40187
2022-05-29 00:00:00,36839
2022-06-05 00:00:00,32601
2022-06-12 00:00:00,34001
2022-06-19 00:00:00,27112
2022-06-26 00:00:00,27094
2022-07-03 00:00:00,28216
2022-07-10 00:00:00,27543
2022-07-17 00:00:00,33066
2022-07-24 00:00:00,32268
2022-07-31 00:00:00,35371
2022-08-07 00:00:00,30762
2022-08-14 00:00:00,26462
2022-08-21 00:00:00,25084
2022-08-28 00:00:00,24297
2022-09-04 00:00:00,26127
2022-09-11 00:00:00,19933
2022-09-18 00:00:00,17584
2022-09-25 00:00:00,17373
2022-10-02 00:00:00,10945
2022-10-09 00:00:00,11447
2022-10-16 00:00:00,10416
2022-10-23 00:00:00,11955
2022-10-30 00:00:00,13640
2022-11-06 00:00:00,14227
2022-11-13 00:00:00,11020
2022-11-20 00:00:00,15583
2022-11-27 00:00:00,10358
2022-12-04 00:00:00,24532
2022-12-11 00:00:00,21403
2022-12-18 00:00:00,23334
2022-12-25 00:00:00,23793
2023-01-01 00:00:00,15904
2023-01-08 00:00:00,11443
2023-01-15 00:00:00,0
2023-01-22 00:00:00,27569
2023-01-29 00:00:00,10924
2023-02-05 00:00:00,10137
2023-02-12 00:00:00,10234
2023-02-19 00:00:00,10813
2023-02-26 00:00:00,11248
2023-03-05 00:00:00,10772
