date,OT
2020-03-08 00:00:00,2
2020-03-15 00:00:00,18
2020-03-22 00:00:00,184
2020-03-29 00:00:00,1309
2020-04-05 00:00:00,2898
2020-04-12 00:00:00,3517
2020-04-19 00:00:00,3283
2020-04-26 00:00:00,3801
2020-05-03 00:00:00,4921
2020-05-10 00:00:00,4193
2020-05-17 00:00:00,3652
2020-05-24 00:00:00,3598
2020-05-31 00:00:00,3198
2020-06-07 00:00:00,2823
2020-06-14 00:00:00,2512
2020-06-21 00:00:00,2514
2020-06-28 00:00:00,2507
2020-07-05 00:00:00,3271
2020-07-12 00:00:00,3411
2020-07-19 00:00:00,4959
2020-07-26 00:00:00,5801
2020-08-02 00:00:00,5485
2020-08-09 00:00:00,6471
2020-08-16 00:00:00,6087
2020-08-23 00:00:00,5517
2020-08-30 00:00:00,7381
2020-09-06 00:00:00,6491
2020-09-13 00:00:00,6000
2020-09-20 00:00:00,5701
2020-09-27 00:00:00,5945
2020-10-04 00:00:00,7696
2020-10-11 00:00:00,9835
2020-10-18 00:00:00,12601
2020-10-25 00:00:00,15025
2020-11-01 00:00:00,19501
2020-11-08 00:00:00,28266
2020-11-15 00:00:00,41223
2020-11-22 00:00:00,43760
2020-11-29 00:00:00,37955
2020-12-06 00:00:00,48305
2020-12-13 00:00:00,43817
2020-12-20 00:00:00,38920
2020-12-27 00:00:00,29487
2021-01-03 00:00:00,32230
2021-01-10 00:00:00,37582
2021-01-17 00:00:00,26558
2021-01-24 00:00:00,20828
2021-01-31 00:00:00,15643
2021-02-07 00:00:00,13029
2021-02-14 00:00:00,9164
2021-02-21 00:00:00,6666
2021-02-28 00:00:00,6132
2021-03-07 00:00:00,5589
2021-03-14 00:00:00,5292
2021-03-21 00:00:00,5351
2021-03-28 00:00:00,6115
2021-04-04 00:00:00,6890
2021-04-11 00:00:00,7782
2021-04-18 00:00:00,9375
2021-04-25 00:00:00,6719
2021-05-02 00:00:00,7860
2021-05-09 00:00:00,7070
2021-05-16 00:00:00,5746
2021-05-23 00:00:00,4727
2021-05-30 00:00:00,3507
2021-06-06 00:00:00,2858
2021-06-13 00:00:00,2543
2021-06-20 00:00:00,2145
2021-06-27 00:00:00,1457
2021-07-04 00:00:00,2025
2021-07-11 00:00:00,2338
2021-07-18 00:00:00,3101
2021-07-25 00:00:00,4285
2021-08-01 00:00:00,6851
2021-08-08 00:00:00,10027
2021-08-15 00:00:00,15407
2021-08-22 00:00:00,20416
2021-08-29 00:00:00,26551
2021-09-05 00:00:00,37156
2021-09-12 00:00:00,27095
2021-09-19 00:00:00,25562
2021-09-26 00:00:00,20364
2021-10-03 00:00:00,18221
2021-10-10 00:00:00,16327
2021-10-17 00:00:00,13734
2021-10-24 00:00:00,11136
2021-10-31 00:00:00,11487
2021-11-07 00:00:00,12807
2021-11-14 00:00:00,16591
2021-11-21 00:00:00,15270
2021-11-28 00:00:00,15038
2021-12-05 00:00:00,33847
2021-12-12 00:00:00,32564
2021-12-19 00:00:00,30655
2021-12-26 00:00:00,19372
2022-01-02 00:00:00,45928
2022-01-09 00:00:00,82569
2022-01-16 00:00:00,96454
2022-01-23 00:00:00,98650
2022-01-30 00:00:00,79545
2022-02-06 00:00:00,42865
2022-02-13 00:00:00,17416
2022-02-20 00:00:00,9916
2022-02-27 00:00:00,6062
2022-03-06 00:00:00,3408
2022-03-13 00:00:00,2932
2022-03-20 00:00:00,2099
2022-03-27 00:00:00,1374
2022-04-03 00:00:00,1326
2022-04-10 00:00:00,1230
2022-04-17 00:00:00,865
2022-04-24 00:00:00,3194
2022-05-01 00:00:00,5533
2022-05-08 00:00:00,4793
2022-05-15 00:00:00,6749
2022-05-22 00:00:00,8143
2022-05-29 00:00:00,8784
2022-06-05 00:00:00,8082
2022-06-12 00:00:00,8643
2022-06-19 00:00:00,8473
2022-06-26 00:00:00,8917
2022-07-03 00:00:00,11010
2022-07-10 00:00:00,11173
2022-07-17 00:00:00,11371
2022-07-24 00:00:00,14728
2022-07-31 00:00:00,15576
2022-08-07 00:00:00,14888
2022-08-14 00:00:00,15574
2022-08-21 00:00:00,14200
2022-08-28 00:00:00,13962
2022-09-04 00:00:00,12195
2022-09-11 00:00:00,8772
2022-09-18 00:00:00,6026
2022-09-25 00:00:00,4977
2022-10-02 00:00:00,2665
2022-10-09 00:00:00,3652
2022-10-16 00:00:00,4377
2022-10-23 00:00:00,3080
2022-10-30 00:00:00,4463
2022-11-06 00:00:00,5143
2022-11-13 00:00:00,5311
2022-11-20 00:00:00,5478
2022-11-27 00:00:00,5924
2022-12-04 00:00:00,6336
2022-12-11 00:00:00,11535
2022-12-18 00:00:00,9725
2022-12-25 00:00:00,9236
2023-01-01 00:00:00,6507
2023-01-08 00:00:00,9151
2023-01-15 00:00:00,6067
2023-01-22 00:00:00,2960
2023-01-29 00:00:00,4031
2023-02-05 00:00:00,4490
2023-02-12 00:00:00,4420
2023-02-19 00:00:00,4846
2023-02-26 00:00:00,4344
2023-03-05 00:00:00,4553
