date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,18
2020-03-22 00:00:00,72
2020-03-29 00:00:00,246
2020-04-05 00:00:00,533
2020-04-12 00:00:00,718
2020-04-19 00:00:00,1315
2020-04-26 00:00:00,2574
2020-05-03 00:00:00,3699
2020-05-10 00:00:00,2784
2020-05-17 00:00:00,2692
2020-05-24 00:00:00,2600
2020-05-31 00:00:00,2301
2020-06-07 00:00:00,2160
2020-06-14 00:00:00,2214
2020-06-21 00:00:00,2037
2020-06-28 00:00:00,2557
2020-07-05 00:00:00,2997
2020-07-12 00:00:00,3893
2020-07-19 00:00:00,3403
2020-07-26 00:00:00,3544
2020-08-02 00:00:00,3366
2020-08-09 00:00:00,3196
2020-08-16 00:00:00,3528
2020-08-23 00:00:00,3999
2020-08-30 00:00:00,8153
2020-09-06 00:00:00,5616
2020-09-13 00:00:00,4461
2020-09-20 00:00:00,5734
2020-09-27 00:00:00,6214
2020-10-04 00:00:00,6120
2020-10-11 00:00:00,7199
2020-10-18 00:00:00,7391
2020-10-25 00:00:00,8904
2020-11-01 00:00:00,14736
2020-11-08 00:00:00,23804
2020-11-15 00:00:00,31536
2020-11-22 00:00:00,25350
2020-11-29 00:00:00,17026
2020-12-06 00:00:00,16001
2020-12-13 00:00:00,11558
2020-12-20 00:00:00,11080
2020-12-27 00:00:00,7970
2021-01-03 00:00:00,9416
2021-01-10 00:00:00,11967
2021-01-17 00:00:00,8469
2021-01-24 00:00:00,7986
2021-01-31 00:00:00,6271
2021-02-07 00:00:00,5182
2021-02-14 00:00:00,4668
2021-02-21 00:00:00,3502
2021-02-28 00:00:00,3705
2021-03-07 00:00:00,3207
2021-03-14 00:00:00,3214
2021-03-21 00:00:00,2899
2021-03-28 00:00:00,3929
2021-04-04 00:00:00,3648
2021-04-11 00:00:00,3657
2021-04-18 00:00:00,3035
2021-04-25 00:00:00,2870
2021-05-02 00:00:00,2600
2021-05-09 00:00:00,2193
2021-05-16 00:00:00,1653
2021-05-23 00:00:00,1258
2021-05-30 00:00:00,754
2021-06-06 00:00:00,642
2021-06-13 00:00:00,556
2021-06-20 00:00:00,518
2021-06-27 00:00:00,485
2021-07-04 00:00:00,597
2021-07-11 00:00:00,447
2021-07-18 00:00:00,651
2021-07-25 00:00:00,1395
2021-08-01 00:00:00,2158
2021-08-08 00:00:00,3570
2021-08-15 00:00:00,6822
2021-08-22 00:00:00,5944
2021-08-29 00:00:00,7558
2021-09-05 00:00:00,8852
2021-09-12 00:00:00,9591
2021-09-19 00:00:00,13071
2021-09-26 00:00:00,11429
2021-10-03 00:00:00,9911
2021-10-10 00:00:00,5773
2021-10-17 00:00:00,8167
2021-10-24 00:00:00,6907
2021-10-31 00:00:00,9706
2021-11-07 00:00:00,8275
2021-11-14 00:00:00,9157
2021-11-21 00:00:00,10073
2021-11-28 00:00:00,9221
2021-12-05 00:00:00,11765
2021-12-12 00:00:00,11664
2021-12-19 00:00:00,10742
2021-12-26 00:00:00,6926
2022-01-02 00:00:00,11546
2022-01-09 00:00:00,32499
2022-01-16 00:00:00,37410
2022-01-23 00:00:00,36953
2022-01-30 00:00:00,29925
2022-02-06 00:00:00,17412
2022-02-13 00:00:00,9866
2022-02-20 00:00:00,5964
2022-02-27 00:00:00,3319
2022-03-06 00:00:00,6698
2022-03-13 00:00:00,1231
2022-03-20 00:00:00,773
2022-03-27 00:00:00,743
2022-04-03 00:00:00,754
2022-04-10 00:00:00,673
2022-04-17 00:00:00,1060
2022-04-24 00:00:00,1255
2022-05-01 00:00:00,1746
2022-05-08 00:00:00,2811
2022-05-15 00:00:00,3535
2022-05-22 00:00:00,2077
2022-05-29 00:00:00,3960
2022-06-05 00:00:00,3854
2022-06-12 00:00:00,4283
2022-06-19 00:00:00,3987
2022-06-26 00:00:00,3919
2022-07-03 00:00:00,4403
2022-07-10 00:00:00,4037
2022-07-17 00:00:00,5188
2022-07-24 00:00:00,5391
2022-07-31 00:00:00,5932
2022-08-07 00:00:00,5637
2022-08-14 00:00:00,5648
2022-08-21 00:00:00,4743
2022-08-28 00:00:00,4938
2022-09-04 00:00:00,4909
2022-09-11 00:00:00,4201
2022-09-18 00:00:00,3998
2022-09-25 00:00:00,2821
2022-10-02 00:00:00,2042
2022-10-09 00:00:00,1848
2022-10-16 00:00:00,1688
2022-10-23 00:00:00,1378
2022-10-30 00:00:00,1915
2022-11-06 00:00:00,1827
2022-11-13 00:00:00,1863
2022-11-20 00:00:00,1980
2022-11-27 00:00:00,2302
2022-12-04 00:00:00,2700
2022-12-11 00:00:00,3471
2022-12-18 00:00:00,3702
2022-12-25 00:00:00,3493
2023-01-01 00:00:00,2148
2023-01-08 00:00:00,2256
2023-01-15 00:00:00,2204
2023-01-22 00:00:00,1687
2023-01-29 00:00:00,1568
2023-02-05 00:00:00,1512
2023-02-12 00:00:00,1498
2023-02-19 00:00:00,1626
2023-02-26 00:00:00,1581
2023-03-05 00:00:00,1732
