date,OT
2020-03-08 00:00:00,1
2020-03-15 00:00:00,7
2020-03-22 00:00:00,57
2020-03-29 00:00:00,265
2020-04-05 00:00:00,421
2020-04-12 00:00:00,593
2020-04-19 00:00:00,561
2020-04-26 00:00:00,1372
2020-05-03 00:00:00,1879
2020-05-10 00:00:00,1795
2020-05-17 00:00:00,1002
2020-05-24 00:00:00,1051
2020-05-31 00:00:00,696
2020-06-07 00:00:00,706
2020-06-14 00:00:00,695
2020-06-21 00:00:00,1035
2020-06-28 00:00:00,1711
2020-07-05 00:00:00,2234
2020-07-12 00:00:00,2900
2020-07-19 00:00:00,3015
2020-07-26 00:00:00,3293
2020-08-02 00:00:00,2580
2020-08-09 00:00:00,2775
2020-08-16 00:00:00,3241
2020-08-23 00:00:00,3756
2020-08-30 00:00:00,4095
2020-09-06 00:00:00,4058
2020-09-13 00:00:00,2927
2020-09-20 00:00:00,6120
2020-09-27 00:00:00,4687
2020-10-04 00:00:00,4198
2020-10-11 00:00:00,5160
2020-10-18 00:00:00,5112
2020-10-25 00:00:00,6106
2020-11-01 00:00:00,10068
2020-11-08 00:00:00,14290
2020-11-15 00:00:00,12775
2020-11-22 00:00:00,19496
2020-11-29 00:00:00,18429
2020-12-06 00:00:00,15721
2020-12-13 00:00:00,17112
2020-12-20 00:00:00,15177
2020-12-27 00:00:00,9245
2021-01-03 00:00:00,17566
2021-01-10 00:00:00,14364
2021-01-17 00:00:00,13761
2021-01-24 00:00:00,10550
2021-01-31 00:00:00,8064
2021-02-07 00:00:00,6839
2021-02-14 00:00:00,4563
2021-02-21 00:00:00,4714
2021-02-28 00:00:00,2793
2021-03-07 00:00:00,2189
2021-03-14 00:00:00,1794
2021-03-21 00:00:00,1530
2021-03-28 00:00:00,1467
2021-04-04 00:00:00,1433
2021-04-11 00:00:00,1347
2021-04-18 00:00:00,1634
2021-04-25 00:00:00,1458
2021-05-02 00:00:00,1707
2021-05-09 00:00:00,1461
2021-05-16 00:00:00,1136
2021-05-23 00:00:00,1291
2021-05-30 00:00:00,836
2021-06-06 00:00:00,712
2021-06-13 00:00:00,829
2021-06-20 00:00:00,735
2021-06-27 00:00:00,745
2021-07-04 00:00:00,1192
2021-07-11 00:00:00,1872
2021-07-18 00:00:00,2939
2021-07-25 00:00:00,3790
2021-08-01 00:00:00,5725
2021-08-08 00:00:00,6626
2021-08-15 00:00:00,8375
2021-08-22 00:00:00,8221
2021-08-29 00:00:00,9687
2021-09-05 00:00:00,11353
2021-09-12 00:00:00,9956
2021-09-19 00:00:00,9815
2021-09-26 00:00:00,7516
2021-10-03 00:00:00,6843
2021-10-10 00:00:00,6233
2021-10-17 00:00:00,5687
2021-10-24 00:00:00,5597
2021-10-31 00:00:00,5837
2021-11-07 00:00:00,5622
2021-11-14 00:00:00,7524
2021-11-21 00:00:00,8020
2021-11-28 00:00:00,5378
2021-12-05 00:00:00,13259
2021-12-12 00:00:00,11603
2021-12-19 00:00:00,11698
2021-12-26 00:00:00,7788
2022-01-02 00:00:00,14043
2022-01-09 00:00:00,45901
2022-01-16 00:00:00,54495
2022-01-23 00:00:00,60201
2022-01-30 00:00:00,41990
2022-02-06 00:00:00,21853
2022-02-13 00:00:00,4448
2022-02-20 00:00:00,13394
2022-02-27 00:00:00,3324
2022-03-06 00:00:00,2059
2022-03-13 00:00:00,1176
2022-03-20 00:00:00,521
2022-03-27 00:00:00,466
2022-04-03 00:00:00,541
2022-04-10 00:00:00,682
2022-04-17 00:00:00,1302
2022-04-24 00:00:00,1574
2022-05-01 00:00:00,2016
2022-05-08 00:00:00,2229
2022-05-15 00:00:00,2849
2022-05-22 00:00:00,1909
2022-05-29 00:00:00,3107
2022-06-05 00:00:00,3202
2022-06-12 00:00:00,4686
2022-06-19 00:00:00,3955
2022-06-26 00:00:00,4138
2022-07-03 00:00:00,5017
2022-07-10 00:00:00,5408
2022-07-17 00:00:00,7336
2022-07-24 00:00:00,7651
2022-07-31 00:00:00,7507
2022-08-07 00:00:00,6751
2022-08-14 00:00:00,6611
2022-08-21 00:00:00,5390
2022-08-28 00:00:00,5073
2022-09-04 00:00:00,5747
2022-09-11 00:00:00,4562
2022-09-18 00:00:00,4169
2022-09-25 00:00:00,2780
2022-10-02 00:00:00,2628
2022-10-09 00:00:00,1690
2022-10-16 00:00:00,2878
2022-10-23 00:00:00,1905
2022-10-30 00:00:00,2099
2022-11-06 00:00:00,2392
2022-11-13 00:00:00,2707
2022-11-20 00:00:00,2590
2022-11-27 00:00:00,3049
2022-12-04 00:00:00,3604
2022-12-11 00:00:00,4273
2022-12-18 00:00:00,4168
2022-12-25 00:00:00,4207
2023-01-01 00:00:00,2721
2023-01-08 00:00:00,2838
2023-01-15 00:00:00,2346
2023-01-22 00:00:00,1944
2023-01-29 00:00:00,2146
2023-02-05 00:00:00,2164
2023-02-12 00:00:00,1960
2023-02-19 00:00:00,2054
2023-02-26 00:00:00,1987
2023-03-05 00:00:00,1927
