date,OT
2020-03-08 00:00:00,1
2020-03-15 00:00:00,17
2020-03-22 00:00:00,85
2020-03-29 00:00:00,335
2020-04-05 00:00:00,517
2020-04-12 00:00:00,1008
2020-04-19 00:00:00,997
2020-04-26 00:00:00,1125
2020-05-03 00:00:00,1045
2020-05-10 00:00:00,1310
2020-05-17 00:00:00,1248
2020-05-24 00:00:00,883
2020-05-31 00:00:00,1133
2020-06-07 00:00:00,1583
2020-06-14 00:00:00,1158
2020-06-21 00:00:00,1305
2020-06-28 00:00:00,1482
2020-07-05 00:00:00,1144
2020-07-12 00:00:00,3013
2020-07-19 00:00:00,3772
2020-07-26 00:00:00,3921
2020-08-02 00:00:00,4103
2020-08-09 00:00:00,3797
2020-08-16 00:00:00,3948
2020-08-23 00:00:00,4136
2020-08-30 00:00:00,4965
2020-09-06 00:00:00,4743
2020-09-13 00:00:00,4171
2020-09-20 00:00:00,4597
2020-09-27 00:00:00,4949
2020-10-04 00:00:00,6126
2020-10-11 00:00:00,7675
2020-10-18 00:00:00,7315
2020-10-25 00:00:00,9335
2020-11-01 00:00:00,11700
2020-11-08 00:00:00,12196
2020-11-15 00:00:00,16748
2020-11-22 00:00:00,20514
2020-11-29 00:00:00,18825
2020-12-06 00:00:00,23706
2020-12-13 00:00:00,22472
2020-12-20 00:00:00,19217
2020-12-27 00:00:00,14742
2021-01-03 00:00:00,19763
2021-01-10 00:00:00,26799
2021-01-17 00:00:00,23050
2021-01-24 00:00:00,19464
2021-01-31 00:00:00,16743
2021-02-07 00:00:00,14909
2021-02-14 00:00:00,11008
2021-02-21 00:00:00,8199
2021-02-28 00:00:00,7625
2021-03-07 00:00:00,6087
2021-03-14 00:00:00,5506
2021-03-21 00:00:00,4613
2021-03-28 00:00:00,4196
2021-04-04 00:00:00,4377
2021-04-11 00:00:00,3684
2021-04-18 00:00:00,4227
2021-04-25 00:00:00,3643
2021-05-02 00:00:00,4184
2021-05-09 00:00:00,3813
2021-05-16 00:00:00,3585
2021-05-23 00:00:00,3253
2021-05-30 00:00:00,2689
2021-06-06 00:00:00,2006
2021-06-13 00:00:00,1818
2021-06-20 00:00:00,1290
2021-06-27 00:00:00,1024
2021-07-04 00:00:00,1135
2021-07-11 00:00:00,1696
2021-07-18 00:00:00,2992
2021-07-25 00:00:00,5438
2021-08-01 00:00:00,9185
2021-08-08 00:00:00,13903
2021-08-15 00:00:00,17935
2021-08-22 00:00:00,23546
2021-08-29 00:00:00,29456
2021-09-05 00:00:00,30680
2021-09-12 00:00:00,27301
2021-09-19 00:00:00,28289
2021-09-26 00:00:00,22560
2021-10-03 00:00:00,20437
2021-10-10 00:00:00,15014
2021-10-17 00:00:00,12265
2021-10-24 00:00:00,9749
2021-10-31 00:00:00,8603
2021-11-07 00:00:00,7919
2021-11-14 00:00:00,9506
2021-11-21 00:00:00,10564
2021-11-28 00:00:00,9686
2021-12-05 00:00:00,15875
2021-12-12 00:00:00,15852
2021-12-19 00:00:00,15588
2021-12-26 00:00:00,6650
2022-01-02 00:00:00,19704
2022-01-09 00:00:00,59736
2022-01-16 00:00:00,59465
2022-01-23 00:00:00,80938
2022-01-30 00:00:00,84603
2022-02-06 00:00:00,52896
2022-02-13 00:00:00,38514
2022-02-20 00:00:00,26150
2022-02-27 00:00:00,16234
2022-03-06 00:00:00,12016
2022-03-13 00:00:00,2009
2022-03-20 00:00:00,9532
2022-03-27 00:00:00,8639
2022-04-03 00:00:00,8796
2022-04-10 00:00:00,3277
2022-04-17 00:00:00,3174
2022-04-24 00:00:00,2940
2022-05-01 00:00:00,3047
2022-05-08 00:00:00,4054
2022-05-15 00:00:00,5408
2022-05-22 00:00:00,8525
2022-05-29 00:00:00,6016
2022-06-05 00:00:00,9630
2022-06-12 00:00:00,13675
2022-06-19 00:00:00,8919
2022-06-26 00:00:00,12938
2022-07-03 00:00:00,7786
2022-07-10 00:00:00,9704
2022-07-17 00:00:00,11950
2022-07-24 00:00:00,17727
2022-07-31 00:00:00,20674
2022-08-07 00:00:00,18178
2022-08-14 00:00:00,17669
2022-08-21 00:00:00,15020
2022-08-28 00:00:00,14742
2022-09-04 00:00:00,13876
2022-09-11 00:00:00,10326
2022-09-18 00:00:00,9163
2022-09-25 00:00:00,7950
2022-10-02 00:00:00,9980
2022-10-09 00:00:00,9337
2022-10-16 00:00:00,8585
2022-10-23 00:00:00,2693
2022-10-30 00:00:00,7117
2022-11-06 00:00:00,5842
2022-11-13 00:00:00,4834
2022-11-20 00:00:00,5213
2022-11-27 00:00:00,5502
2022-12-04 00:00:00,4139
2022-12-11 00:00:00,5478
2022-12-18 00:00:00,5510
2022-12-25 00:00:00,8912
2023-01-01 00:00:00,7398
2023-01-08 00:00:00,3532
2023-01-15 00:00:00,9250
2023-01-22 00:00:00,5238
2023-01-29 00:00:00,5078
2023-02-05 00:00:00,7687
2023-02-12 00:00:00,4780
2023-02-19 00:00:00,6567
2023-02-26 00:00:00,3729
2023-03-05 00:00:00,5242
