date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,87
2020-03-22 00:00:00,750
2020-03-29 00:00:00,2703
2020-04-05 00:00:00,9470
2020-04-12 00:00:00,7585
2020-04-19 00:00:00,3333
2020-04-26 00:00:00,2845
2020-05-03 00:00:00,2567
2020-05-10 00:00:00,2260
2020-05-17 00:00:00,2832
2020-05-24 00:00:00,2737
2020-05-31 00:00:00,2747
2020-06-07 00:00:00,2900
2020-06-14 00:00:00,3803
2020-06-21 00:00:00,3159
2020-06-28 00:00:00,6458
2020-07-05 00:00:00,8990
2020-07-12 00:00:00,12896
2020-07-19 00:00:00,13584
2020-07-26 00:00:00,15868
2020-08-02 00:00:00,12173
2020-08-09 00:00:00,11652
2020-08-16 00:00:00,6519
2020-08-23 00:00:00,5025
2020-08-30 00:00:00,5625
2020-09-06 00:00:00,5186
2020-09-13 00:00:00,4636
2020-09-20 00:00:00,3868
2020-09-27 00:00:00,3817
2020-10-04 00:00:00,3644
2020-10-11 00:00:00,4868
2020-10-18 00:00:00,4282
2020-10-25 00:00:00,4706
2020-11-01 00:00:00,4145
2020-11-08 00:00:00,5261
2020-11-15 00:00:00,11532
2020-11-22 00:00:00,15679
2020-11-29 00:00:00,12053
2020-12-06 00:00:00,18878
2020-12-13 00:00:00,17490
2020-12-20 00:00:00,17532
2020-12-27 00:00:00,13577
2021-01-03 00:00:00,21336
2021-01-10 00:00:00,25771
2021-01-17 00:00:00,22151
2021-01-24 00:00:00,14882
2021-01-31 00:00:00,16764
2021-02-07 00:00:00,11186
2021-02-14 00:00:00,8079
2021-02-21 00:00:00,4285
2021-02-28 00:00:00,5924
2021-03-07 00:00:00,3685
2021-03-14 00:00:00,3608
2021-03-21 00:00:00,2344
2021-03-28 00:00:00,3332
2021-04-04 00:00:00,2400
2021-04-11 00:00:00,3369
2021-04-18 00:00:00,3117
2021-04-25 00:00:00,3586
2021-05-02 00:00:00,3040
2021-05-09 00:00:00,3192
2021-05-16 00:00:00,3060
2021-05-23 00:00:00,2982
2021-05-30 00:00:00,2870
2021-06-06 00:00:00,2296
2021-06-13 00:00:00,2373
2021-06-20 00:00:00,2099
2021-06-27 00:00:00,2068
2021-07-04 00:00:00,3039
2021-07-11 00:00:00,4998
2021-07-18 00:00:00,8387
2021-07-25 00:00:00,16898
2021-08-01 00:00:00,28836
2021-08-08 00:00:00,32224
2021-08-15 00:00:00,40873
2021-08-22 00:00:00,35139
2021-08-29 00:00:00,29881
2021-09-05 00:00:00,17104
2021-09-12 00:00:00,15674
2021-09-19 00:00:00,13063
2021-09-26 00:00:00,8887
2021-10-03 00:00:00,7382
2021-10-10 00:00:00,5423
2021-10-17 00:00:00,4545
2021-10-24 00:00:00,3757
2021-10-31 00:00:00,2840
2021-11-07 00:00:00,3378
2021-11-14 00:00:00,2505
2021-11-21 00:00:00,2976
2021-11-28 00:00:00,1721
2021-12-05 00:00:00,3738
2021-12-12 00:00:00,3146
2021-12-19 00:00:00,4733
2021-12-26 00:00:00,9705
2022-01-02 00:00:00,38322
2022-01-09 00:00:00,79733
2022-01-16 00:00:00,88195
2022-01-23 00:00:00,63399
2022-01-30 00:00:00,100108
2022-02-06 00:00:00,32245
2022-02-13 00:00:00,18023
2022-02-20 00:00:00,9066
2022-02-27 00:00:00,6173
2022-03-06 00:00:00,2408
2022-03-13 00:00:00,1608
2022-03-20 00:00:00,1345
2022-03-27 00:00:00,848
2022-04-03 00:00:00,667
2022-04-10 00:00:00,966
2022-04-17 00:00:00,1171
2022-04-24 00:00:00,1461
2022-05-01 00:00:00,1900
2022-05-08 00:00:00,2527
2022-05-15 00:00:00,3885
2022-05-22 00:00:00,6006
2022-05-29 00:00:00,6719
2022-06-05 00:00:00,8077
2022-06-12 00:00:00,9573
2022-06-19 00:00:00,8170
2022-06-26 00:00:00,13893
2022-07-03 00:00:00,13968
2022-07-10 00:00:00,15535
2022-07-17 00:00:00,18949
2022-07-24 00:00:00,18230
2022-07-31 00:00:00,14123
2022-08-07 00:00:00,11798
2022-08-14 00:00:00,10801
2022-08-21 00:00:00,10552
2022-08-28 00:00:00,11634
2022-09-04 00:00:00,11074
2022-09-11 00:00:00,9360
2022-09-18 00:00:00,5618
2022-09-25 00:00:00,3992
2022-10-02 00:00:00,2795
2022-10-09 00:00:00,2059
2022-10-16 00:00:00,1959
2022-10-23 00:00:00,558
2022-10-30 00:00:00,1567
2022-11-06 00:00:00,1946
2022-11-13 00:00:00,2321
2022-11-20 00:00:00,1873
2022-11-27 00:00:00,2868
2022-12-04 00:00:00,2651
2022-12-11 00:00:00,4453
2022-12-18 00:00:00,4724
2022-12-25 00:00:00,25438
2023-01-01 00:00:00,6406
2023-01-08 00:00:00,7090
2023-01-15 00:00:00,6849
2023-01-22 00:00:00,5205
2023-01-29 00:00:00,5019
2023-02-05 00:00:00,10232
2023-02-12 00:00:00,6972
2023-02-19 00:00:00,5147
2023-02-26 00:00:00,5478
2023-03-05 00:00:00,4566
