date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,2
2020-03-22 00:00:00,87
2020-03-29 00:00:00,164
2020-04-05 00:00:00,217
2020-04-12 00:00:00,163
2020-04-19 00:00:00,234
2020-04-26 00:00:00,148
2020-05-03 00:00:00,170
2020-05-10 00:00:00,251
2020-05-17 00:00:00,251
2020-05-24 00:00:00,368
2020-05-31 00:00:00,270
2020-06-07 00:00:00,245
2020-06-14 00:00:00,223
2020-06-21 00:00:00,164
2020-06-28 00:00:00,234
2020-07-05 00:00:00,224
2020-07-12 00:00:00,124
2020-07-19 00:00:00,148
2020-07-26 00:00:00,127
2020-08-02 00:00:00,144
2020-08-09 00:00:00,86
2020-08-16 00:00:00,124
2020-08-23 00:00:00,168
2020-08-30 00:00:00,178
2020-09-06 00:00:00,169
2020-09-13 00:00:00,180
2020-09-20 00:00:00,214
2020-09-27 00:00:00,210
2020-10-04 00:00:00,232
2020-10-11 00:00:00,201
2020-10-18 00:00:00,217
2020-10-25 00:00:00,262
2020-11-01 00:00:00,512
2020-11-08 00:00:00,982
2020-11-15 00:00:00,1251
2020-11-22 00:00:00,1415
2020-11-29 00:00:00,1149
2020-12-06 00:00:00,1840
2020-12-13 00:00:00,2575
2020-12-20 00:00:00,3023
2020-12-27 00:00:00,2934
2021-01-03 00:00:00,3712
2021-01-10 00:00:00,3706
2021-01-17 00:00:00,4261
2021-01-24 00:00:00,3039
2021-01-31 00:00:00,2726
2021-02-07 00:00:00,1895
2021-02-14 00:00:00,1310
2021-02-21 00:00:00,968
2021-02-28 00:00:00,1138
2021-03-07 00:00:00,1159
2021-03-14 00:00:00,1238
2021-03-21 00:00:00,1432
2021-03-28 00:00:00,1386
2021-04-04 00:00:00,1915
2021-04-11 00:00:00,2195
2021-04-18 00:00:00,3325
2021-04-25 00:00:00,2491
2021-05-02 00:00:00,2071
2021-05-09 00:00:00,2147
2021-05-16 00:00:00,1722
2021-05-23 00:00:00,1263
2021-05-30 00:00:00,766
2021-06-06 00:00:00,488
2021-06-13 00:00:00,357
2021-06-20 00:00:00,236
2021-06-27 00:00:00,151
2021-07-04 00:00:00,144
2021-07-11 00:00:00,99
2021-07-18 00:00:00,256
2021-07-25 00:00:00,429
2021-08-01 00:00:00,558
2021-08-08 00:00:00,843
2021-08-15 00:00:00,1216
2021-08-22 00:00:00,1138
2021-08-29 00:00:00,1721
2021-09-05 00:00:00,2690
2021-09-12 00:00:00,2442
2021-09-19 00:00:00,3397
2021-09-26 00:00:00,3282
2021-10-03 00:00:00,4276
2021-10-10 00:00:00,3473
2021-10-17 00:00:00,2784
2021-10-24 00:00:00,3242
2021-10-31 00:00:00,3292
2021-11-07 00:00:00,3513
2021-11-14 00:00:00,3373
2021-11-21 00:00:00,4718
2021-11-28 00:00:00,2626
2021-12-05 00:00:00,4629
2021-12-12 00:00:00,6879
2021-12-19 00:00:00,6404
2021-12-26 00:00:00,5379
2022-01-02 00:00:00,4956
2022-01-09 00:00:00,6640
2022-01-16 00:00:00,7481
2022-01-23 00:00:00,6042
2022-01-30 00:00:00,7326
2022-02-06 00:00:00,6785
2022-02-13 00:00:00,6687
2022-02-20 00:00:00,30670
2022-02-27 00:00:00,7776
2022-03-06 00:00:00,4577
2022-03-13 00:00:00,1573
2022-03-20 00:00:00,1403
2022-03-27 00:00:00,1143
2022-04-03 00:00:00,1419
2022-04-10 00:00:00,1459
2022-04-17 00:00:00,2369
2022-04-24 00:00:00,1947
2022-05-01 00:00:00,3047
2022-05-08 00:00:00,5609
2022-05-15 00:00:00,4166
2022-05-22 00:00:00,4203
2022-05-29 00:00:00,3514
2022-06-05 00:00:00,1794
2022-06-12 00:00:00,1739
2022-06-19 00:00:00,1602
2022-06-26 00:00:00,1135
2022-07-03 00:00:00,1489
2022-07-10 00:00:00,1265
2022-07-17 00:00:00,1527
2022-07-24 00:00:00,1377
2022-07-31 00:00:00,1497
2022-08-07 00:00:00,1462
2022-08-14 00:00:00,1462
2022-08-21 00:00:00,1482
2022-08-28 00:00:00,1703
2022-09-04 00:00:00,1505
2022-09-11 00:00:00,1270
2022-09-18 00:00:00,1686
2022-09-25 00:00:00,1676
2022-10-02 00:00:00,1810
2022-10-09 00:00:00,1931
2022-10-16 00:00:00,1858
2022-10-23 00:00:00,1924
2022-10-30 00:00:00,1480
2022-11-06 00:00:00,1325
2022-11-13 00:00:00,930
2022-11-20 00:00:00,854
2022-11-27 00:00:00,492
2022-12-04 00:00:00,1218
2022-12-11 00:00:00,1207
2022-12-18 00:00:00,1219
2022-12-25 00:00:00,1109
2023-01-01 00:00:00,1047
2023-01-08 00:00:00,1290
2023-01-15 00:00:00,1296
2023-01-22 00:00:00,1176
2023-01-29 00:00:00,1084
2023-02-05 00:00:00,1138
2023-02-12 00:00:00,1250
2023-02-19 00:00:00,237
2023-02-26 00:00:00,950
2023-03-05 00:00:00,1692
