date,OT
2020-03-08 00:00:00,5
2020-03-15 00:00:00,19
2020-03-22 00:00:00,220
2020-03-29 00:00:00,995
2020-04-05 00:00:00,2378
2020-04-12 00:00:00,4608
2020-04-19 00:00:00,4622
2020-04-26 00:00:00,5734
2020-05-03 00:00:00,6881
2020-05-10 00:00:00,7125
2020-05-17 00:00:00,6217
2020-05-24 00:00:00,7509
2020-05-31 00:00:00,6465
2020-06-07 00:00:00,5195
2020-06-14 00:00:00,3728
2020-06-21 00:00:00,2605
2020-06-28 00:00:00,2471
2020-07-05 00:00:00,2855
2020-07-12 00:00:00,3477
2020-07-19 00:00:00,5022
2020-07-26 00:00:00,5617
2020-08-02 00:00:00,6526
2020-08-09 00:00:00,5229
2020-08-16 00:00:00,4709
2020-08-23 00:00:00,3890
2020-08-30 00:00:00,3689
2020-09-06 00:00:00,4328
2020-09-13 00:00:00,3991
2020-09-20 00:00:00,4046
2020-09-27 00:00:00,3247
2020-10-04 00:00:00,3887
2020-10-11 00:00:00,4067
2020-10-18 00:00:00,4300
2020-10-25 00:00:00,4622
2020-11-01 00:00:00,5866
2020-11-08 00:00:00,7851
2020-11-15 00:00:00,11934
2020-11-22 00:00:00,16209
2020-11-29 00:00:00,14308
2020-12-06 00:00:00,18580
2020-12-13 00:00:00,19620
2020-12-20 00:00:00,16161
2020-12-27 00:00:00,16390
2021-01-03 00:00:00,18121
2021-01-10 00:00:00,21355
2021-01-17 00:00:00,19771
2021-01-24 00:00:00,15007
2021-01-31 00:00:00,13021
2021-02-07 00:00:00,9177
2021-02-14 00:00:00,7333
2021-02-21 00:00:00,5372
2021-02-28 00:00:00,5744
2021-03-07 00:00:00,5220
2021-03-14 00:00:00,6122
2021-03-21 00:00:00,6582
2021-03-28 00:00:00,8021
2021-04-04 00:00:00,9285
2021-04-11 00:00:00,9401
2021-04-18 00:00:00,9298
2021-04-25 00:00:00,7229
2021-05-02 00:00:00,5732
2021-05-09 00:00:00,4136
2021-05-16 00:00:00,2879
2021-05-23 00:00:00,2288
2021-05-30 00:00:00,1485
2021-06-06 00:00:00,798
2021-06-13 00:00:00,690
2021-06-20 00:00:00,474
2021-06-27 00:00:00,405
2021-07-04 00:00:00,452
2021-07-11 00:00:00,590
2021-07-18 00:00:00,1011
2021-07-25 00:00:00,1752
2021-08-01 00:00:00,3146
2021-08-08 00:00:00,4874
2021-08-15 00:00:00,5983
2021-08-22 00:00:00,7016
2021-08-29 00:00:00,8014
2021-09-05 00:00:00,8052
2021-09-12 00:00:00,7509
2021-09-19 00:00:00,8554
2021-09-26 00:00:00,8707
2021-10-03 00:00:00,8445
2021-10-10 00:00:00,7970
2021-10-17 00:00:00,6331
2021-10-24 00:00:00,5533
2021-10-31 00:00:00,5187
2021-11-07 00:00:00,4812
2021-11-14 00:00:00,5543
2021-11-21 00:00:00,6394
2021-11-28 00:00:00,6118
2021-12-05 00:00:00,9539
2021-12-12 00:00:00,9241
2021-12-19 00:00:00,17858
2021-12-26 00:00:00,46512
2022-01-02 00:00:00,79718
2022-01-09 00:00:00,99523
2022-01-16 00:00:00,72439
2022-01-23 00:00:00,37671
2022-01-30 00:00:00,19607
2022-02-06 00:00:00,10902
2022-02-13 00:00:00,6081
2022-02-20 00:00:00,4908
2022-02-27 00:00:00,3754
2022-03-06 00:00:00,2649
2022-03-13 00:00:00,2097
2022-03-20 00:00:00,2104
2022-03-27 00:00:00,1982
2022-04-03 00:00:00,1635
2022-04-10 00:00:00,3001
2022-04-17 00:00:00,4129
2022-04-24 00:00:00,5433
2022-05-01 00:00:00,6613
2022-05-08 00:00:00,8243
2022-05-15 00:00:00,12162
2022-05-22 00:00:00,16083
2022-05-29 00:00:00,15403
2022-06-05 00:00:00,12479
2022-06-12 00:00:00,11488
2022-06-19 00:00:00,10006
2022-06-26 00:00:00,8691
2022-07-03 00:00:00,10229
2022-07-10 00:00:00,9127
2022-07-17 00:00:00,11317
2022-07-24 00:00:00,11161
2022-07-31 00:00:00,11483
2022-08-07 00:00:00,11005
2022-08-14 00:00:00,10930
2022-08-21 00:00:00,8977
2022-08-28 00:00:00,7998
2022-09-04 00:00:00,7221
2022-09-11 00:00:00,6287
2022-09-18 00:00:00,6912
2022-09-25 00:00:00,6012
2022-10-02 00:00:00,5285
2022-10-09 00:00:00,4633
2022-10-16 00:00:00,4148
2022-10-23 00:00:00,4466
2022-10-30 00:00:00,4461
2022-11-06 00:00:00,4835
2022-11-13 00:00:00,3983
2022-11-20 00:00:00,4800
2022-11-27 00:00:00,2818
2022-12-04 00:00:00,6682
2022-12-11 00:00:00,6234
2022-12-18 00:00:00,6737
2022-12-25 00:00:00,7569
2023-01-01 00:00:00,6836
2023-01-08 00:00:00,7465
2023-01-15 00:00:00,7396
2023-01-22 00:00:00,4880
2023-01-29 00:00:00,5931
2023-02-05 00:00:00,4421
2023-02-12 00:00:00,4534
2023-02-19 00:00:00,4010
2023-02-26 00:00:00,3249
2023-03-05 00:00:00,2941
