date,OT
2020-03-08 00:00:00,88
2020-03-15 00:00:00,272
2020-03-22 00:00:00,1929
2020-03-29 00:00:00,5130
2020-04-05 00:00:00,8750
2020-04-12 00:00:00,12099
2020-04-19 00:00:00,15479
2020-04-26 00:00:00,14634
2020-05-03 00:00:00,12339
2020-05-10 00:00:00,9554
2020-05-17 00:00:00,7528
2020-05-24 00:00:00,6003
2020-05-31 00:00:00,3452
2020-06-07 00:00:00,2465
2020-06-14 00:00:00,1673
2020-06-21 00:00:00,1329
2020-06-28 00:00:00,1278
2020-07-05 00:00:00,1187
2020-07-12 00:00:00,1483
2020-07-19 00:00:00,1577
2020-07-26 00:00:00,1785
2020-08-02 00:00:00,2072
2020-08-09 00:00:00,2043
2020-08-16 00:00:00,2027
2020-08-23 00:00:00,2058
2020-08-30 00:00:00,2331
2020-09-06 00:00:00,1994
2020-09-13 00:00:00,2264
2020-09-20 00:00:00,2714
2020-09-27 00:00:00,3102
2020-10-04 00:00:00,4305
2020-10-11 00:00:00,3956
2020-10-18 00:00:00,4757
2020-10-25 00:00:00,6905
2020-11-01 00:00:00,9142
2020-11-08 00:00:00,11692
2020-11-15 00:00:00,16876
2020-11-22 00:00:00,18575
2020-11-29 00:00:00,18114
2020-12-06 00:00:00,31880
2020-12-13 00:00:00,33734
2020-12-20 00:00:00,32953
2020-12-27 00:00:00,29205
2021-01-03 00:00:00,34926
2021-01-10 00:00:00,45129
2021-01-17 00:00:00,37349
2021-01-24 00:00:00,29897
2021-01-31 00:00:00,23988
2021-02-07 00:00:00,19909
2021-02-14 00:00:00,13843
2021-02-21 00:00:00,11507
2021-02-28 00:00:00,11864
2021-03-07 00:00:00,10208
2021-03-14 00:00:00,10952
2021-03-21 00:00:00,12360
2021-03-28 00:00:00,14863
2021-04-04 00:00:00,13701
2021-04-11 00:00:00,16337
2021-04-18 00:00:00,13088
2021-04-25 00:00:00,10127
2021-05-02 00:00:00,8388
2021-05-09 00:00:00,6226
2021-05-16 00:00:00,4641
2021-05-23 00:00:00,3103
2021-05-30 00:00:00,1803
2021-06-06 00:00:00,1138
2021-06-13 00:00:00,792
2021-06-20 00:00:00,520
2021-06-27 00:00:00,374
2021-07-04 00:00:00,369
2021-07-11 00:00:00,692
2021-07-18 00:00:00,1442
2021-07-25 00:00:00,2908
2021-08-01 00:00:00,4600
2021-08-08 00:00:00,6615
2021-08-15 00:00:00,8091
2021-08-22 00:00:00,9249
2021-08-29 00:00:00,10060
2021-09-05 00:00:00,11789
2021-09-12 00:00:00,11438
2021-09-19 00:00:00,13931
2021-09-26 00:00:00,11876
2021-10-03 00:00:00,10770
2021-10-10 00:00:00,9886
2021-10-17 00:00:00,9826
2021-10-24 00:00:00,9341
2021-10-31 00:00:00,9270
2021-11-07 00:00:00,9558
2021-11-14 00:00:00,11801
2021-11-21 00:00:00,17452
2021-11-28 00:00:00,18972
2021-12-05 00:00:00,26139
2021-12-12 00:00:00,33745
2021-12-19 00:00:00,35881
2021-12-26 00:00:00,50049
2022-01-02 00:00:00,85095
2022-01-09 00:00:00,139314
2022-01-16 00:00:00,146355
2022-01-23 00:00:00,109703
2022-01-30 00:00:00,62465
2022-02-06 00:00:00,32011
2022-02-13 00:00:00,18194
2022-02-20 00:00:00,12550
2022-02-27 00:00:00,8388
2022-03-06 00:00:00,6173
2022-03-13 00:00:00,4906
2022-03-20 00:00:00,5264
2022-03-27 00:00:00,6240
2022-04-03 00:00:00,8184
2022-04-10 00:00:00,9539
2022-04-17 00:00:00,14469
2022-04-24 00:00:00,13862
2022-05-01 00:00:00,18872
2022-05-08 00:00:00,22726
2022-05-15 00:00:00,29480
2022-05-22 00:00:00,30983
2022-05-29 00:00:00,22785
2022-06-05 00:00:00,16440
2022-06-12 00:00:00,14652
2022-06-19 00:00:00,11550
2022-06-26 00:00:00,10045
2022-07-03 00:00:00,10779
2022-07-10 00:00:00,9904
2022-07-17 00:00:00,7872
2022-07-24 00:00:00,11525
2022-07-31 00:00:00,11075
2022-08-07 00:00:00,10584
2022-08-14 00:00:00,9882
2022-08-21 00:00:00,9069
2022-08-28 00:00:00,8796
2022-09-04 00:00:00,8742
2022-09-11 00:00:00,7339
2022-09-18 00:00:00,9004
2022-09-25 00:00:00,10267
2022-10-02 00:00:00,10340
2022-10-09 00:00:00,9942
2022-10-16 00:00:00,8964
2022-10-23 00:00:00,8377
2022-10-30 00:00:00,8413
2022-11-06 00:00:00,6200
2022-11-13 00:00:00,6400
2022-11-20 00:00:00,5215
2022-11-27 00:00:00,5266
2022-12-04 00:00:00,5830
2022-12-11 00:00:00,8694
2022-12-18 00:00:00,9857
2022-12-25 00:00:00,10867
2023-01-01 00:00:00,9919
2023-01-08 00:00:00,11949
2023-01-15 00:00:00,11192
2023-01-22 00:00:00,8399
2023-01-29 00:00:00,7156
2023-02-05 00:00:00,7164
2023-02-12 00:00:00,5566
2023-02-19 00:00:00,5478
2023-02-26 00:00:00,5080
2023-03-05 00:00:00,4092
