date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,45
2020-03-22 00:00:00,1086
2020-03-29 00:00:00,4622
2020-04-05 00:00:00,10515
2020-04-12 00:00:00,8915
2020-04-19 00:00:00,7505
2020-04-26 00:00:00,6852
2020-05-03 00:00:00,6507
2020-05-10 00:00:00,4039
2020-05-17 00:00:00,4877
2020-05-24 00:00:00,4432
2020-05-31 00:00:00,3316
2020-06-07 00:00:00,2258
2020-06-14 00:00:00,1085
2020-06-21 00:00:00,1657
2020-06-28 00:00:00,2235
2020-07-05 00:00:00,2995
2020-07-12 00:00:00,3835
2020-07-19 00:00:00,5092
2020-07-26 00:00:00,4793
2020-08-02 00:00:00,5097
2020-08-09 00:00:00,4968
2020-08-16 00:00:00,5533
2020-08-23 00:00:00,4549
2020-08-30 00:00:00,5718
2020-09-06 00:00:00,4665
2020-09-13 00:00:00,5867
2020-09-20 00:00:00,5029
2020-09-27 00:00:00,6286
2020-10-04 00:00:00,6898
2020-10-11 00:00:00,8182
2020-10-18 00:00:00,11652
2020-10-25 00:00:00,14507
2020-11-01 00:00:00,21794
2020-11-08 00:00:00,31667
2020-11-15 00:00:00,46719
2020-11-22 00:00:00,53229
2020-11-29 00:00:00,49131
2020-12-06 00:00:00,48424
2020-12-13 00:00:00,38583
2020-12-20 00:00:00,30897
2020-12-27 00:00:00,20270
2021-01-03 00:00:00,21795
2021-01-10 00:00:00,24432
2021-01-17 00:00:00,19232
2021-01-24 00:00:00,14961
2021-01-31 00:00:00,13392
2021-02-07 00:00:00,10547
2021-02-14 00:00:00,8271
2021-02-21 00:00:00,7313
2021-02-28 00:00:00,9281
2021-03-07 00:00:00,10522
2021-03-14 00:00:00,14016
2021-03-21 00:00:00,20982
2021-03-28 00:00:00,32630
2021-04-04 00:00:00,45192
2021-04-11 00:00:00,51512
2021-04-18 00:00:00,53296
2021-04-25 00:00:00,38100
2021-05-02 00:00:00,28375
2021-05-09 00:00:00,21781
2021-05-16 00:00:00,14383
2021-05-23 00:00:00,10096
2021-05-30 00:00:00,5506
2021-06-06 00:00:00,2994
2021-06-13 00:00:00,2051
2021-06-20 00:00:00,1163
2021-06-27 00:00:00,970
2021-07-04 00:00:00,1256
2021-07-11 00:00:00,1370
2021-07-18 00:00:00,1687
2021-07-25 00:00:00,2928
2021-08-01 00:00:00,4746
2021-08-08 00:00:00,7495
2021-08-15 00:00:00,10029
2021-08-22 00:00:00,12043
2021-08-29 00:00:00,14036
2021-09-05 00:00:00,16254
2021-09-12 00:00:00,17238
2021-09-19 00:00:00,21442
2021-09-26 00:00:00,23008
2021-10-03 00:00:00,26768
2021-10-10 00:00:00,29611
2021-10-17 00:00:00,30685
2021-10-24 00:00:00,27308
2021-10-31 00:00:00,28080
2021-11-07 00:00:00,34552
2021-11-14 00:00:00,37213
2021-11-21 00:00:00,61551
2021-11-28 00:00:00,38811
2021-12-05 00:00:00,70095
2021-12-12 00:00:00,50253
2021-12-19 00:00:00,46563
2021-12-26 00:00:00,31437
2022-01-02 00:00:00,64747
2022-01-09 00:00:00,145333
2022-01-16 00:00:00,128398
2022-01-23 00:00:00,140169
2022-01-30 00:00:00,110955
2022-02-06 00:00:00,59870
2022-02-13 00:00:00,29804
2022-02-20 00:00:00,18308
2022-02-27 00:00:00,14793
2022-03-06 00:00:00,7872
2022-03-13 00:00:00,5961
2022-03-20 00:00:00,6651
2022-03-27 00:00:00,5649
2022-04-03 00:00:00,5418
2022-04-10 00:00:00,3759
2022-04-17 00:00:00,7725
2022-04-24 00:00:00,10474
2022-05-01 00:00:00,14482
2022-05-08 00:00:00,18945
2022-05-15 00:00:00,27705
2022-05-22 00:00:00,29267
2022-05-29 00:00:00,25968
2022-06-05 00:00:00,19535
2022-06-12 00:00:00,18453
2022-06-19 00:00:00,15578
2022-06-26 00:00:00,10681
2022-07-03 00:00:00,14353
2022-07-10 00:00:00,13102
2022-07-17 00:00:00,16681
2022-07-24 00:00:00,16445
2022-07-31 00:00:00,19653
2022-08-07 00:00:00,20173
2022-08-14 00:00:00,16137
2022-08-21 00:00:00,23165
2022-08-28 00:00:00,19414
2022-09-04 00:00:00,19158
2022-09-11 00:00:00,15854
2022-09-18 00:00:00,18375
2022-09-25 00:00:00,16901
2022-10-02 00:00:00,14678
2022-10-09 00:00:00,12880
2022-10-16 00:00:00,12548
2022-10-23 00:00:00,12414
2022-10-30 00:00:00,12167
2022-11-06 00:00:00,11651
2022-11-13 00:00:00,9992
2022-11-20 00:00:00,12860
2022-11-27 00:00:00,8933
2022-12-04 00:00:00,8831
2022-12-11 00:00:00,11918
2022-12-18 00:00:00,13043
2022-12-25 00:00:00,14323
2023-01-01 00:00:00,10927
2023-01-08 00:00:00,9793
2023-01-15 00:00:00,9870
2023-01-22 00:00:00,9631
2023-01-29 00:00:00,6530
2023-02-05 00:00:00,6027
2023-02-12 00:00:00,5799
2023-02-19 00:00:00,6888
2023-02-26 00:00:00,6547
2023-03-05 00:00:00,7483
