date,OT
2020-03-08 00:00:00,1
2020-03-15 00:00:00,20
2020-03-22 00:00:00,146
2020-03-29 00:00:00,336
2020-04-05 00:00:00,432
2020-04-12 00:00:00,686
2020-04-19 00:00:00,735
2020-04-26 00:00:00,1246
2020-05-03 00:00:00,3061
2020-05-10 00:00:00,4608
2020-05-17 00:00:00,4397
2020-05-24 00:00:00,4905
2020-05-31 00:00:00,4277
2020-06-07 00:00:00,3036
2020-06-14 00:00:00,2585
2020-06-21 00:00:00,2449
2020-06-28 00:00:00,2629
2020-07-05 00:00:00,2587
2020-07-12 00:00:00,4145
2020-07-19 00:00:00,3923
2020-07-26 00:00:00,4949
2020-08-02 00:00:00,4794
2020-08-09 00:00:00,4951
2020-08-16 00:00:00,4254
2020-08-23 00:00:00,4432
2020-08-30 00:00:00,5605
2020-09-06 00:00:00,5398
2020-09-13 00:00:00,3724
2020-09-20 00:00:00,5706
2020-09-27 00:00:00,6717
2020-10-04 00:00:00,7092
2020-10-11 00:00:00,8442
2020-10-18 00:00:00,10544
2020-10-25 00:00:00,10990
2020-11-01 00:00:00,16870
2020-11-08 00:00:00,30190
2020-11-15 00:00:00,42719
2020-11-22 00:00:00,46576
2020-11-29 00:00:00,42812
2020-12-06 00:00:00,37893
2020-12-13 00:00:00,27961
2020-12-20 00:00:00,18496
2020-12-27 00:00:00,11742
2021-01-03 00:00:00,11483
2021-01-10 00:00:00,16028
2021-01-17 00:00:00,9808
2021-01-24 00:00:00,8609
2021-01-31 00:00:00,6818
2021-02-07 00:00:00,6311
2021-02-14 00:00:00,5449
2021-02-21 00:00:00,5469
2021-02-28 00:00:00,5558
2021-03-07 00:00:00,5417
2021-03-14 00:00:00,7381
2021-03-21 00:00:00,7832
2021-03-28 00:00:00,9834
2021-04-04 00:00:00,11209
2021-04-11 00:00:00,15786
2021-04-18 00:00:00,14328
2021-04-25 00:00:00,11862
2021-05-02 00:00:00,10992
2021-05-09 00:00:00,8527
2021-05-16 00:00:00,6665
2021-05-23 00:00:00,4339
2021-05-30 00:00:00,2618
2021-06-06 00:00:00,1302
2021-06-13 00:00:00,1074
2021-06-20 00:00:00,749
2021-06-27 00:00:00,628
2021-07-04 00:00:00,523
2021-07-11 00:00:00,637
2021-07-18 00:00:00,1227
2021-07-25 00:00:00,1863
2021-08-01 00:00:00,3314
2021-08-08 00:00:00,5087
2021-08-15 00:00:00,7063
2021-08-22 00:00:00,8705
2021-08-29 00:00:00,10634
2021-09-05 00:00:00,11228
2021-09-12 00:00:00,11078
2021-09-19 00:00:00,15117
2021-09-26 00:00:00,15569
2021-10-03 00:00:00,17608
2021-10-10 00:00:00,20856
2021-10-17 00:00:00,19755
2021-10-24 00:00:00,14845
2021-10-31 00:00:00,17304
2021-11-07 00:00:00,27458
2021-11-14 00:00:00,26617
2021-11-21 00:00:00,29578
2021-11-28 00:00:00,24026
2021-12-05 00:00:00,31702
2021-12-12 00:00:00,29848
2021-12-19 00:00:00,22504
2021-12-26 00:00:00,16941
2022-01-02 00:00:00,25988
2022-01-09 00:00:00,41853
2022-01-16 00:00:00,74181
2022-01-23 00:00:00,78488
2022-01-30 00:00:00,92931
2022-02-06 00:00:00,49393
2022-02-13 00:00:00,29343
2022-02-20 00:00:00,16261
2022-02-27 00:00:00,7835
2022-03-06 00:00:00,5314
2022-03-13 00:00:00,4058
2022-03-20 00:00:00,2744
2022-03-27 00:00:00,2657
2022-04-03 00:00:00,2819
2022-04-10 00:00:00,3136
2022-04-17 00:00:00,4413
2022-04-24 00:00:00,6221
2022-05-01 00:00:00,8688
2022-05-08 00:00:00,11408
2022-05-15 00:00:00,15092
2022-05-22 00:00:00,13816
2022-05-29 00:00:00,12119
2022-06-05 00:00:00,10742
2022-06-12 00:00:00,11421
2022-06-19 00:00:00,10169
2022-06-26 00:00:00,9384
2022-07-03 00:00:00,6142
2022-07-10 00:00:00,8647
2022-07-17 00:00:00,9521
2022-07-24 00:00:00,9500
2022-07-31 00:00:00,10056
2022-08-07 00:00:00,10442
2022-08-14 00:00:00,10240
2022-08-21 00:00:00,9948
2022-08-28 00:00:00,9625
2022-09-04 00:00:00,8394
2022-09-11 00:00:00,6440
2022-09-18 00:00:00,6346
2022-09-25 00:00:00,6678
2022-10-02 00:00:00,6120
2022-10-09 00:00:00,5968
2022-10-16 00:00:00,5386
2022-10-23 00:00:00,4765
2022-10-30 00:00:00,5132
2022-11-06 00:00:00,5038
2022-11-13 00:00:00,5200
2022-11-20 00:00:00,5115
2022-11-27 00:00:00,6567
2022-12-04 00:00:00,5222
2022-12-11 00:00:00,6359
2022-12-18 00:00:00,5744
2022-12-25 00:00:00,5879
2023-01-01 00:00:00,5721
2023-01-08 00:00:00,4718
2023-01-15 00:00:00,3494
2023-01-22 00:00:00,2646
2023-01-29 00:00:00,5341
2023-02-05 00:00:00,4307
2023-02-12 00:00:00,4494
2023-02-19 00:00:00,4967
2023-02-26 00:00:00,3257
2023-03-05 00:00:00,5147
