date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,6
2020-03-22 00:00:00,201
2020-03-29 00:00:00,552
2020-04-05 00:00:00,879
2020-04-12 00:00:00,1143
2020-04-19 00:00:00,1493
2020-04-26 00:00:00,1637
2020-05-03 00:00:00,1639
2020-05-10 00:00:00,1951
2020-05-17 00:00:00,1795
2020-05-24 00:00:00,1964
2020-05-31 00:00:00,2263
2020-06-07 00:00:00,1747
2020-06-14 00:00:00,2246
2020-06-21 00:00:00,1125
2020-06-28 00:00:00,5251
2020-07-05 00:00:00,5008
2020-07-12 00:00:00,5387
2020-07-19 00:00:00,6351
2020-07-26 00:00:00,9516
2020-08-02 00:00:00,8399
2020-08-09 00:00:00,6620
2020-08-16 00:00:00,4963
2020-08-23 00:00:00,5758
2020-08-30 00:00:00,4782
2020-09-06 00:00:00,4212
2020-09-13 00:00:00,2986
2020-09-20 00:00:00,3490
2020-09-27 00:00:00,3495
2020-10-04 00:00:00,3629
2020-10-11 00:00:00,4444
2020-10-18 00:00:00,5074
2020-10-25 00:00:00,5082
2020-11-01 00:00:00,5412
2020-11-08 00:00:00,6189
2020-11-15 00:00:00,7620
2020-11-22 00:00:00,8871
2020-11-29 00:00:00,8605
2020-12-06 00:00:00,13146
2020-12-13 00:00:00,14516
2020-12-20 00:00:00,14886
2020-12-27 00:00:00,12055
2021-01-03 00:00:00,15673
2021-01-10 00:00:00,17021
2021-01-17 00:00:00,13393
2021-01-24 00:00:00,11744
2021-01-31 00:00:00,10782
2021-02-07 00:00:00,6677
2021-02-14 00:00:00,5758
2021-02-21 00:00:00,3196
2021-02-28 00:00:00,4163
2021-03-07 00:00:00,2786
2021-03-14 00:00:00,3199
2021-03-21 00:00:00,2057
2021-03-28 00:00:00,1779
2021-04-04 00:00:00,1472
2021-04-11 00:00:00,1361
2021-04-18 00:00:00,1737
2021-04-25 00:00:00,1163
2021-05-02 00:00:00,1551
2021-05-09 00:00:00,1266
2021-05-16 00:00:00,1544
2021-05-23 00:00:00,1562
2021-05-30 00:00:00,1135
2021-06-06 00:00:00,782
2021-06-13 00:00:00,926
2021-06-20 00:00:00,833
2021-06-27 00:00:00,889
2021-07-04 00:00:00,1349
2021-07-11 00:00:00,1871
2021-07-18 00:00:00,2747
2021-07-25 00:00:00,6376
2021-08-01 00:00:00,10325
2021-08-08 00:00:00,14644
2021-08-15 00:00:00,22998
2021-08-22 00:00:00,25102
2021-08-29 00:00:00,21391
2021-09-05 00:00:00,19223
2021-09-12 00:00:00,13449
2021-09-19 00:00:00,13101
2021-09-26 00:00:00,9489
2021-10-03 00:00:00,6314
2021-10-10 00:00:00,5055
2021-10-17 00:00:00,3519
2021-10-24 00:00:00,3307
2021-10-31 00:00:00,3221
2021-11-07 00:00:00,2238
2021-11-14 00:00:00,1913
2021-11-21 00:00:00,2279
2021-11-28 00:00:00,1884
2021-12-05 00:00:00,2872
2021-12-12 00:00:00,3611
2021-12-19 00:00:00,3340
2021-12-26 00:00:00,3047
2022-01-02 00:00:00,18235
2022-01-09 00:00:00,42810
2022-01-16 00:00:00,48081
2022-01-23 00:00:00,46754
2022-01-30 00:00:00,36284
2022-02-06 00:00:00,34196
2022-02-13 00:00:00,24855
2022-02-20 00:00:00,8811
2022-02-27 00:00:00,3528
2022-03-06 00:00:00,2152
2022-03-13 00:00:00,1352
2022-03-20 00:00:00,830
2022-03-27 00:00:00,703
2022-04-03 00:00:00,628
2022-04-10 00:00:00,1103
2022-04-17 00:00:00,524
2022-04-24 00:00:00,492
2022-05-01 00:00:00,735
2022-05-08 00:00:00,1146
2022-05-15 00:00:00,2806
2022-05-22 00:00:00,2596
2022-05-29 00:00:00,2715
2022-06-05 00:00:00,3646
2022-06-12 00:00:00,4495
2022-06-19 00:00:00,5680
2022-06-26 00:00:00,7730
2022-07-03 00:00:00,8368
2022-07-10 00:00:00,8448
2022-07-17 00:00:00,10856
2022-07-24 00:00:00,9979
2022-07-31 00:00:00,9092
2022-08-07 00:00:00,8333
2022-08-14 00:00:00,8826
2022-08-21 00:00:00,8597
2022-08-28 00:00:00,4017
2022-09-04 00:00:00,8144
2022-09-11 00:00:00,5825
2022-09-18 00:00:00,3619
2022-09-25 00:00:00,3103
2022-10-02 00:00:00,1869
2022-10-09 00:00:00,1614
2022-10-16 00:00:00,1359
2022-10-23 00:00:00,1269
2022-10-30 00:00:00,1358
2022-11-06 00:00:00,1336
2022-11-13 00:00:00,1369
2022-11-20 00:00:00,1044
2022-11-27 00:00:00,0
2022-12-04 00:00:00,3209
2022-12-11 00:00:00,3379
2022-12-18 00:00:00,3255
2022-12-25 00:00:00,4413
2023-01-01 00:00:00,4075
2023-01-08 00:00:00,5778
2023-01-15 00:00:00,0
2023-01-22 00:00:00,9662
2023-01-29 00:00:00,3902
2023-02-05 00:00:00,3303
2023-02-12 00:00:00,3230
2023-02-19 00:00:00,3594
2023-02-26 00:00:00,2491
2023-03-05 00:00:00,2177
