date,OT
2020-03-08 00:00:00,2
2020-03-15 00:00:00,6
2020-03-22 00:00:00,157
2020-03-29 00:00:00,902
2020-04-05 00:00:00,1651
2020-04-12 00:00:00,1846
2020-04-19 00:00:00,1356
2020-04-26 00:00:00,1428
2020-05-03 00:00:00,1442
2020-05-10 00:00:00,1325
2020-05-17 00:00:00,1082
2020-05-24 00:00:00,1203
2020-05-31 00:00:00,1160
2020-06-07 00:00:00,1572
2020-06-14 00:00:00,1125
2020-06-21 00:00:00,2296
2020-06-28 00:00:00,2588
2020-07-05 00:00:00,3269
2020-07-12 00:00:00,4316
2020-07-19 00:00:00,5736
2020-07-26 00:00:00,8745
2020-08-02 00:00:00,9950
2020-08-09 00:00:00,7150
2020-08-16 00:00:00,8954
2020-08-23 00:00:00,7774
2020-08-30 00:00:00,8936
2020-09-06 00:00:00,10316
2020-09-13 00:00:00,9957
2020-09-20 00:00:00,10740
2020-09-27 00:00:00,11456
2020-10-04 00:00:00,9565
2020-10-11 00:00:00,12488
2020-10-18 00:00:00,13658
2020-10-25 00:00:00,13601
2020-11-01 00:00:00,17983
2020-11-08 00:00:00,26010
2020-11-15 00:00:00,33515
2020-11-22 00:00:00,34937
2020-11-29 00:00:00,27370
2020-12-06 00:00:00,30750
2020-12-13 00:00:00,29503
2020-12-20 00:00:00,26194
2020-12-27 00:00:00,20204
2021-01-03 00:00:00,27387
2021-01-10 00:00:00,28953
2021-01-17 00:00:00,21505
2021-01-24 00:00:00,16679
2021-01-31 00:00:00,14005
2021-02-07 00:00:00,11450
2021-02-14 00:00:00,7329
2021-02-21 00:00:00,5752
2021-02-28 00:00:00,5642
2021-03-07 00:00:00,4297
2021-03-14 00:00:00,3788
2021-03-21 00:00:00,4248
2021-03-28 00:00:00,4827
2021-04-04 00:00:00,4148
2021-04-11 00:00:00,4398
2021-04-18 00:00:00,0
2021-04-25 00:00:00,4576
2021-05-02 00:00:00,4957
2021-05-09 00:00:00,3623
2021-05-16 00:00:00,3056
2021-05-23 00:00:00,3021
2021-05-30 00:00:00,3145
2021-06-06 00:00:00,2259
2021-06-13 00:00:00,4378
2021-06-20 00:00:00,4542
2021-06-27 00:00:00,5598
2021-07-04 00:00:00,6646
2021-07-11 00:00:00,9926
2021-07-18 00:00:00,13663
2021-07-25 00:00:00,16921
2021-08-01 00:00:00,18220
2021-08-08 00:00:00,19940
2021-08-15 00:00:00,19172
2021-08-22 00:00:00,16900
2021-08-29 00:00:00,15750
2021-09-05 00:00:00,16518
2021-09-12 00:00:00,14926
2021-09-19 00:00:00,15042
2021-09-26 00:00:00,12475
2021-10-03 00:00:00,10908
2021-10-10 00:00:00,9014
2021-10-17 00:00:00,7689
2021-10-24 00:00:00,6645
2021-10-31 00:00:00,6842
2021-11-07 00:00:00,7519
2021-11-14 00:00:00,9766
2021-11-21 00:00:00,19215
2021-11-28 00:00:00,6326
2021-12-05 00:00:00,23331
2021-12-12 00:00:00,20481
2021-12-19 00:00:00,20024
2021-12-26 00:00:00,16106
2022-01-02 00:00:00,36318
2022-01-09 00:00:00,87454
2022-01-16 00:00:00,78665
2022-01-23 00:00:00,87299
2022-01-30 00:00:00,57787
2022-02-06 00:00:00,30734
2022-02-13 00:00:00,17838
2022-02-20 00:00:00,14031
2022-02-27 00:00:00,7200
2022-03-06 00:00:00,4539
2022-03-13 00:00:00,3169
2022-03-20 00:00:00,1973
2022-03-27 00:00:00,4007
2022-04-03 00:00:00,2601
2022-04-10 00:00:00,4399
2022-04-17 00:00:00,2489
2022-04-24 00:00:00,3281
2022-05-01 00:00:00,4452
2022-05-08 00:00:00,4989
2022-05-15 00:00:00,6052
2022-05-22 00:00:00,8894
2022-05-29 00:00:00,9040
2022-06-05 00:00:00,9621
2022-06-12 00:00:00,10923
2022-06-19 00:00:00,10946
2022-06-26 00:00:00,11632
2022-07-03 00:00:00,13471
2022-07-10 00:00:00,13021
2022-07-17 00:00:00,15161
2022-07-24 00:00:00,14428
2022-07-31 00:00:00,14335
2022-08-07 00:00:00,12092
2022-08-14 00:00:00,11926
2022-08-21 00:00:00,10403
2022-08-28 00:00:00,8598
2022-09-04 00:00:00,9821
2022-09-11 00:00:00,9226
2022-09-18 00:00:00,9412
2022-09-25 00:00:00,7422
2022-10-02 00:00:00,5653
2022-10-09 00:00:00,5186
2022-10-16 00:00:00,4370
2022-10-23 00:00:00,4450
2022-10-30 00:00:00,1595
2022-11-06 00:00:00,6656
2022-11-13 00:00:00,4859
2022-11-20 00:00:00,4689
2022-11-27 00:00:00,4769
2022-12-04 00:00:00,6477
2022-12-11 00:00:00,7794
2022-12-18 00:00:00,8218
2022-12-25 00:00:00,8162
2023-01-01 00:00:00,7136
2023-01-08 00:00:00,7224
2023-01-15 00:00:00,5030
2023-01-22 00:00:00,5005
2023-01-29 00:00:00,3772
2023-02-05 00:00:00,3750
2023-02-12 00:00:00,3840
2023-02-19 00:00:00,4443
2023-02-26 00:00:00,4237
2023-03-05 00:00:00,3657
