date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,6
2020-03-22 00:00:00,28
2020-03-29 00:00:00,120
2020-04-05 00:00:00,132
2020-04-12 00:00:00,101
2020-04-19 00:00:00,46
2020-04-26 00:00:00,15
2020-05-03 00:00:00,7
2020-05-10 00:00:00,3
2020-05-17 00:00:00,10
2020-05-24 00:00:00,11
2020-05-31 00:00:00,36
2020-06-07 00:00:00,30
2020-06-14 00:00:00,56
2020-06-21 00:00:00,116
2020-06-28 00:00:00,146
2020-07-05 00:00:00,349
2020-07-12 00:00:00,546
2020-07-19 00:00:00,775
2020-07-26 00:00:00,808
2020-08-02 00:00:00,852
2020-08-09 00:00:00,759
2020-08-16 00:00:00,798
2020-08-23 00:00:00,679
2020-08-30 00:00:00,911
2020-09-06 00:00:00,924
2020-09-13 00:00:00,757
2020-09-20 00:00:00,1278
2020-09-27 00:00:00,1808
2020-10-04 00:00:00,2528
2020-10-11 00:00:00,4067
2020-10-18 00:00:00,4119
2020-10-25 00:00:00,5059
2020-11-01 00:00:00,5615
2020-11-08 00:00:00,6184
2020-11-15 00:00:00,7479
2020-11-22 00:00:00,8522
2020-11-29 00:00:00,6121
2020-12-06 00:00:00,6074
2020-12-13 00:00:00,5428
2020-12-20 00:00:00,3867
2020-12-27 00:00:00,2610
2021-01-03 00:00:00,2601
2021-01-10 00:00:00,3943
2021-01-17 00:00:00,3069
2021-01-24 00:00:00,2259
2021-01-31 00:00:00,2297
2021-02-07 00:00:00,1841
2021-02-14 00:00:00,1611
2021-02-21 00:00:00,1378
2021-02-28 00:00:00,1175
2021-03-07 00:00:00,960
2021-03-14 00:00:00,846
2021-03-21 00:00:00,1300
2021-03-28 00:00:00,1068
2021-04-04 00:00:00,1014
2021-04-11 00:00:00,1041
2021-04-18 00:00:00,962
2021-04-25 00:00:00,952
2021-05-02 00:00:00,933
2021-05-09 00:00:00,894
2021-05-16 00:00:00,761
2021-05-23 00:00:00,518
2021-05-30 00:00:00,606
2021-06-06 00:00:00,451
2021-06-13 00:00:00,501
2021-06-20 00:00:00,406
2021-06-27 00:00:00,362
2021-07-04 00:00:00,344
2021-07-11 00:00:00,367
2021-07-18 00:00:00,423
2021-07-25 00:00:00,592
2021-08-01 00:00:00,1111
2021-08-08 00:00:00,1516
2021-08-15 00:00:00,1982
2021-08-22 00:00:00,2454
2021-08-29 00:00:00,3298
2021-09-05 00:00:00,3871
2021-09-12 00:00:00,4228
2021-09-19 00:00:00,5997
2021-09-26 00:00:00,6323
2021-10-03 00:00:00,5970
2021-10-10 00:00:00,6675
2021-10-17 00:00:00,5989
2021-10-24 00:00:00,5898
2021-10-31 00:00:00,5280
2021-11-07 00:00:00,4605
2021-11-14 00:00:00,3942
2021-11-21 00:00:00,3619
2021-11-28 00:00:00,2058
2021-12-05 00:00:00,2165
2021-12-12 00:00:00,1482
2021-12-19 00:00:00,1046
2021-12-26 00:00:00,905
2022-01-02 00:00:00,2055
2022-01-09 00:00:00,5139
2022-01-16 00:00:00,9215
2022-01-23 00:00:00,10015
2022-01-30 00:00:00,16708
2022-02-06 00:00:00,11228
2022-02-13 00:00:00,6601
2022-02-20 00:00:00,5092
2022-02-27 00:00:00,4075
2022-03-06 00:00:00,5233
2022-03-13 00:00:00,611
2022-03-20 00:00:00,464
2022-03-27 00:00:00,292
2022-04-03 00:00:00,224
2022-04-10 00:00:00,228
2022-04-17 00:00:00,265
2022-04-24 00:00:00,375
2022-05-01 00:00:00,493
2022-05-08 00:00:00,616
2022-05-15 00:00:00,515
2022-05-22 00:00:00,1079
2022-05-29 00:00:00,1305
2022-06-05 00:00:00,0
2022-06-12 00:00:00,3468
2022-06-19 00:00:00,2089
2022-06-26 00:00:00,1963
2022-07-03 00:00:00,2128
2022-07-10 00:00:00,2200
2022-07-17 00:00:00,2681
2022-07-24 00:00:00,2314
2022-07-31 00:00:00,2259
2022-08-07 00:00:00,2147
2022-08-14 00:00:00,1861
2022-08-21 00:00:00,1848
2022-08-28 00:00:00,1714
2022-09-04 00:00:00,1392
2022-09-11 00:00:00,1148
2022-09-18 00:00:00,1314
2022-09-25 00:00:00,1429
2022-10-02 00:00:00,1279
2022-10-09 00:00:00,1099
2022-10-16 00:00:00,0
2022-10-23 00:00:00,1979
2022-10-30 00:00:00,752
2022-11-06 00:00:00,860
2022-11-13 00:00:00,0
2022-11-20 00:00:00,1714
2022-11-27 00:00:00,954
2022-12-04 00:00:00,934
2022-12-11 00:00:00,0
2022-12-18 00:00:00,2221
2022-12-25 00:00:00,1026
2023-01-01 00:00:00,785
2023-01-08 00:00:00,896
2023-01-15 00:00:00,775
2023-01-22 00:00:00,501
2023-01-29 00:00:00,525
2023-02-05 00:00:00,602
2023-02-12 00:00:00,821
2023-02-19 00:00:00,702
2023-02-26 00:00:00,791
2023-03-05 00:00:00,718
