date,OT
2020-03-08 00:00:00,1
2020-03-15 00:00:00,16
2020-03-22 00:00:00,34
2020-03-29 00:00:00,57
2020-04-05 00:00:00,256
2020-04-12 00:00:00,427
2020-04-19 00:00:00,683
2020-04-26 00:00:00,1556
2020-05-03 00:00:00,2631
2020-05-10 00:00:00,2510
2020-05-17 00:00:00,2006
2020-05-24 00:00:00,1957
2020-05-31 00:00:00,1967
2020-06-07 00:00:00,1563
2020-06-14 00:00:00,1066
2020-06-21 00:00:00,1082
2020-06-28 00:00:00,1087
2020-07-05 00:00:00,1030
2020-07-12 00:00:00,1243
2020-07-19 00:00:00,1411
2020-07-26 00:00:00,2035
2020-08-02 00:00:00,2084
2020-08-09 00:00:00,1730
2020-08-16 00:00:00,1940
2020-08-23 00:00:00,1517
2020-08-30 00:00:00,2157
2020-09-06 00:00:00,1840
2020-09-13 00:00:00,2302
2020-09-20 00:00:00,2895
2020-09-27 00:00:00,2980
2020-10-04 00:00:00,3744
2020-10-11 00:00:00,4575
2020-10-18 00:00:00,5686
2020-10-25 00:00:00,5729
2020-11-01 00:00:00,7869
2020-11-08 00:00:00,12303
2020-11-15 00:00:00,14192
2020-11-22 00:00:00,15900
2020-11-29 00:00:00,12405
2020-12-06 00:00:00,13368
2020-12-13 00:00:00,9027
2020-12-20 00:00:00,7521
2020-12-27 00:00:00,5592
2021-01-03 00:00:00,7026
2021-01-10 00:00:00,7026
2021-01-17 00:00:00,5952
2021-01-24 00:00:00,5169
2021-01-31 00:00:00,3566
2021-02-07 00:00:00,3009
2021-02-14 00:00:00,3514
2021-02-21 00:00:00,1713
2021-02-28 00:00:00,1933
2021-03-07 00:00:00,2144
2021-03-14 00:00:00,1612
2021-03-21 00:00:00,1750
2021-03-28 00:00:00,2036
2021-04-04 00:00:00,3388
2021-04-11 00:00:00,2395
2021-04-18 00:00:00,2266
2021-04-25 00:00:00,2259
2021-05-02 00:00:00,1395
2021-05-09 00:00:00,1307
2021-05-16 00:00:00,901
2021-05-23 00:00:00,549
2021-05-30 00:00:00,420
2021-06-06 00:00:00,254
2021-06-13 00:00:00,234
2021-06-20 00:00:00,194
2021-06-27 00:00:00,240
2021-07-04 00:00:00,456
2021-07-11 00:00:00,489
2021-07-18 00:00:00,690
2021-07-25 00:00:00,978
2021-08-01 00:00:00,1611
2021-08-08 00:00:00,2619
2021-08-15 00:00:00,1330
2021-08-22 00:00:00,5093
2021-08-29 00:00:00,5006
2021-09-05 00:00:00,4822
2021-09-12 00:00:00,5760
2021-09-19 00:00:00,4707
2021-09-26 00:00:00,4688
2021-10-03 00:00:00,4604
2021-10-10 00:00:00,4471
2021-10-17 00:00:00,4144
2021-10-24 00:00:00,3282
2021-10-31 00:00:00,5790
2021-11-07 00:00:00,4516
2021-11-14 00:00:00,6824
2021-11-21 00:00:00,6461
2021-11-28 00:00:00,5329
2021-12-05 00:00:00,6039
2021-12-12 00:00:00,7931
2021-12-19 00:00:00,5435
2021-12-26 00:00:00,3780
2022-01-02 00:00:00,7176
2022-01-09 00:00:00,22064
2022-01-16 00:00:00,23594
2022-01-23 00:00:00,29141
2022-01-30 00:00:00,22302
2022-02-06 00:00:00,10435
2022-02-13 00:00:00,4868
2022-02-20 00:00:00,1940
2022-02-27 00:00:00,968
2022-03-06 00:00:00,22625
2022-03-13 00:00:00,650
2022-03-20 00:00:00,354
2022-03-27 00:00:00,0
2022-04-03 00:00:00,541
2022-04-10 00:00:00,321
2022-04-17 00:00:00,435
2022-04-24 00:00:00,701
2022-05-01 00:00:00,808
2022-05-08 00:00:00,816
2022-05-15 00:00:00,1500
2022-05-22 00:00:00,3104
2022-05-29 00:00:00,347
2022-06-05 00:00:00,2354
2022-06-12 00:00:00,3240
2022-06-19 00:00:00,2681
2022-06-26 00:00:00,3061
2022-07-03 00:00:00,3482
2022-07-10 00:00:00,3535
2022-07-17 00:00:00,4030
2022-07-24 00:00:00,3599
2022-07-31 00:00:00,4120
2022-08-07 00:00:00,3726
2022-08-14 00:00:00,2907
2022-08-21 00:00:00,2680
2022-08-28 00:00:00,2818
2022-09-04 00:00:00,2936
2022-09-11 00:00:00,2121
2022-09-18 00:00:00,1772
2022-09-25 00:00:00,1424
2022-10-02 00:00:00,1224
2022-10-09 00:00:00,1028
2022-10-16 00:00:00,895
2022-10-23 00:00:00,956
2022-10-30 00:00:00,0
2022-11-06 00:00:00,1758
2022-11-13 00:00:00,1735
2022-11-20 00:00:00,1996
2022-11-27 00:00:00,2036
2022-12-04 00:00:00,1974
2022-12-11 00:00:00,3618
2022-12-18 00:00:00,2737
2022-12-25 00:00:00,3888
2023-01-01 00:00:00,1736
2023-01-08 00:00:00,1414
2023-01-15 00:00:00,1475
2023-01-22 00:00:00,920
2023-01-29 00:00:00,794
2023-02-05 00:00:00,904
2023-02-12 00:00:00,1091
2023-02-19 00:00:00,1316
2023-02-26 00:00:00,1327
2023-03-05 00:00:00,1569
