date,OT
2020-03-08 00:00:00,4
2020-03-15 00:00:00,16
2020-03-22 00:00:00,170
2020-03-29 00:00:00,730
2020-04-05 00:00:00,935
2020-04-12 00:00:00,981
2020-04-19 00:00:00,892
2020-04-26 00:00:00,1006
2020-05-03 00:00:00,738
2020-05-10 00:00:00,648
2020-05-17 00:00:00,829
2020-05-24 00:00:00,932
2020-05-31 00:00:00,747
2020-06-07 00:00:00,1041
2020-06-14 00:00:00,1532
2020-06-21 00:00:00,2039
2020-06-28 00:00:00,3920
2020-07-05 00:00:00,5258
2020-07-12 00:00:00,5265
2020-07-19 00:00:00,8082
2020-07-26 00:00:00,7078
2020-08-02 00:00:00,7362
2020-08-09 00:00:00,6025
2020-08-16 00:00:00,5075
2020-08-23 00:00:00,4296
2020-08-30 00:00:00,3307
2020-09-06 00:00:00,2702
2020-09-13 00:00:00,1927
2020-09-20 00:00:00,2267
2020-09-27 00:00:00,2924
2020-10-04 00:00:00,3372
2020-10-11 00:00:00,3679
2020-10-18 00:00:00,4482
2020-10-25 00:00:00,5442
2020-11-01 00:00:00,5774
2020-11-08 00:00:00,8545
2020-11-15 00:00:00,10161
2020-11-22 00:00:00,13705
2020-11-29 00:00:00,16639
2020-12-06 00:00:00,17613
2020-12-13 00:00:00,18693
2020-12-20 00:00:00,17112
2020-12-27 00:00:00,13564
2021-01-03 00:00:00,14105
2021-01-10 00:00:00,16955
2021-01-17 00:00:00,13004
2021-01-24 00:00:00,9334
2021-01-31 00:00:00,7401
2021-02-07 00:00:00,5734
2021-02-14 00:00:00,4306
2021-02-21 00:00:00,2624
2021-02-28 00:00:00,2782
2021-03-07 00:00:00,2436
2021-03-14 00:00:00,3097
2021-03-21 00:00:00,1891
2021-03-28 00:00:00,1883
2021-04-04 00:00:00,2115
2021-04-11 00:00:00,2848
2021-04-18 00:00:00,2211
2021-04-25 00:00:00,2605
2021-05-02 00:00:00,2598
2021-05-09 00:00:00,2542
2021-05-16 00:00:00,2559
2021-05-23 00:00:00,1813
2021-05-30 00:00:00,1396
2021-06-06 00:00:00,1644
2021-06-13 00:00:00,1748
2021-06-20 00:00:00,1735
2021-06-27 00:00:00,2739
2021-07-04 00:00:00,3149
2021-07-11 00:00:00,3309
2021-07-18 00:00:00,5024
2021-07-25 00:00:00,5947
2021-08-01 00:00:00,7358
2021-08-08 00:00:00,7173
2021-08-15 00:00:00,7552
2021-08-22 00:00:00,7574
2021-08-29 00:00:00,7859
2021-09-05 00:00:00,8036
2021-09-12 00:00:00,7306
2021-09-19 00:00:00,8203
2021-09-26 00:00:00,6392
2021-10-03 00:00:00,5833
2021-10-10 00:00:00,4078
2021-10-17 00:00:00,4258
2021-10-24 00:00:00,4233
2021-10-31 00:00:00,3318
2021-11-07 00:00:00,5425
2021-11-14 00:00:00,4105
2021-11-21 00:00:00,4427
2021-11-28 00:00:00,2807
2021-12-05 00:00:00,4977
2021-12-12 00:00:00,4428
2021-12-19 00:00:00,4568
2021-12-26 00:00:00,5070
2022-01-02 00:00:00,10618
2022-01-09 00:00:00,24831
2022-01-16 00:00:00,39726
2022-01-23 00:00:00,65307
2022-01-30 00:00:00,33583
2022-02-06 00:00:00,17123
2022-02-13 00:00:00,8111
2022-02-20 00:00:00,4023
2022-02-27 00:00:00,4042
2022-03-06 00:00:00,3959
2022-03-13 00:00:00,2708
2022-03-20 00:00:00,22794
2022-03-27 00:00:00,1115
2022-04-03 00:00:00,1166
2022-04-10 00:00:00,1170
2022-04-17 00:00:00,1199
2022-04-24 00:00:00,1233
2022-05-01 00:00:00,1944
2022-05-08 00:00:00,2425
2022-05-15 00:00:00,3264
2022-05-22 00:00:00,4400
2022-05-29 00:00:00,6257
2022-06-05 00:00:00,7239
2022-06-12 00:00:00,6843
2022-06-19 00:00:00,9276
2022-06-26 00:00:00,7224
2022-07-03 00:00:00,8238
2022-07-10 00:00:00,8199
2022-07-17 00:00:00,7775
2022-07-24 00:00:00,7233
2022-07-31 00:00:00,29452
2022-08-07 00:00:00,4493
2022-08-14 00:00:00,3495
2022-08-21 00:00:00,2616
2022-08-28 00:00:00,2547
2022-09-04 00:00:00,2188
2022-09-11 00:00:00,1687
2022-09-18 00:00:00,0
2022-09-25 00:00:00,3286
2022-10-02 00:00:00,520
2022-10-09 00:00:00,1283
2022-10-16 00:00:00,1130
2022-10-23 00:00:00,1555
2022-10-30 00:00:00,1660
2022-11-06 00:00:00,1740
2022-11-13 00:00:00,2773
2022-11-20 00:00:00,2064
2022-11-27 00:00:00,2209
2022-12-04 00:00:00,2660
2022-12-11 00:00:00,4224
2022-12-18 00:00:00,3014
2022-12-25 00:00:00,2473
2023-01-01 00:00:00,2001
2023-01-08 00:00:00,2105
2023-01-15 00:00:00,2012
2023-01-22 00:00:00,1263
2023-01-29 00:00:00,1419
2023-02-05 00:00:00,1272
2023-02-12 00:00:00,1227
2023-02-19 00:00:00,1278
2023-02-26 00:00:00,1107
2023-03-05 00:00:00,1182
