date,OT
2020-03-08 00:00:00,4
2020-03-15 00:00:00,3
2020-03-22 00:00:00,66
2020-03-29 00:00:00,141
2020-04-05 00:00:00,407
2020-04-12 00:00:00,308
2020-04-19 00:00:00,461
2020-04-26 00:00:00,474
2020-05-03 00:00:00,654
2020-05-10 00:00:00,553
2020-05-17 00:00:00,525
2020-05-24 00:00:00,553
2020-05-31 00:00:00,502
2020-06-07 00:00:00,392
2020-06-14 00:00:00,275
2020-06-21 00:00:00,226
2020-06-28 00:00:00,203
2020-07-05 00:00:00,150
2020-07-12 00:00:00,157
2020-07-19 00:00:00,149
2020-07-26 00:00:00,233
2020-08-02 00:00:00,198
2020-08-09 00:00:00,201
2020-08-16 00:00:00,153
2020-08-23 00:00:00,119
2020-08-30 00:00:00,147
2020-09-06 00:00:00,193
2020-09-13 00:00:00,249
2020-09-20 00:00:00,251
2020-09-27 00:00:00,225
2020-10-04 00:00:00,473
2020-10-11 00:00:00,498
2020-10-18 00:00:00,482
2020-10-25 00:00:00,703
2020-11-01 00:00:00,862
2020-11-08 00:00:00,1268
2020-11-15 00:00:00,2094
2020-11-22 00:00:00,2853
2020-11-29 00:00:00,3231
2020-12-06 00:00:00,5408
2020-12-13 00:00:00,5661
2020-12-20 00:00:00,5391
2020-12-27 00:00:00,4540
2021-01-03 00:00:00,5740
2021-01-10 00:00:00,5604
2021-01-17 00:00:00,5249
2021-01-24 00:00:00,4263
2021-01-31 00:00:00,3457
2021-02-07 00:00:00,2648
2021-02-14 00:00:00,2447
2021-02-21 00:00:00,2369
2021-02-28 00:00:00,2011
2021-03-07 00:00:00,1437
2021-03-14 00:00:00,1754
2021-03-21 00:00:00,1928
2021-03-28 00:00:00,2484
2021-04-04 00:00:00,2819
2021-04-11 00:00:00,3008
2021-04-18 00:00:00,2732
2021-04-25 00:00:00,2235
2021-05-02 00:00:00,1556
2021-05-09 00:00:00,1247
2021-05-16 00:00:00,1052
2021-05-23 00:00:00,627
2021-05-30 00:00:00,423
2021-06-06 00:00:00,151
2021-06-13 00:00:00,191
2021-06-20 00:00:00,186
2021-06-27 00:00:00,149
2021-07-04 00:00:00,152
2021-07-11 00:00:00,153
2021-07-18 00:00:00,199
2021-07-25 00:00:00,245
2021-08-01 00:00:00,505
2021-08-08 00:00:00,1005
2021-08-15 00:00:00,1239
2021-08-22 00:00:00,1670
2021-08-29 00:00:00,1954
2021-09-05 00:00:00,2188
2021-09-12 00:00:00,2398
2021-09-19 00:00:00,3211
2021-09-26 00:00:00,3132
2021-10-03 00:00:00,3309
2021-10-10 00:00:00,3445
2021-10-17 00:00:00,3839
2021-10-24 00:00:00,3743
2021-10-31 00:00:00,651
2021-11-07 00:00:00,6883
2021-11-14 00:00:00,5302
2021-11-21 00:00:00,6187
2021-11-28 00:00:00,4898
2021-12-05 00:00:00,9863
2021-12-12 00:00:00,8882
2021-12-19 00:00:00,8600
2021-12-26 00:00:00,6931
2022-01-02 00:00:00,8680
2022-01-09 00:00:00,15905
2022-01-16 00:00:00,21326
2022-01-23 00:00:00,21897
2022-01-30 00:00:00,14697
2022-02-06 00:00:00,8808
2022-02-13 00:00:00,6891
2022-02-20 00:00:00,5506
2022-02-27 00:00:00,4032
2022-03-06 00:00:00,1484
2022-03-13 00:00:00,972
2022-03-20 00:00:00,756
2022-03-27 00:00:00,836
2022-04-03 00:00:00,764
2022-04-10 00:00:00,1214
2022-04-17 00:00:00,1656
2022-04-24 00:00:00,2117
2022-05-01 00:00:00,2454
2022-05-08 00:00:00,3306
2022-05-15 00:00:00,3403
2022-05-22 00:00:00,3754
2022-05-29 00:00:00,3928
2022-06-05 00:00:00,2237
2022-06-12 00:00:00,1709
2022-06-19 00:00:00,1366
2022-06-26 00:00:00,1144
2022-07-03 00:00:00,1535
2022-07-10 00:00:00,1425
2022-07-17 00:00:00,1673
2022-07-24 00:00:00,983
2022-07-31 00:00:00,1858
2022-08-07 00:00:00,1463
2022-08-14 00:00:00,1373
2022-08-21 00:00:00,1326
2022-08-28 00:00:00,1026
2022-09-04 00:00:00,1332
2022-09-11 00:00:00,1188
2022-09-18 00:00:00,1198
2022-09-25 00:00:00,1689
2022-10-02 00:00:00,1455
2022-10-09 00:00:00,1576
2022-10-16 00:00:00,1458
2022-10-23 00:00:00,2047
2022-10-30 00:00:00,1433
2022-11-06 00:00:00,1132
2022-11-13 00:00:00,1020
2022-11-20 00:00:00,879
2022-11-27 00:00:00,580
2022-12-04 00:00:00,1412
2022-12-11 00:00:00,1139
2022-12-18 00:00:00,1502
2022-12-25 00:00:00,1585
2023-01-01 00:00:00,1426
2023-01-08 00:00:00,1826
2023-01-15 00:00:00,1556
2023-01-22 00:00:00,1197
2023-01-29 00:00:00,797
2023-02-05 00:00:00,949
2023-02-12 00:00:00,1116
2023-02-19 00:00:00,939
2023-02-26 00:00:00,940
2023-03-05 00:00:00,799
