date,OT
2020-03-08 00:00:00,5
2020-03-15 00:00:00,67
2020-03-22 00:00:00,1842
2020-03-29 00:00:00,11472
2020-04-05 00:00:00,24119
2020-04-12 00:00:00,24345
2020-04-19 00:00:00,23451
2020-04-26 00:00:00,23737
2020-05-03 00:00:00,17725
2020-05-10 00:00:00,12060
2020-05-17 00:00:00,7830
2020-05-24 00:00:00,7749
2020-05-31 00:00:00,6358
2020-06-07 00:00:00,3833
2020-06-14 00:00:00,2832
2020-06-21 00:00:00,2418
2020-06-28 00:00:00,2223
2020-07-05 00:00:00,2458
2020-07-12 00:00:00,2184
2020-07-19 00:00:00,1807
2020-07-26 00:00:00,2900
2020-08-02 00:00:00,3294
2020-08-09 00:00:00,2690
2020-08-16 00:00:00,2973
2020-08-23 00:00:00,2319
2020-08-30 00:00:00,2407
2020-09-06 00:00:00,2773
2020-09-13 00:00:00,2924
2020-09-20 00:00:00,3496
2020-09-27 00:00:00,4326
2020-10-04 00:00:00,5317
2020-10-11 00:00:00,6177
2020-10-18 00:00:00,7359
2020-10-25 00:00:00,10773
2020-11-01 00:00:00,14020
2020-11-08 00:00:00,18983
2020-11-15 00:00:00,29037
2020-11-22 00:00:00,31111
2020-11-29 00:00:00,32653
2020-12-06 00:00:00,39081
2020-12-13 00:00:00,37336
2020-12-20 00:00:00,36312
2020-12-27 00:00:00,32989
2021-01-03 00:00:00,35685
2021-01-10 00:00:00,39378
2021-01-17 00:00:00,42393
2021-01-24 00:00:00,35587
2021-01-31 00:00:00,34021
2021-02-07 00:00:00,25338
2021-02-14 00:00:00,23820
2021-02-21 00:00:00,20418
2021-02-28 00:00:00,22951
2021-03-07 00:00:00,23253
2021-03-14 00:00:00,25252
2021-03-21 00:00:00,28025
2021-03-28 00:00:00,30766
2021-04-04 00:00:00,30543
2021-04-11 00:00:00,26295
2021-04-18 00:00:00,25363
2021-04-25 00:00:00,19038
2021-05-02 00:00:00,2119
2021-05-09 00:00:00,7884
2021-05-16 00:00:00,2865
2021-05-23 00:00:00,3329
2021-05-30 00:00:00,2047
2021-06-06 00:00:00,1769
2021-06-13 00:00:00,1659
2021-06-20 00:00:00,1619
2021-06-27 00:00:00,1648
2021-07-04 00:00:00,1395
2021-07-11 00:00:00,1846
2021-07-18 00:00:00,2860
2021-07-25 00:00:00,4781
2021-08-01 00:00:00,6569
2021-08-08 00:00:00,8941
2021-08-15 00:00:00,11712
2021-08-22 00:00:00,13372
2021-08-29 00:00:00,14024
2021-09-05 00:00:00,14158
2021-09-12 00:00:00,15018
2021-09-19 00:00:00,15722
2021-09-26 00:00:00,13971
2021-10-03 00:00:00,12433
2021-10-10 00:00:00,11941
2021-10-17 00:00:00,9711
2021-10-24 00:00:00,8212
2021-10-31 00:00:00,9421
2021-11-07 00:00:00,8552
2021-11-14 00:00:00,10937
2021-11-21 00:00:00,13562
2021-11-28 00:00:00,15245
2021-12-05 00:00:00,25515
2021-12-12 00:00:00,30715
2021-12-19 00:00:00,42274
2021-12-26 00:00:00,98198
2022-01-02 00:00:00,179181
2022-01-09 00:00:00,220581
2022-01-16 00:00:00,150825
2022-01-23 00:00:00,73190
2022-01-30 00:00:00,42091
2022-02-06 00:00:00,21232
2022-02-13 00:00:00,14132
2022-02-20 00:00:00,10253
2022-02-27 00:00:00,11358
2022-03-06 00:00:00,7715
2022-03-13 00:00:00,6925
2022-03-20 00:00:00,6830
2022-03-27 00:00:00,7092
2022-04-03 00:00:00,7497
2022-04-10 00:00:00,12868
2022-04-17 00:00:00,14291
2022-04-24 00:00:00,14942
2022-05-01 00:00:00,19073
2022-05-08 00:00:00,24959
2022-05-15 00:00:00,33254
2022-05-22 00:00:00,34373
2022-05-29 00:00:00,29374
2022-06-05 00:00:00,29049
2022-06-12 00:00:00,22531
2022-06-19 00:00:00,18828
2022-06-26 00:00:00,20199
2022-07-03 00:00:00,19347
2022-07-10 00:00:00,24831
2022-07-17 00:00:00,25223
2022-07-24 00:00:00,26662
2022-07-31 00:00:00,25054
2022-08-07 00:00:00,22374
2022-08-14 00:00:00,19261
2022-08-21 00:00:00,16813
2022-08-28 00:00:00,15436
2022-09-04 00:00:00,13524
2022-09-11 00:00:00,13017
2022-09-18 00:00:00,14060
2022-09-25 00:00:00,17539
2022-10-02 00:00:00,15393
2022-10-09 00:00:00,13634
2022-10-16 00:00:00,12192
2022-10-23 00:00:00,11910
2022-10-30 00:00:00,12348
2022-11-06 00:00:00,14224
2022-11-13 00:00:00,8195
2022-11-20 00:00:00,10796
2022-11-27 00:00:00,7158
2022-12-04 00:00:00,18495
2022-12-11 00:00:00,16815
2022-12-18 00:00:00,18004
2022-12-25 00:00:00,19869
2023-01-01 00:00:00,18102
2023-01-08 00:00:00,22095
2023-01-15 00:00:00,18571
2023-01-22 00:00:00,14352
2023-01-29 00:00:00,14054
2023-02-05 00:00:00,12515
2023-02-12 00:00:00,12823
2023-02-19 00:00:00,10014
2023-02-26 00:00:00,7455
2023-03-05 00:00:00,6256
