date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,13
2020-03-22 00:00:00,44
2020-03-29 00:00:00,180
2020-04-05 00:00:00,387
2020-04-12 00:00:00,621
2020-04-19 00:00:00,600
2020-04-26 00:00:00,881
2020-05-03 00:00:00,1124
2020-05-10 00:00:00,1013
2020-05-17 00:00:00,1075
2020-05-24 00:00:00,1005
2020-05-31 00:00:00,746
2020-06-07 00:00:00,1251
2020-06-14 00:00:00,783
2020-06-21 00:00:00,842
2020-06-28 00:00:00,1244
2020-07-05 00:00:00,1447
2020-07-12 00:00:00,1772
2020-07-19 00:00:00,1943
2020-07-26 00:00:00,2071
2020-08-02 00:00:00,1974
2020-08-09 00:00:00,1299
2020-08-16 00:00:00,1093
2020-08-23 00:00:00,988
2020-08-30 00:00:00,887
2020-09-06 00:00:00,824
2020-09-13 00:00:00,654
2020-09-20 00:00:00,818
2020-09-27 00:00:00,1265
2020-10-04 00:00:00,1633
2020-10-11 00:00:00,2506
2020-10-18 00:00:00,3805
2020-10-25 00:00:00,5075
2020-11-01 00:00:00,5369
2020-11-08 00:00:00,7649
2020-11-15 00:00:00,9320
2020-11-22 00:00:00,17695
2020-11-29 00:00:00,13521
2020-12-06 00:00:00,12671
2020-12-13 00:00:00,11712
2020-12-20 00:00:00,10193
2020-12-27 00:00:00,7975
2021-01-03 00:00:00,8426
2021-01-10 00:00:00,9763
2021-01-17 00:00:00,7480
2021-01-24 00:00:00,5568
2021-01-31 00:00:00,4859
2021-02-07 00:00:00,3492
2021-02-14 00:00:00,3015
2021-02-21 00:00:00,2218
2021-02-28 00:00:00,2343
2021-03-07 00:00:00,1790
2021-03-14 00:00:00,1389
2021-03-21 00:00:00,1420
2021-03-28 00:00:00,1317
2021-04-04 00:00:00,1104
2021-04-11 00:00:00,1216
2021-04-18 00:00:00,1500
2021-04-25 00:00:00,1353
2021-05-02 00:00:00,1512
2021-05-09 00:00:00,1600
2021-05-16 00:00:00,1317
2021-05-23 00:00:00,1218
2021-05-30 00:00:00,953
2021-06-06 00:00:00,651
2021-06-13 00:00:00,572
2021-06-20 00:00:00,654
2021-06-27 00:00:00,592
2021-07-04 00:00:00,425
2021-07-11 00:00:00,537
2021-07-18 00:00:00,937
2021-07-25 00:00:00,1298
2021-08-01 00:00:00,1929
2021-08-08 00:00:00,3377
2021-08-15 00:00:00,4776
2021-08-22 00:00:00,5227
2021-08-29 00:00:00,5713
2021-09-05 00:00:00,5881
2021-09-12 00:00:00,4496
2021-09-19 00:00:00,4834
2021-09-26 00:00:00,4068
2021-10-03 00:00:00,5027
2021-10-10 00:00:00,5128
2021-10-17 00:00:00,4812
2021-10-24 00:00:00,5136
2021-10-31 00:00:00,6318
2021-11-07 00:00:00,7533
2021-11-14 00:00:00,9336
2021-11-21 00:00:00,9859
2021-11-28 00:00:00,6154
2021-12-05 00:00:00,12429
2021-12-12 00:00:00,9258
2021-12-19 00:00:00,7012
2021-12-26 00:00:00,5859
2022-01-02 00:00:00,7394
2022-01-09 00:00:00,19070
2022-01-16 00:00:00,29826
2022-01-23 00:00:00,38995
2022-01-30 00:00:00,32579
2022-02-06 00:00:00,19188
2022-02-13 00:00:00,10815
2022-02-20 00:00:00,6807
2022-02-27 00:00:00,3460
2022-03-06 00:00:00,2528
2022-03-13 00:00:00,1853
2022-03-20 00:00:00,1007
2022-03-27 00:00:00,1035
2022-04-03 00:00:00,745
2022-04-10 00:00:00,990
2022-04-17 00:00:00,892
2022-04-24 00:00:00,1185
2022-05-01 00:00:00,1311
2022-05-08 00:00:00,1611
2022-05-15 00:00:00,2197
2022-05-22 00:00:00,3199
2022-05-29 00:00:00,4531
2022-06-05 00:00:00,4762
2022-06-12 00:00:00,6238
2022-06-19 00:00:00,6747
2022-06-26 00:00:00,6645
2022-07-03 00:00:00,6419
2022-07-10 00:00:00,6188
2022-07-17 00:00:00,6717
2022-07-24 00:00:00,6821
2022-07-31 00:00:00,6637
2022-08-07 00:00:00,5558
2022-08-14 00:00:00,4823
2022-08-21 00:00:00,4068
2022-08-28 00:00:00,3714
2022-09-04 00:00:00,2942
2022-09-11 00:00:00,1750
2022-09-18 00:00:00,1702
2022-09-25 00:00:00,1580
2022-10-02 00:00:00,1505
2022-10-09 00:00:00,1623
2022-10-16 00:00:00,1864
2022-10-23 00:00:00,2249
2022-10-30 00:00:00,2784
2022-11-06 00:00:00,3501
2022-11-13 00:00:00,3816
2022-11-20 00:00:00,5207
2022-11-27 00:00:00,2907
2022-12-04 00:00:00,5350
2022-12-11 00:00:00,4239
2022-12-18 00:00:00,2781
2022-12-25 00:00:00,2136
2023-01-01 00:00:00,1916
2023-01-08 00:00:00,1669
2023-01-15 00:00:00,1576
2023-01-22 00:00:00,998
2023-01-29 00:00:00,1056
2023-02-05 00:00:00,1067
2023-02-12 00:00:00,1023
2023-02-19 00:00:00,1061
2023-02-26 00:00:00,1171
2023-03-05 00:00:00,1213
