date,OT
2020-03-08 00:00:00,105
2020-03-15 00:00:00,528
2020-03-22 00:00:00,14558
2020-03-29 00:00:00,44457
2020-04-05 00:00:00,73052
2020-04-12 00:00:00,67935
2020-04-19 00:00:00,50378
2020-04-26 00:00:00,42562
2020-05-03 00:00:00,27110
2020-05-10 00:00:00,18517
2020-05-17 00:00:00,13800
2020-05-24 00:00:00,11695
2020-05-31 00:00:00,8985
2020-06-07 00:00:00,7241
2020-06-14 00:00:00,4874
2020-06-21 00:00:00,4471
2020-06-28 00:00:00,4604
2020-07-05 00:00:00,4904
2020-07-12 00:00:00,4848
2020-07-19 00:00:00,5400
2020-07-26 00:00:00,4921
2020-08-02 00:00:00,4507
2020-08-09 00:00:00,4299
2020-08-16 00:00:00,4161
2020-08-23 00:00:00,4173
2020-08-30 00:00:00,4384
2020-09-06 00:00:00,5279
2020-09-13 00:00:00,5114
2020-09-20 00:00:00,5645
2020-09-27 00:00:00,6098
2020-10-04 00:00:00,9088
2020-10-11 00:00:00,9978
2020-10-18 00:00:00,10048
2020-10-25 00:00:00,11933
2020-11-01 00:00:00,14231
2020-11-08 00:00:00,19914
2020-11-15 00:00:00,32316
2020-11-22 00:00:00,37247
2020-11-29 00:00:00,45281
2020-12-06 00:00:00,66193
2020-12-13 00:00:00,69981
2020-12-20 00:00:00,72268
2020-12-27 00:00:00,74939
2021-01-03 00:00:00,91875
2021-01-10 00:00:00,111695
2021-01-17 00:00:00,106969
2021-01-24 00:00:00,93134
2021-01-31 00:00:00,84212
2021-02-07 00:00:00,60317
2021-02-14 00:00:00,59646
2021-02-21 00:00:00,51802
2021-02-28 00:00:00,52195
2021-03-07 00:00:00,50784
2021-03-14 00:00:00,46712
2021-03-21 00:00:00,41406
2021-03-28 00:00:00,67963
2021-04-04 00:00:00,55005
2021-04-11 00:00:00,50857
2021-04-18 00:00:00,42318
2021-04-25 00:00:00,32181
2021-05-02 00:00:00,23755
2021-05-09 00:00:00,17578
2021-05-16 00:00:00,13051
2021-05-23 00:00:00,9842
2021-05-30 00:00:00,6556
2021-06-06 00:00:00,4007
2021-06-13 00:00:00,3431
2021-06-20 00:00:00,2532
2021-06-27 00:00:00,2278
2021-07-04 00:00:00,2393
2021-07-11 00:00:00,3970
2021-07-18 00:00:00,6194
2021-07-25 00:00:00,9352
2021-08-01 00:00:00,16932
2021-08-08 00:00:00,23694
2021-08-15 00:00:00,29211
2021-08-22 00:00:00,31770
2021-08-29 00:00:00,31399
2021-09-05 00:00:00,34701
2021-09-12 00:00:00,31981
2021-09-19 00:00:00,37939
2021-09-26 00:00:00,34934
2021-10-03 00:00:00,31046
2021-10-10 00:00:00,33118
2021-10-17 00:00:00,33490
2021-10-24 00:00:00,26908
2021-10-31 00:00:00,26428
2021-11-07 00:00:00,29714
2021-11-14 00:00:00,37225
2021-11-21 00:00:00,47678
2021-11-28 00:00:00,41135
2021-12-05 00:00:00,62607
2021-12-12 00:00:00,68591
2021-12-19 00:00:00,113883
2021-12-26 00:00:00,223956
2022-01-02 00:00:00,367687
2022-01-09 00:00:00,595095
2022-01-16 00:00:00,360560
2022-01-23 00:00:00,193918
2022-01-30 00:00:00,96271
2022-02-06 00:00:00,54466
2022-02-13 00:00:00,33811
2022-02-20 00:00:00,22135
2022-02-27 00:00:00,15717
2022-03-06 00:00:00,13020
2022-03-13 00:00:00,11323
2022-03-20 00:00:00,15412
2022-03-27 00:00:00,19377
2022-04-03 00:00:00,22654
2022-04-10 00:00:00,32114
2022-04-17 00:00:00,36180
2022-04-24 00:00:00,49500
2022-05-01 00:00:00,50295
2022-05-08 00:00:00,55149
2022-05-15 00:00:00,68262
2022-05-22 00:00:00,71647
2022-05-29 00:00:00,45469
2022-06-05 00:00:00,52439
2022-06-12 00:00:00,42634
2022-06-19 00:00:00,37538
2022-06-26 00:00:00,36317
2022-07-03 00:00:00,41642
2022-07-10 00:00:00,43641
2022-07-17 00:00:00,52949
2022-07-24 00:00:00,52115
2022-07-31 00:00:00,44235
2022-08-07 00:00:00,48982
2022-08-14 00:00:00,40023
2022-08-21 00:00:00,34401
2022-08-28 00:00:00,32183
2022-09-04 00:00:00,29251
2022-09-11 00:00:00,24714
2022-09-18 00:00:00,32513
2022-09-25 00:00:00,34988
2022-10-02 00:00:00,31648
2022-10-09 00:00:00,29440
2022-10-16 00:00:00,27625
2022-10-23 00:00:00,30962
2022-10-30 00:00:00,29303
2022-11-06 00:00:00,30951
2022-11-13 00:00:00,28367
2022-11-20 00:00:00,31685
2022-11-27 00:00:00,21614
2022-12-04 00:00:00,46788
2022-12-11 00:00:00,43557
2022-12-18 00:00:00,44384
2022-12-25 00:00:00,46315
2023-01-01 00:00:00,38629
2023-01-08 00:00:00,39474
2023-01-15 00:00:00,34193
2023-01-22 00:00:00,25546
2023-01-29 00:00:00,27214
2023-02-05 00:00:00,25100
2023-02-12 00:00:00,18212
2023-02-19 00:00:00,12554
2023-02-26 00:00:00,18728
2023-03-05 00:00:00,11321
