date,OT
2020-03-08 00:00:00,2
2020-03-15 00:00:00,31
2020-03-22 00:00:00,292
2020-03-29 00:00:00,909
2020-04-05 00:00:00,1657
2020-04-12 00:00:00,1948
2020-04-19 00:00:00,1979
2020-04-26 00:00:00,2521
2020-05-03 00:00:00,2828
2020-05-10 00:00:00,3107
2020-05-17 00:00:00,3887
2020-05-24 00:00:00,4715
2020-05-31 00:00:00,5638
2020-06-07 00:00:00,7320
2020-06-14 00:00:00,8552
2020-06-21 00:00:00,8743
2020-06-28 00:00:00,9940
2020-07-05 00:00:00,11147
2020-07-12 00:00:00,13100
2020-07-19 00:00:00,13499
2020-07-26 00:00:00,13903
2020-08-02 00:00:00,12732
2020-08-09 00:00:00,10590
2020-08-16 00:00:00,9866
2020-08-23 00:00:00,11200
2020-08-30 00:00:00,11381
2020-09-06 00:00:00,10030
2020-09-13 00:00:00,8251
2020-09-20 00:00:00,9317
2020-09-27 00:00:00,9481
2020-10-04 00:00:00,8930
2020-10-11 00:00:00,13975
2020-10-18 00:00:00,14557
2020-10-25 00:00:00,14071
2020-11-01 00:00:00,16593
2020-11-08 00:00:00,16647
2020-11-15 00:00:00,18896
2020-11-22 00:00:00,24540
2020-11-29 00:00:00,25003
2020-12-06 00:00:00,33212
2020-12-13 00:00:00,41605
2020-12-20 00:00:00,42573
2020-12-27 00:00:00,37660
2021-01-03 00:00:00,48096
2021-01-10 00:00:00,58264
2021-01-17 00:00:00,51449
2021-01-24 00:00:00,44175
2021-01-31 00:00:00,38714
2021-02-07 00:00:00,38669
2021-02-14 00:00:00,25699
2021-02-21 00:00:00,20743
2021-02-28 00:00:00,15911
2021-03-07 00:00:00,13628
2021-03-14 00:00:00,10539
2021-03-21 00:00:00,12548
2021-03-28 00:00:00,10265
2021-04-04 00:00:00,10631
2021-04-11 00:00:00,13247
2021-04-18 00:00:00,14287
2021-04-25 00:00:00,13239
2021-05-02 00:00:00,12820
2021-05-09 00:00:00,10746
2021-05-16 00:00:00,8840
2021-05-23 00:00:00,6416
2021-05-30 00:00:00,5400
2021-06-06 00:00:00,3515
2021-06-13 00:00:00,3029
2021-06-20 00:00:00,2415
2021-06-27 00:00:00,2230
2021-07-04 00:00:00,2016
2021-07-11 00:00:00,3076
2021-07-18 00:00:00,5441
2021-07-25 00:00:00,9053
2021-08-01 00:00:00,16147
2021-08-08 00:00:00,23061
2021-08-15 00:00:00,36277
2021-08-22 00:00:00,37480
2021-08-29 00:00:00,44402
2021-09-05 00:00:00,48097
2021-09-12 00:00:00,42107
2021-09-19 00:00:00,50992
2021-09-26 00:00:00,38251
2021-10-03 00:00:00,31474
2021-10-10 00:00:00,24845
2021-10-17 00:00:00,21819
2021-10-24 00:00:00,16529
2021-10-31 00:00:00,14104
2021-11-07 00:00:00,12139
2021-11-14 00:00:00,12148
2021-11-21 00:00:00,13078
2021-11-28 00:00:00,9199
2021-12-05 00:00:00,20466
2021-12-12 00:00:00,21725
2021-12-19 00:00:00,22785
2021-12-26 00:00:00,18324
2022-01-02 00:00:00,79289
2022-01-09 00:00:00,129713
2022-01-16 00:00:00,194922
2022-01-23 00:00:00,201450
2022-01-30 00:00:00,162114
2022-02-06 00:00:00,95376
2022-02-13 00:00:00,55492
2022-02-20 00:00:00,34059
2022-02-27 00:00:00,23611
2022-03-06 00:00:00,14610
2022-03-13 00:00:00,10589
2022-03-20 00:00:00,8261
2022-03-27 00:00:00,7441
2022-04-03 00:00:00,6201
2022-04-10 00:00:00,3501
2022-04-17 00:00:00,5234
2022-04-24 00:00:00,8409
2022-05-01 00:00:00,11605
2022-05-08 00:00:00,14071
2022-05-15 00:00:00,18479
2022-05-22 00:00:00,23993
2022-05-29 00:00:00,29137
2022-06-05 00:00:00,27795
2022-06-12 00:00:00,26785
2022-06-19 00:00:00,24464
2022-06-26 00:00:00,19098
2022-07-03 00:00:00,24141
2022-07-10 00:00:00,25462
2022-07-17 00:00:00,26388
2022-07-24 00:00:00,30130
2022-07-31 00:00:00,33932
2022-08-07 00:00:00,33265
2022-08-14 00:00:00,31230
2022-08-21 00:00:00,27339
2022-08-28 00:00:00,23959
2022-09-04 00:00:00,21899
2022-09-11 00:00:00,20480
2022-09-18 00:00:00,21189
2022-09-25 00:00:00,20284
2022-10-02 00:00:00,16091
2022-10-09 00:00:00,11971
2022-10-16 00:00:00,10021
2022-10-23 00:00:00,0
2022-10-30 00:00:00,16582
2022-11-06 00:00:00,8735
2022-11-13 00:00:00,9365
2022-11-20 00:00:00,6795
2022-11-27 00:00:00,6166
2022-12-04 00:00:00,6842
2022-12-11 00:00:00,11605
2022-12-18 00:00:00,13190
2022-12-25 00:00:00,16676
2023-01-01 00:00:00,0
2023-01-08 00:00:00,42982
2023-01-15 00:00:00,22624
2023-01-22 00:00:00,15741
2023-01-29 00:00:00,14381
2023-02-05 00:00:00,13247
2023-02-12 00:00:00,12470
2023-02-19 00:00:00,11714
2023-02-26 00:00:00,9627
2023-03-05 00:00:00,7626
