date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,1
2020-03-22 00:00:00,27
2020-03-29 00:00:00,70
2020-04-05 00:00:00,127
2020-04-12 00:00:00,106
2020-04-19 00:00:00,295
2020-04-26 00:00:00,317
2020-05-03 00:00:00,283
2020-05-10 00:00:00,289
2020-05-17 00:00:00,412
2020-05-24 00:00:00,455
2020-05-31 00:00:00,245
2020-06-07 00:00:00,255
2020-06-14 00:00:00,222
2020-06-21 00:00:00,210
2020-06-28 00:00:00,226
2020-07-05 00:00:00,309
2020-07-12 00:00:00,588
2020-07-19 00:00:00,685
2020-07-26 00:00:00,859
2020-08-02 00:00:00,794
2020-08-09 00:00:00,928
2020-08-16 00:00:00,930
2020-08-23 00:00:00,1342
2020-08-30 00:00:00,1812
2020-09-06 00:00:00,1974
2020-09-13 00:00:00,2032
2020-09-20 00:00:00,2400
2020-09-27 00:00:00,2723
2020-10-04 00:00:00,2852
2020-10-11 00:00:00,3857
2020-10-18 00:00:00,4861
2020-10-25 00:00:00,5849
2020-11-01 00:00:00,7885
2020-11-08 00:00:00,9657
2020-11-15 00:00:00,9682
2020-11-22 00:00:00,8703
2020-11-29 00:00:00,6033
2020-12-06 00:00:00,4345
2020-12-13 00:00:00,2920
2020-12-20 00:00:00,1979
2020-12-27 00:00:00,1374
2021-01-03 00:00:00,1646
2021-01-10 00:00:00,1513
2021-01-17 00:00:00,1279
2021-01-24 00:00:00,934
2021-01-31 00:00:00,795
2021-02-07 00:00:00,672
2021-02-14 00:00:00,674
2021-02-21 00:00:00,666
2021-02-28 00:00:00,538
2021-03-07 00:00:00,567
2021-03-14 00:00:00,594
2021-03-21 00:00:00,693
2021-03-28 00:00:00,950
2021-04-04 00:00:00,1074
2021-04-11 00:00:00,1093
2021-04-18 00:00:00,992
2021-04-25 00:00:00,1005
2021-05-02 00:00:00,953
2021-05-09 00:00:00,761
2021-05-16 00:00:00,605
2021-05-23 00:00:00,489
2021-05-30 00:00:00,311
2021-06-06 00:00:00,272
2021-06-13 00:00:00,223
2021-06-20 00:00:00,132
2021-06-27 00:00:00,103
2021-07-04 00:00:00,78
2021-07-11 00:00:00,117
2021-07-18 00:00:00,163
2021-07-25 00:00:00,245
2021-08-01 00:00:00,438
2021-08-08 00:00:00,696
2021-08-15 00:00:00,996
2021-08-22 00:00:00,1495
2021-08-29 00:00:00,2071
2021-09-05 00:00:00,2711
2021-09-12 00:00:00,3032
2021-09-19 00:00:00,3274
2021-09-26 00:00:00,3678
2021-10-03 00:00:00,4358
2021-10-10 00:00:00,4110
2021-10-17 00:00:00,3498
2021-10-24 00:00:00,3324
2021-10-31 00:00:00,3562
2021-11-07 00:00:00,3432
2021-11-14 00:00:00,3346
2021-11-21 00:00:00,3373
2021-11-28 00:00:00,2756
2021-12-05 00:00:00,3373
2021-12-12 00:00:00,2451
2021-12-19 00:00:00,2251
2021-12-26 00:00:00,2032
2022-01-02 00:00:00,3526
2022-01-09 00:00:00,8071
2022-01-16 00:00:00,13301
2022-01-23 00:00:00,15914
2022-01-30 00:00:00,11767
2022-02-06 00:00:00,6891
2022-02-13 00:00:00,3908
2022-02-20 00:00:00,1992
2022-02-27 00:00:00,1086
2022-03-06 00:00:00,724
2022-03-13 00:00:00,459
2022-03-20 00:00:00,278
2022-03-27 00:00:00,214
2022-04-03 00:00:00,214
2022-04-10 00:00:00,265
2022-04-17 00:00:00,255
2022-04-24 00:00:00,387
2022-05-01 00:00:00,458
2022-05-08 00:00:00,652
2022-05-15 00:00:00,741
2022-05-22 00:00:00,932
2022-05-29 00:00:00,1025
2022-06-05 00:00:00,1154
2022-06-12 00:00:00,1182
2022-06-19 00:00:00,1237
2022-06-26 00:00:00,1209
2022-07-03 00:00:00,1503
2022-07-10 00:00:00,1601
2022-07-17 00:00:00,1793
2022-07-24 00:00:00,1840
2022-07-31 00:00:00,1922
2022-08-07 00:00:00,1930
2022-08-14 00:00:00,1739
2022-08-21 00:00:00,1513
2022-08-28 00:00:00,1350
2022-09-04 00:00:00,1185
2022-09-11 00:00:00,1157
2022-09-18 00:00:00,980
2022-09-25 00:00:00,1025
2022-10-02 00:00:00,939
2022-10-09 00:00:00,953
2022-10-16 00:00:00,789
2022-10-23 00:00:00,792
2022-10-30 00:00:00,834
2022-11-06 00:00:00,1012
2022-11-13 00:00:00,816
2022-11-20 00:00:00,815
2022-11-27 00:00:00,889
2022-12-04 00:00:00,1039
2022-12-11 00:00:00,1135
2022-12-18 00:00:00,789
2022-12-25 00:00:00,695
2023-01-01 00:00:00,634
2023-01-08 00:00:00,535
2023-01-15 00:00:00,574
2023-01-22 00:00:00,524
2023-01-29 00:00:00,745
2023-02-05 00:00:00,865
2023-02-12 00:00:00,804
2023-02-19 00:00:00,701
2023-02-26 00:00:00,863
2023-03-05 00:00:00,521
