date,OT
2020-03-08 00:00:00,1
2020-03-15 00:00:00,3
2020-03-22 00:00:00,63
2020-03-29 00:00:00,362
2020-04-05 00:00:00,825
2020-04-12 00:00:00,716
2020-04-19 00:00:00,597
2020-04-26 00:00:00,687
2020-05-03 00:00:00,718
2020-05-10 00:00:00,617
2020-05-17 00:00:00,721
2020-05-24 00:00:00,727
2020-05-31 00:00:00,381
2020-06-07 00:00:00,732
2020-06-14 00:00:00,1081
2020-06-21 00:00:00,2285
2020-06-28 00:00:00,2431
2020-07-05 00:00:00,2984
2020-07-12 00:00:00,4304
2020-07-19 00:00:00,5031
2020-07-26 00:00:00,6019
2020-08-02 00:00:00,6940
2020-08-09 00:00:00,5341
2020-08-16 00:00:00,4776
2020-08-23 00:00:00,4823
2020-08-30 00:00:00,4954
2020-09-06 00:00:00,5488
2020-09-13 00:00:00,5747
2020-09-20 00:00:00,7453
2020-09-27 00:00:00,7526
2020-10-04 00:00:00,6415
2020-10-11 00:00:00,8639
2020-10-18 00:00:00,7912
2020-10-25 00:00:00,9437
2020-11-01 00:00:00,7375
2020-11-08 00:00:00,12147
2020-11-15 00:00:00,17870
2020-11-22 00:00:00,20202
2020-11-29 00:00:00,21215
2020-12-06 00:00:00,20941
2020-12-13 00:00:00,21196
2020-12-20 00:00:00,23252
2020-12-27 00:00:00,18391
2021-01-03 00:00:00,25050
2021-01-10 00:00:00,27400
2021-01-17 00:00:00,23703
2021-01-24 00:00:00,18225
2021-01-31 00:00:00,16494
2021-02-07 00:00:00,14585
2021-02-14 00:00:00,9696
2021-02-21 00:00:00,5867
2021-02-28 00:00:00,5212
2021-03-07 00:00:00,4546
2021-03-14 00:00:00,3566
2021-03-21 00:00:00,2086
2021-03-28 00:00:00,2564
2021-04-04 00:00:00,2228
2021-04-11 00:00:00,2258
2021-04-18 00:00:00,2058
2021-04-25 00:00:00,1687
2021-05-02 00:00:00,1755
2021-05-09 00:00:00,1343
2021-05-16 00:00:00,1199
2021-05-23 00:00:00,983
2021-05-30 00:00:00,947
2021-06-06 00:00:00,775
2021-06-13 00:00:00,842
2021-06-20 00:00:00,1141
2021-06-27 00:00:00,1375
2021-07-04 00:00:00,1573
2021-07-11 00:00:00,2199
2021-07-18 00:00:00,3925
2021-07-25 00:00:00,6569
2021-08-01 00:00:00,9459
2021-08-08 00:00:00,13348
2021-08-15 00:00:00,14851
2021-08-22 00:00:00,15542
2021-08-29 00:00:00,18036
2021-09-05 00:00:00,18438
2021-09-12 00:00:00,16462
2021-09-19 00:00:00,14762
2021-09-26 00:00:00,12317
2021-10-03 00:00:00,10826
2021-10-10 00:00:00,7563
2021-10-17 00:00:00,9092
2021-10-24 00:00:00,7085
2021-10-31 00:00:00,5021
2021-11-07 00:00:00,4231
2021-11-14 00:00:00,4522
2021-11-21 00:00:00,5869
2021-11-28 00:00:00,3620
2021-12-05 00:00:00,8200
2021-12-12 00:00:00,9634
2021-12-19 00:00:00,5852
2021-12-26 00:00:00,8304
2022-01-02 00:00:00,14728
2022-01-09 00:00:00,28655
2022-01-16 00:00:00,73796
2022-01-23 00:00:00,82524
2022-01-30 00:00:00,69742
2022-02-06 00:00:00,31891
2022-02-13 00:00:00,11300
2022-02-20 00:00:00,6441
2022-02-27 00:00:00,6202
2022-03-06 00:00:00,4982
2022-03-13 00:00:00,2179
2022-03-20 00:00:00,2984
2022-03-27 00:00:00,1814
2022-04-03 00:00:00,1810
2022-04-10 00:00:00,2875
2022-04-17 00:00:00,1596
2022-04-24 00:00:00,1686
2022-05-01 00:00:00,1567
2022-05-08 00:00:00,1655
2022-05-15 00:00:00,2231
2022-05-22 00:00:00,2348
2022-05-29 00:00:00,1772
2022-06-05 00:00:00,4570
2022-06-12 00:00:00,4739
2022-06-19 00:00:00,3495
2022-06-26 00:00:00,8943
2022-07-03 00:00:00,5615
2022-07-10 00:00:00,8564
2022-07-17 00:00:00,11996
2022-07-24 00:00:00,11643
2022-07-31 00:00:00,12381
2022-08-07 00:00:00,11780
2022-08-14 00:00:00,11538
2022-08-21 00:00:00,9219
2022-08-28 00:00:00,9895
2022-09-04 00:00:00,10649
2022-09-11 00:00:00,8056
2022-09-18 00:00:00,7122
2022-09-25 00:00:00,4868
2022-10-02 00:00:00,3701
2022-10-09 00:00:00,2888
2022-10-16 00:00:00,2819
2022-10-23 00:00:00,2050
2022-10-30 00:00:00,2797
2022-11-06 00:00:00,2894
2022-11-13 00:00:00,3389
2022-11-20 00:00:00,3226
2022-11-27 00:00:00,2895
2022-12-04 00:00:00,5277
2022-12-11 00:00:00,6205
2022-12-18 00:00:00,5579
2022-12-25 00:00:00,6340
2023-01-01 00:00:00,5892
2023-01-08 00:00:00,5660
2023-01-15 00:00:00,5637
2023-01-22 00:00:00,4475
2023-01-29 00:00:00,4691
2023-02-05 00:00:00,4435
2023-02-12 00:00:00,3384
2023-02-19 00:00:00,3256
2023-02-26 00:00:00,2899
2023-03-05 00:00:00,2928
