date,OT
2020-03-08 00:00:00,13
2020-03-15 00:00:00,22
2020-03-22 00:00:00,125
2020-03-29 00:00:00,387
2020-04-05 00:00:00,520
2020-04-12 00:00:00,459
2020-04-19 00:00:00,383
2020-04-26 00:00:00,401
2020-05-03 00:00:00,369
2020-05-10 00:00:00,548
2020-05-17 00:00:00,395
2020-05-24 00:00:00,304
2020-05-31 00:00:00,316
2020-06-07 00:00:00,419
2020-06-14 00:00:00,974
2020-06-21 00:00:00,1301
2020-06-28 00:00:00,1404
2020-07-05 00:00:00,1889
2020-07-12 00:00:00,1940
2020-07-19 00:00:00,2409
2020-07-26 00:00:00,2179
2020-08-02 00:00:00,2339
2020-08-09 00:00:00,2175
2020-08-16 00:00:00,1990
2020-08-23 00:00:00,1675
2020-08-30 00:00:00,1617
2020-09-06 00:00:00,1490
2020-09-13 00:00:00,1293
2020-09-20 00:00:00,1464
2020-09-27 00:00:00,2019
2020-10-04 00:00:00,1950
2020-10-11 00:00:00,2485
2020-10-18 00:00:00,2277
2020-10-25 00:00:00,2569
2020-11-01 00:00:00,3328
2020-11-08 00:00:00,5019
2020-11-15 00:00:00,6432
2020-11-22 00:00:00,8290
2020-11-29 00:00:00,8949
2020-12-06 00:00:00,10377
2020-12-13 00:00:00,9357
2020-12-20 00:00:00,9077
2020-12-27 00:00:00,6795
2021-01-03 00:00:00,8020
2021-01-10 00:00:00,7938
2021-01-17 00:00:00,7522
2021-01-24 00:00:00,4963
2021-01-31 00:00:00,4248
2021-02-07 00:00:00,4706
2021-02-14 00:00:00,3159
2021-02-21 00:00:00,2537
2021-02-28 00:00:00,2779
2021-03-07 00:00:00,1688
2021-03-14 00:00:00,2332
2021-03-21 00:00:00,1914
2021-03-28 00:00:00,2421
2021-04-04 00:00:00,2930
2021-04-11 00:00:00,3686
2021-04-18 00:00:00,4553
2021-04-25 00:00:00,5579
2021-05-02 00:00:00,5644
2021-05-09 00:00:00,5061
2021-05-16 00:00:00,4279
2021-05-23 00:00:00,3005
2021-05-30 00:00:00,2571
2021-06-06 00:00:00,1992
2021-06-13 00:00:00,1778
2021-06-20 00:00:00,1747
2021-06-27 00:00:00,1360
2021-07-04 00:00:00,900
2021-07-11 00:00:00,1193
2021-07-18 00:00:00,1768
2021-07-25 00:00:00,2871
2021-08-01 00:00:00,4886
2021-08-08 00:00:00,7144
2021-08-15 00:00:00,11564
2021-08-22 00:00:00,14514
2021-08-29 00:00:00,15424
2021-09-05 00:00:00,15472
2021-09-12 00:00:00,12952
2021-09-19 00:00:00,13016
2021-09-26 00:00:00,11149
2021-10-03 00:00:00,10719
2021-10-10 00:00:00,9404
2021-10-17 00:00:00,7653
2021-10-24 00:00:00,8760
2021-10-31 00:00:00,7527
2021-11-07 00:00:00,7084
2021-11-14 00:00:00,6037
2021-11-21 00:00:00,5888
2021-11-28 00:00:00,3423
2021-12-05 00:00:00,7084
2021-12-12 00:00:00,5619
2021-12-19 00:00:00,5104
2021-12-26 00:00:00,5273
2022-01-02 00:00:00,10698
2022-01-09 00:00:00,38437
2022-01-16 00:00:00,53691
2022-01-23 00:00:00,57501
2022-01-30 00:00:00,49760
2022-02-06 00:00:00,33691
2022-02-13 00:00:00,20157
2022-02-20 00:00:00,11453
2022-02-27 00:00:00,6308
2022-03-06 00:00:00,4456
2022-03-13 00:00:00,2645
2022-03-20 00:00:00,1836
2022-03-27 00:00:00,1552
2022-04-03 00:00:00,1765
2022-04-10 00:00:00,2172
2022-04-17 00:00:00,2899
2022-04-24 00:00:00,4760
2022-05-01 00:00:00,6965
2022-05-08 00:00:00,8101
2022-05-15 00:00:00,9418
2022-05-22 00:00:00,10891
2022-05-29 00:00:00,11082
2022-06-05 00:00:00,9390
2022-06-12 00:00:00,10934
2022-06-19 00:00:00,10153
2022-06-26 00:00:00,10876
2022-07-03 00:00:00,10894
2022-07-10 00:00:00,10197
2022-07-17 00:00:00,10093
2022-07-24 00:00:00,9011
2022-07-31 00:00:00,8001
2022-08-07 00:00:00,8439
2022-08-14 00:00:00,6142
2022-08-21 00:00:00,5757
2022-08-28 00:00:00,4719
2022-09-04 00:00:00,4231
2022-09-11 00:00:00,3728
2022-09-18 00:00:00,2595
2022-09-25 00:00:00,4544
2022-10-02 00:00:00,4269
2022-10-09 00:00:00,4237
2022-10-16 00:00:00,3306
2022-10-23 00:00:00,3563
2022-10-30 00:00:00,2306
2022-11-06 00:00:00,2505
2022-11-13 00:00:00,3116
2022-11-20 00:00:00,3355
2022-11-27 00:00:00,3554
2022-12-04 00:00:00,3914
2022-12-11 00:00:00,4495
2022-12-18 00:00:00,3981
2022-12-25 00:00:00,3613
2023-01-01 00:00:00,2582
2023-01-08 00:00:00,2818
2023-01-15 00:00:00,2501
2023-01-22 00:00:00,2105
2023-01-29 00:00:00,2174
2023-02-05 00:00:00,2564
2023-02-12 00:00:00,2612
2023-02-19 00:00:00,2693
2023-02-26 00:00:00,2623
2023-03-05 00:00:00,2130
