date,OT
2020-03-08 00:00:00,6
2020-03-15 00:00:00,41
2020-03-22 00:00:00,462
2020-03-29 00:00:00,2923
2020-04-05 00:00:00,8173
2020-04-12 00:00:00,11614
2020-04-19 00:00:00,9719
2020-04-26 00:00:00,9846
2020-05-03 00:00:00,9260
2020-05-10 00:00:00,7833
2020-05-17 00:00:00,5866
2020-05-24 00:00:00,5523
2020-05-31 00:00:00,4397
2020-06-07 00:00:00,3651
2020-06-14 00:00:00,3249
2020-06-21 00:00:00,2926
2020-06-28 00:00:00,3820
2020-07-05 00:00:00,4615
2020-07-12 00:00:00,5370
2020-07-19 00:00:00,5735
2020-07-26 00:00:00,6560
2020-08-02 00:00:00,6116
2020-08-09 00:00:00,5311
2020-08-16 00:00:00,5730
2020-08-23 00:00:00,4617
2020-08-30 00:00:00,4537
2020-09-06 00:00:00,5878
2020-09-13 00:00:00,5316
2020-09-20 00:00:00,5895
2020-09-27 00:00:00,5987
2020-10-04 00:00:00,7326
2020-10-11 00:00:00,8755
2020-10-18 00:00:00,10102
2020-10-25 00:00:00,12439
2020-11-01 00:00:00,15935
2020-11-08 00:00:00,21364
2020-11-15 00:00:00,34963
2020-11-22 00:00:00,44983
2020-11-29 00:00:00,47753
2020-12-06 00:00:00,63319
2020-12-13 00:00:00,71706
2020-12-20 00:00:00,64104
2020-12-27 00:00:00,54210
2021-01-03 00:00:00,51883
2021-01-10 00:00:00,59315
2021-01-17 00:00:00,46999
2021-01-24 00:00:00,36153
2021-01-31 00:00:00,39349
2021-02-07 00:00:00,27189
2021-02-14 00:00:00,23813
2021-02-21 00:00:00,18649
2021-02-28 00:00:00,18342
2021-03-07 00:00:00,17279
2021-03-14 00:00:00,17912
2021-03-21 00:00:00,21120
2021-03-28 00:00:00,26140
2021-04-04 00:00:00,30605
2021-04-11 00:00:00,30654
2021-04-18 00:00:00,34531
2021-04-25 00:00:00,27551
2021-05-02 00:00:00,22983
2021-05-09 00:00:00,17237
2021-05-16 00:00:00,12889
2021-05-23 00:00:00,9871
2021-05-30 00:00:00,6437
2021-06-06 00:00:00,4231
2021-06-13 00:00:00,2982
2021-06-20 00:00:00,1956
2021-06-27 00:00:00,1410
2021-07-04 00:00:00,1238
2021-07-11 00:00:00,1414
2021-07-18 00:00:00,2467
2021-07-25 00:00:00,3923
2021-08-01 00:00:00,6643
2021-08-08 00:00:00,10475
2021-08-15 00:00:00,13946
2021-08-22 00:00:00,17544
2021-08-29 00:00:00,22233
2021-09-05 00:00:00,25596
2021-09-12 00:00:00,28530
2021-09-19 00:00:00,33681
2021-09-26 00:00:00,32275
2021-10-03 00:00:00,33543
2021-10-10 00:00:00,34961
2021-10-17 00:00:00,31558
2021-10-24 00:00:00,28119
2021-10-31 00:00:00,27373
2021-11-07 00:00:00,29531
2021-11-14 00:00:00,34779
2021-11-21 00:00:00,40925
2021-11-28 00:00:00,39733
2021-12-05 00:00:00,53249
2021-12-12 00:00:00,58591
2021-12-19 00:00:00,52517
2021-12-26 00:00:00,64229
2022-01-02 00:00:00,122736
2022-01-09 00:00:00,188008
2022-01-16 00:00:00,193490
2022-01-23 00:00:00,113778
2022-01-30 00:00:00,84087
2022-02-06 00:00:00,43449
2022-02-13 00:00:00,24766
2022-02-20 00:00:00,19343
2022-02-27 00:00:00,12401
2022-03-06 00:00:00,7043
2022-03-13 00:00:00,6113
2022-03-20 00:00:00,5113
2022-03-27 00:00:00,4234
2022-04-03 00:00:00,3778
2022-04-10 00:00:00,6435
2022-04-17 00:00:00,8345
2022-04-24 00:00:00,10564
2022-05-01 00:00:00,13496
2022-05-08 00:00:00,7360
2022-05-15 00:00:00,21316
2022-05-22 00:00:00,27317
2022-05-29 00:00:00,29664
2022-06-05 00:00:00,24862
2022-06-12 00:00:00,22564
2022-06-19 00:00:00,20281
2022-06-26 00:00:00,12326
2022-07-03 00:00:00,18900
2022-07-10 00:00:00,11872
2022-07-17 00:00:00,19947
2022-07-24 00:00:00,20240
2022-07-31 00:00:00,22277
2022-08-07 00:00:00,24748
2022-08-14 00:00:00,20626
2022-08-21 00:00:00,24281
2022-08-28 00:00:00,17390
2022-09-04 00:00:00,18264
2022-09-11 00:00:00,16909
2022-09-18 00:00:00,18183
2022-09-25 00:00:00,18304
2022-10-02 00:00:00,15205
2022-10-09 00:00:00,12431
2022-10-16 00:00:00,13256
2022-10-23 00:00:00,11399
2022-10-30 00:00:00,13227
2022-11-06 00:00:00,13038
2022-11-13 00:00:00,12208
2022-11-20 00:00:00,9953
2022-11-27 00:00:00,10052
2022-12-04 00:00:00,10730
2022-12-11 00:00:00,13936
2022-12-18 00:00:00,13838
2022-12-25 00:00:00,14606
2023-01-01 00:00:00,12965
2023-01-08 00:00:00,15719
2023-01-15 00:00:00,15230
2023-01-22 00:00:00,11045
2023-01-29 00:00:00,10940
2023-02-05 00:00:00,10269
2023-02-12 00:00:00,11154
2023-02-19 00:00:00,11213
2023-02-26 00:00:00,10425
2023-03-05 00:00:00,8676
