date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,0
2020-03-22 00:00:00,23
2020-03-29 00:00:00,104
2020-04-05 00:00:00,348
2020-04-12 00:00:00,422
2020-04-19 00:00:00,316
2020-04-26 00:00:00,0
2020-05-03 00:00:00,96
2020-05-10 00:00:00,51
2020-05-17 00:00:00,106
2020-05-24 00:00:00,82
2020-05-31 00:00:00,67
2020-06-07 00:00:00,65
2020-06-14 00:00:00,118
2020-06-21 00:00:00,62
2020-06-28 00:00:00,91
2020-07-05 00:00:00,222
2020-07-12 00:00:00,737
2020-07-19 00:00:00,1208
2020-07-26 00:00:00,1445
2020-08-02 00:00:00,1599
2020-08-09 00:00:00,2099
2020-08-16 00:00:00,2317
2020-08-23 00:00:00,2226
2020-08-30 00:00:00,1752
2020-09-06 00:00:00,1040
2020-09-13 00:00:00,1500
2020-09-20 00:00:00,2300
2020-09-27 00:00:00,2628
2020-10-04 00:00:00,2337
2020-10-11 00:00:00,1742
2020-10-18 00:00:00,1935
2020-10-25 00:00:00,3026
2020-11-01 00:00:00,2804
2020-11-08 00:00:00,3559
2020-11-15 00:00:00,4379
2020-11-22 00:00:00,4980
2020-11-29 00:00:00,4243
2020-12-06 00:00:00,4969
2020-12-13 00:00:00,5760
2020-12-20 00:00:00,6002
2020-12-27 00:00:00,4794
2021-01-03 00:00:00,4942
2021-01-10 00:00:00,4950
2021-01-17 00:00:00,4262
2021-01-24 00:00:00,3647
2021-01-31 00:00:00,2596
2021-02-07 00:00:00,2215
2021-02-14 00:00:00,1770
2021-02-21 00:00:00,1475
2021-02-28 00:00:00,1213
2021-03-07 00:00:00,1030
2021-03-14 00:00:00,1668
2021-03-21 00:00:00,1521
2021-03-28 00:00:00,1972
2021-04-04 00:00:00,3345
2021-04-11 00:00:00,5466
2021-04-18 00:00:00,7750
2021-04-25 00:00:00,6154
2021-05-02 00:00:00,3844
2021-05-09 00:00:00,2496
2021-05-16 00:00:00,1420
2021-05-23 00:00:00,1037
2021-05-30 00:00:00,579
2021-06-06 00:00:00,489
2021-06-13 00:00:00,355
2021-06-20 00:00:00,330
2021-06-27 00:00:00,256
2021-07-04 00:00:00,292
2021-07-11 00:00:00,546
2021-07-18 00:00:00,1058
2021-07-25 00:00:00,2295
2021-08-01 00:00:00,3345
2021-08-08 00:00:00,4798
2021-08-15 00:00:00,6008
2021-08-22 00:00:00,6248
2021-08-29 00:00:00,5491
2021-09-05 00:00:00,4228
2021-09-12 00:00:00,2713
2021-09-19 00:00:00,2113
2021-09-26 00:00:00,1522
2021-10-03 00:00:00,1042
2021-10-10 00:00:00,1385
2021-10-17 00:00:00,755
2021-10-24 00:00:00,765
2021-10-31 00:00:00,669
2021-11-07 00:00:00,809
2021-11-14 00:00:00,886
2021-11-21 00:00:00,886
2021-11-28 00:00:00,507
2021-12-05 00:00:00,883
2021-12-12 00:00:00,699
2021-12-19 00:00:00,6349
2021-12-26 00:00:00,36035
2022-01-02 00:00:00,60326
2022-01-09 00:00:00,63035
2022-01-16 00:00:00,57313
2022-01-23 00:00:00,29504
2022-01-30 00:00:00,14543
2022-02-06 00:00:00,8398
2022-02-13 00:00:00,3830
2022-02-20 00:00:00,2869
2022-02-27 00:00:00,1618
2022-03-06 00:00:00,1423
2022-03-13 00:00:00,1302
2022-03-20 00:00:00,1558
2022-03-27 00:00:00,1848
2022-04-03 00:00:00,2716
2022-04-10 00:00:00,4938
2022-04-17 00:00:00,8584
2022-04-24 00:00:00,20905
2022-05-01 00:00:00,25869
2022-05-08 00:00:00,25569
2022-05-15 00:00:00,37493
2022-05-22 00:00:00,31065
2022-05-29 00:00:00,30260
2022-06-05 00:00:00,25398
2022-06-12 00:00:00,24085
2022-06-19 00:00:00,23670
2022-06-26 00:00:00,22575
2022-07-03 00:00:00,19419
2022-07-10 00:00:00,19868
2022-07-17 00:00:00,16368
2022-07-24 00:00:00,18196
2022-07-31 00:00:00,17623
2022-08-07 00:00:00,20173
2022-08-14 00:00:00,16928
2022-08-21 00:00:00,14580
2022-08-28 00:00:00,13940
2022-09-04 00:00:00,12434
2022-09-11 00:00:00,9511
2022-09-18 00:00:00,6036
2022-09-25 00:00:00,3505
2022-10-02 00:00:00,7161
2022-10-09 00:00:00,4754
2022-10-16 00:00:00,5341
2022-10-23 00:00:00,6273
2022-10-30 00:00:00,6425
2022-11-06 00:00:00,6896
2022-11-13 00:00:00,5536
2022-11-20 00:00:00,8518
2022-11-27 00:00:00,5589
2022-12-04 00:00:00,10527
2022-12-11 00:00:00,9563
2022-12-18 00:00:00,10281
2022-12-25 00:00:00,8020
2023-01-01 00:00:00,7744
2023-01-08 00:00:00,7591
2023-01-15 00:00:00,7905
2023-01-22 00:00:00,7016
2023-01-29 00:00:00,6307
2023-02-05 00:00:00,4596
2023-02-12 00:00:00,4155
2023-02-19 00:00:00,3447
2023-02-26 00:00:00,2723
2023-03-05 00:00:00,2379
