date,OT
2020-03-08 00:00:00,2
2020-03-15 00:00:00,17
2020-03-22 00:00:00,63
2020-03-29 00:00:00,211
2020-04-05 00:00:00,628
2020-04-12 00:00:00,1743
2020-04-19 00:00:00,2041
2020-04-26 00:00:00,2733
2020-05-03 00:00:00,2038
2020-05-10 00:00:00,1797
2020-05-17 00:00:00,1400
2020-05-24 00:00:00,1391
2020-05-31 00:00:00,863
2020-06-07 00:00:00,513
2020-06-14 00:00:00,506
2020-06-21 00:00:00,390
2020-06-28 00:00:00,324
2020-07-05 00:00:00,330
2020-07-12 00:00:00,321
2020-07-19 00:00:00,481
2020-07-26 00:00:00,431
2020-08-02 00:00:00,798
2020-08-09 00:00:00,716
2020-08-16 00:00:00,597
2020-08-23 00:00:00,687
2020-08-30 00:00:00,661
2020-09-06 00:00:00,560
2020-09-13 00:00:00,662
2020-09-20 00:00:00,715
2020-09-27 00:00:00,561
2020-10-04 00:00:00,895
2020-10-11 00:00:00,1218
2020-10-18 00:00:00,1397
2020-10-25 00:00:00,2427
2020-11-01 00:00:00,2756
2020-11-08 00:00:00,3506
2020-11-15 00:00:00,5149
2020-11-22 00:00:00,6472
2020-11-29 00:00:00,5953
2020-12-06 00:00:00,8183
2020-12-13 00:00:00,8681
2020-12-20 00:00:00,6994
2020-12-27 00:00:00,4254
2021-01-03 00:00:00,5883
2021-01-10 00:00:00,9665
2021-01-17 00:00:00,6829
2021-01-24 00:00:00,5292
2021-01-31 00:00:00,4703
2021-02-07 00:00:00,3453
2021-02-14 00:00:00,2930
2021-02-21 00:00:00,2324
2021-02-28 00:00:00,2477
2021-03-07 00:00:00,2499
2021-03-14 00:00:00,2381
2021-03-21 00:00:00,2537
2021-03-28 00:00:00,2736
2021-04-04 00:00:00,2480
2021-04-11 00:00:00,2842
2021-04-18 00:00:00,3052
2021-04-25 00:00:00,2175
2021-05-02 00:00:00,1862
2021-05-09 00:00:00,1391
2021-05-16 00:00:00,808
2021-05-23 00:00:00,873
2021-05-30 00:00:00,485
2021-06-06 00:00:00,249
2021-06-13 00:00:00,221
2021-06-20 00:00:00,170
2021-06-27 00:00:00,131
2021-07-04 00:00:00,129
2021-07-11 00:00:00,86
2021-07-18 00:00:00,242
2021-07-25 00:00:00,476
2021-08-01 00:00:00,892
2021-08-08 00:00:00,1486
2021-08-15 00:00:00,1764
2021-08-22 00:00:00,2121
2021-08-29 00:00:00,1991
2021-09-05 00:00:00,2041
2021-09-12 00:00:00,2107
2021-09-19 00:00:00,2600
2021-09-26 00:00:00,2251
2021-10-03 00:00:00,2019
2021-10-10 00:00:00,1851
2021-10-17 00:00:00,1835
2021-10-24 00:00:00,1593
2021-10-31 00:00:00,1407
2021-11-07 00:00:00,1674
2021-11-14 00:00:00,2178
2021-11-21 00:00:00,3130
2021-11-28 00:00:00,2174
2021-12-05 00:00:00,6297
2021-12-12 00:00:00,6417
2021-12-19 00:00:00,7478
2021-12-26 00:00:00,8475
2022-01-02 00:00:00,13868
2022-01-09 00:00:00,34970
2022-01-16 00:00:00,36043
2022-01-23 00:00:00,25000
2022-01-30 00:00:00,14298
2022-02-06 00:00:00,6494
2022-02-13 00:00:00,3943
2022-02-20 00:00:00,2201
2022-02-27 00:00:00,1464
2022-03-06 00:00:00,1274
2022-03-13 00:00:00,1019
2022-03-20 00:00:00,1262
2022-03-27 00:00:00,1108
2022-04-03 00:00:00,1336
2022-04-10 00:00:00,1864
2022-04-17 00:00:00,2508
2022-04-24 00:00:00,2366
2022-05-01 00:00:00,3383
2022-05-08 00:00:00,4268
2022-05-15 00:00:00,5374
2022-05-22 00:00:00,5812
2022-05-29 00:00:00,4192
2022-06-05 00:00:00,3298
2022-06-12 00:00:00,2614
2022-06-19 00:00:00,2095
2022-06-26 00:00:00,1826
2022-07-03 00:00:00,1944
2022-07-10 00:00:00,1552
2022-07-17 00:00:00,2064
2022-07-24 00:00:00,1864
2022-07-31 00:00:00,1867
2022-08-07 00:00:00,2078
2022-08-14 00:00:00,782
2022-08-21 00:00:00,1672
2022-08-28 00:00:00,1707
2022-09-04 00:00:00,1997
2022-09-11 00:00:00,1540
2022-09-18 00:00:00,1564
2022-09-25 00:00:00,1824
2022-10-02 00:00:00,1898
2022-10-09 00:00:00,1781
2022-10-16 00:00:00,1632
2022-10-23 00:00:00,1762
2022-10-30 00:00:00,1406
2022-11-06 00:00:00,1306
2022-11-13 00:00:00,1305
2022-11-20 00:00:00,1125
2022-11-27 00:00:00,1126
2022-12-04 00:00:00,1068
2022-12-11 00:00:00,1801
2022-12-18 00:00:00,1919
2022-12-25 00:00:00,1953
2023-01-01 00:00:00,0
2023-01-08 00:00:00,4561
2023-01-15 00:00:00,2353
2023-01-22 00:00:00,1998
2023-01-29 00:00:00,1654
2023-02-05 00:00:00,1630
2023-02-12 00:00:00,1321
2023-02-19 00:00:00,1094
2023-02-26 00:00:00,1000
2023-03-05 00:00:00,789
