date,OT
2020-03-08 00:00:00,2
2020-03-15 00:00:00,17
2020-03-22 00:00:00,177
2020-03-29 00:00:00,578
2020-04-05 00:00:00,1275
2020-04-12 00:00:00,1271
2020-04-19 00:00:00,1057
2020-04-26 00:00:00,1121
2020-05-03 00:00:00,1128
2020-05-10 00:00:00,1027
2020-05-17 00:00:00,1163
2020-05-24 00:00:00,1280
2020-05-31 00:00:00,1765
2020-06-07 00:00:00,2441
2020-06-14 00:00:00,4493
2020-06-21 00:00:00,5866
2020-06-28 00:00:00,8659
2020-07-05 00:00:00,11527
2020-07-12 00:00:00,11801
2020-07-19 00:00:00,13338
2020-07-26 00:00:00,11213
2020-08-02 00:00:00,10589
2020-08-09 00:00:00,8647
2020-08-16 00:00:00,6062
2020-08-23 00:00:00,5491
2020-08-30 00:00:00,6336
2020-09-06 00:00:00,6628
2020-09-13 00:00:00,6912
2020-09-20 00:00:00,5844
2020-09-27 00:00:00,8179
2020-10-04 00:00:00,5695
2020-10-11 00:00:00,5824
2020-10-18 00:00:00,6584
2020-10-25 00:00:00,6688
2020-11-01 00:00:00,7345
2020-11-08 00:00:00,7665
2020-11-15 00:00:00,9819
2020-11-22 00:00:00,10788
2020-11-29 00:00:00,9834
2020-12-06 00:00:00,15970
2020-12-13 00:00:00,20107
2020-12-20 00:00:00,21200
2020-12-27 00:00:00,22773
2021-01-03 00:00:00,25490
2021-01-10 00:00:00,32856
2021-01-17 00:00:00,33659
2021-01-24 00:00:00,30141
2021-01-31 00:00:00,25061
2021-02-07 00:00:00,22987
2021-02-14 00:00:00,20920
2021-02-21 00:00:00,16856
2021-02-28 00:00:00,12674
2021-03-07 00:00:00,9042
2021-03-14 00:00:00,7556
2021-03-21 00:00:00,8161
2021-03-28 00:00:00,7617
2021-04-04 00:00:00,6075
2021-04-11 00:00:00,7417
2021-04-18 00:00:00,6588
2021-04-25 00:00:00,5706
2021-05-02 00:00:00,5288
2021-05-09 00:00:00,4244
2021-05-16 00:00:00,4076
2021-05-23 00:00:00,2388
2021-05-30 00:00:00,2111
2021-06-06 00:00:00,1038
2021-06-13 00:00:00,747
2021-06-20 00:00:00,571
2021-06-27 00:00:00,696
2021-07-04 00:00:00,1117
2021-07-11 00:00:00,1657
2021-07-18 00:00:00,2885
2021-07-25 00:00:00,5030
2021-08-01 00:00:00,10315
2021-08-08 00:00:00,17162
2021-08-15 00:00:00,22003
2021-08-22 00:00:00,25346
2021-08-29 00:00:00,32606
2021-09-05 00:00:00,38113
2021-09-12 00:00:00,31674
2021-09-19 00:00:00,35152
2021-09-26 00:00:00,22396
2021-10-03 00:00:00,18769
2021-10-10 00:00:00,13644
2021-10-17 00:00:00,9969
2021-10-24 00:00:00,7090
2021-10-31 00:00:00,6080
2021-11-07 00:00:00,5177
2021-11-14 00:00:00,4616
2021-11-21 00:00:00,4679
2021-11-28 00:00:00,4060
2021-12-05 00:00:00,6038
2021-12-12 00:00:00,7355
2021-12-19 00:00:00,7130
2021-12-26 00:00:00,8367
2022-01-02 00:00:00,30746
2022-01-09 00:00:00,72932
2022-01-16 00:00:00,104873
2022-01-23 00:00:00,112585
2022-01-30 00:00:00,89406
2022-02-06 00:00:00,51817
2022-02-13 00:00:00,24134
2022-02-20 00:00:00,18570
2022-02-27 00:00:00,9433
2022-03-06 00:00:00,3776
2022-03-13 00:00:00,2281
2022-03-20 00:00:00,612
2022-03-27 00:00:00,1376
2022-04-03 00:00:00,1025
2022-04-10 00:00:00,1566
2022-04-17 00:00:00,891
2022-04-24 00:00:00,1496
2022-05-01 00:00:00,2181
2022-05-08 00:00:00,3071
2022-05-15 00:00:00,4630
2022-05-22 00:00:00,5753
2022-05-29 00:00:00,8034
2022-06-05 00:00:00,9205
2022-06-12 00:00:00,9456
2022-06-19 00:00:00,10348
2022-06-26 00:00:00,10621
2022-07-03 00:00:00,11014
2022-07-10 00:00:00,13733
2022-07-17 00:00:00,13446
2022-07-24 00:00:00,13918
2022-07-31 00:00:00,17662
2022-08-07 00:00:00,15956
2022-08-14 00:00:00,15987
2022-08-21 00:00:00,13640
2022-08-28 00:00:00,10272
2022-09-04 00:00:00,13261
2022-09-11 00:00:00,13359
2022-09-18 00:00:00,9106
2022-09-25 00:00:00,6693
2022-10-02 00:00:00,4635
2022-10-09 00:00:00,4207
2022-10-16 00:00:00,3153
2022-10-23 00:00:00,3166
2022-10-30 00:00:00,3093
2022-11-06 00:00:00,3467
2022-11-13 00:00:00,4173
2022-11-20 00:00:00,2954
2022-11-27 00:00:00,3064
2022-12-04 00:00:00,3028
2022-12-11 00:00:00,6789
2022-12-18 00:00:00,6478
2022-12-25 00:00:00,8558
2023-01-01 00:00:00,9855
2023-01-08 00:00:00,10590
2023-01-15 00:00:00,11284
2023-01-22 00:00:00,8033
2023-01-29 00:00:00,7053
2023-02-05 00:00:00,5939
2023-02-12 00:00:00,5588
2023-02-19 00:00:00,4867
2023-02-26 00:00:00,4207
2023-03-05 00:00:00,6111
