date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,8
2020-03-22 00:00:00,13
2020-03-29 00:00:00,69
2020-04-05 00:00:00,150
2020-04-12 00:00:00,490
2020-04-19 00:00:00,905
2020-04-26 00:00:00,577
2020-05-03 00:00:00,419
2020-05-10 00:00:00,886
2020-05-17 00:00:00,470
2020-05-24 00:00:00,576
2020-05-31 00:00:00,430
2020-06-07 00:00:00,445
2020-06-14 00:00:00,460
2020-06-21 00:00:00,399
2020-06-28 00:00:00,384
2020-07-05 00:00:00,382
2020-07-12 00:00:00,436
2020-07-19 00:00:00,407
2020-07-26 00:00:00,489
2020-08-02 00:00:00,560
2020-08-09 00:00:00,650
2020-08-16 00:00:00,669
2020-08-23 00:00:00,1002
2020-08-30 00:00:00,2046
2020-09-06 00:00:00,1787
2020-09-13 00:00:00,1529
2020-09-20 00:00:00,2058
2020-09-27 00:00:00,2845
2020-10-04 00:00:00,2877
2020-10-11 00:00:00,4146
2020-10-18 00:00:00,4705
2020-10-25 00:00:00,5934
2020-11-01 00:00:00,8121
2020-11-08 00:00:00,8080
2020-11-15 00:00:00,9977
2020-11-22 00:00:00,7684
2020-11-29 00:00:00,6835
2020-12-06 00:00:00,6091
2020-12-13 00:00:00,5047
2020-12-20 00:00:00,3689
2020-12-27 00:00:00,2663
2021-01-03 00:00:00,3142
2021-01-10 00:00:00,2786
2021-01-17 00:00:00,2226
2021-01-24 00:00:00,1604
2021-01-31 00:00:00,1102
2021-02-07 00:00:00,979
2021-02-14 00:00:00,1086
2021-02-21 00:00:00,989
2021-02-28 00:00:00,1123
2021-03-07 00:00:00,1162
2021-03-14 00:00:00,1034
2021-03-21 00:00:00,1244
2021-03-28 00:00:00,1377
2021-04-04 00:00:00,1117
2021-04-11 00:00:00,1344
2021-04-18 00:00:00,1351
2021-04-25 00:00:00,930
2021-05-02 00:00:00,674
2021-05-09 00:00:00,573
2021-05-16 00:00:00,411
2021-05-23 00:00:00,267
2021-05-30 00:00:00,251
2021-06-06 00:00:00,99
2021-06-13 00:00:00,99
2021-06-20 00:00:00,33
2021-06-27 00:00:00,103
2021-07-04 00:00:00,96
2021-07-11 00:00:00,60
2021-07-18 00:00:00,112
2021-07-25 00:00:00,196
2021-08-01 00:00:00,265
2021-08-08 00:00:00,374
2021-08-15 00:00:00,1150
2021-08-22 00:00:00,1548
2021-08-29 00:00:00,2479
2021-09-05 00:00:00,3079
2021-09-12 00:00:00,2917
2021-09-19 00:00:00,3184
2021-09-26 00:00:00,2844
2021-10-03 00:00:00,2674
2021-10-10 00:00:00,2346
2021-10-17 00:00:00,2176
2021-10-24 00:00:00,2312
2021-10-31 00:00:00,2174
2021-11-07 00:00:00,2513
2021-11-14 00:00:00,2348
2021-11-21 00:00:00,3032
2021-11-28 00:00:00,1917
2021-12-05 00:00:00,3979
2021-12-12 00:00:00,2977
2021-12-19 00:00:00,2407
2021-12-26 00:00:00,2022
2022-01-02 00:00:00,3527
2022-01-09 00:00:00,10207
2022-01-16 00:00:00,13726
2022-01-23 00:00:00,13519
2022-01-30 00:00:00,8727
2022-02-06 00:00:00,4857
2022-02-13 00:00:00,2485
2022-02-20 00:00:00,2236
2022-02-27 00:00:00,826
2022-03-06 00:00:00,489
2022-03-13 00:00:00,326
2022-03-20 00:00:00,243
2022-03-27 00:00:00,110
2022-04-03 00:00:00,154
2022-04-10 00:00:00,137
2022-04-17 00:00:00,124
2022-04-24 00:00:00,165
2022-05-01 00:00:00,277
2022-05-08 00:00:00,373
2022-05-15 00:00:00,450
2022-05-22 00:00:00,475
2022-05-29 00:00:00,594
2022-06-05 00:00:00,653
2022-06-12 00:00:00,969
2022-06-19 00:00:00,972
2022-06-26 00:00:00,971
2022-07-03 00:00:00,1254
2022-07-10 00:00:00,1182
2022-07-17 00:00:00,1569
2022-07-24 00:00:00,1514
2022-07-31 00:00:00,1498
2022-08-07 00:00:00,1574
2022-08-14 00:00:00,1372
2022-08-21 00:00:00,1438
2022-08-28 00:00:00,1585
2022-09-04 00:00:00,1292
2022-09-11 00:00:00,963
2022-09-18 00:00:00,1173
2022-09-25 00:00:00,956
2022-10-02 00:00:00,732
2022-10-09 00:00:00,842
2022-10-16 00:00:00,624
2022-10-23 00:00:00,631
2022-10-30 00:00:00,719
2022-11-06 00:00:00,832
2022-11-13 00:00:00,871
2022-11-20 00:00:00,953
2022-11-27 00:00:00,846
2022-12-04 00:00:00,1108
2022-12-11 00:00:00,1089
2022-12-18 00:00:00,923
2022-12-25 00:00:00,624
2023-01-01 00:00:00,423
2023-01-08 00:00:00,511
2023-01-15 00:00:00,523
2023-01-22 00:00:00,464
2023-01-29 00:00:00,575
2023-02-05 00:00:00,747
2023-02-12 00:00:00,996
2023-02-19 00:00:00,983
2023-02-26 00:00:00,996
2023-03-05 00:00:00,838
