date,OT
2020-03-08 00:00:00,3
2020-03-15 00:00:00,29
2020-03-22 00:00:00,361
2020-03-29 00:00:00,1327
2020-04-05 00:00:00,1940
2020-04-12 00:00:00,1730
2020-04-19 00:00:00,1721
2020-04-26 00:00:00,2556
2020-05-03 00:00:00,3516
2020-05-10 00:00:00,1836
2020-05-17 00:00:00,2753
2020-05-24 00:00:00,2451
2020-05-31 00:00:00,3051
2020-06-07 00:00:00,3231
2020-06-14 00:00:00,3795
2020-06-21 00:00:00,4546
2020-06-28 00:00:00,5433
2020-07-05 00:00:00,10878
2020-07-12 00:00:00,11916
2020-07-19 00:00:00,14584
2020-07-26 00:00:00,16033
2020-08-02 00:00:00,14071
2020-08-09 00:00:00,13023
2020-08-16 00:00:00,11120
2020-08-23 00:00:00,10112
2020-08-30 00:00:00,10083
2020-09-06 00:00:00,10234
2020-09-13 00:00:00,8435
2020-09-20 00:00:00,11002
2020-09-27 00:00:00,9414
2020-10-04 00:00:00,8768
2020-10-11 00:00:00,14225
2020-10-18 00:00:00,13451
2020-10-25 00:00:00,18293
2020-11-01 00:00:00,13946
2020-11-08 00:00:00,21993
2020-11-15 00:00:00,28033
2020-11-22 00:00:00,28066
2020-11-29 00:00:00,27177
2020-12-06 00:00:00,32295
2020-12-13 00:00:00,55896
2020-12-20 00:00:00,64407
2020-12-27 00:00:00,40306
2021-01-03 00:00:00,44813
2021-01-10 00:00:00,45692
2021-01-17 00:00:00,30984
2021-01-24 00:00:00,22851
2021-01-31 00:00:00,19042
2021-02-07 00:00:00,16407
2021-02-14 00:00:00,13300
2021-02-21 00:00:00,7628
2021-02-28 00:00:00,9877
2021-03-07 00:00:00,8200
2021-03-14 00:00:00,8622
2021-03-21 00:00:00,8762
2021-03-28 00:00:00,7808
2021-04-04 00:00:00,7996
2021-04-11 00:00:00,7807
2021-04-18 00:00:00,10997
2021-04-25 00:00:00,7399
2021-05-02 00:00:00,6639
2021-05-09 00:00:00,5462
2021-05-16 00:00:00,4550
2021-05-23 00:00:00,3469
2021-05-30 00:00:00,2443
2021-06-06 00:00:00,1845
2021-06-13 00:00:00,1505
2021-06-20 00:00:00,1348
2021-06-27 00:00:00,1281
2021-07-04 00:00:00,1889
2021-07-11 00:00:00,2879
2021-07-18 00:00:00,4769
2021-07-25 00:00:00,8923
2021-08-01 00:00:00,16171
2021-08-08 00:00:00,22846
2021-08-15 00:00:00,31055
2021-08-22 00:00:00,42915
2021-08-29 00:00:00,44114
2021-09-05 00:00:00,54261
2021-09-12 00:00:00,57737
2021-09-19 00:00:00,36138
2021-09-26 00:00:00,26795
2021-10-03 00:00:00,20548
2021-10-10 00:00:00,15681
2021-10-17 00:00:00,12179
2021-10-24 00:00:00,9532
2021-10-31 00:00:00,6961
2021-11-07 00:00:00,6912
2021-11-14 00:00:00,8377
2021-11-21 00:00:00,9340
2021-11-28 00:00:00,7412
2021-12-05 00:00:00,13117
2021-12-12 00:00:00,12616
2021-12-19 00:00:00,14300
2021-12-26 00:00:00,27478
2022-01-02 00:00:00,71533
2022-01-09 00:00:00,95111
2022-01-16 00:00:00,115268
2022-01-23 00:00:00,114904
2022-01-30 00:00:00,92304
2022-02-06 00:00:00,69194
2022-02-13 00:00:00,33091
2022-02-20 00:00:00,21450
2022-02-27 00:00:00,10747
2022-03-06 00:00:00,6914
2022-03-13 00:00:00,3138
2022-03-20 00:00:00,2075
2022-03-27 00:00:00,1627
2022-04-03 00:00:00,1693
2022-04-10 00:00:00,1998
2022-04-17 00:00:00,2211
2022-04-24 00:00:00,2874
2022-05-01 00:00:00,3540
2022-05-08 00:00:00,5030
2022-05-15 00:00:00,6847
2022-05-22 00:00:00,8973
2022-05-29 00:00:00,10730
2022-06-05 00:00:00,11357
2022-06-12 00:00:00,12916
2022-06-19 00:00:00,13486
2022-06-26 00:00:00,15779
2022-07-03 00:00:00,16942
2022-07-10 00:00:00,16878
2022-07-17 00:00:00,19242
2022-07-24 00:00:00,20673
2022-07-31 00:00:00,18900
2022-08-07 00:00:00,17178
2022-08-14 00:00:00,18393
2022-08-21 00:00:00,28346
2022-08-28 00:00:00,22064
2022-09-04 00:00:00,15912
2022-09-11 00:00:00,10770
2022-09-18 00:00:00,8338
2022-09-25 00:00:00,7359
2022-10-02 00:00:00,5691
2022-10-09 00:00:00,5655
2022-10-16 00:00:00,4879
2022-10-23 00:00:00,5591
2022-10-30 00:00:00,6927
2022-11-06 00:00:00,7497
2022-11-13 00:00:00,6488
2022-11-20 00:00:00,5875
2022-11-27 00:00:00,5860
2022-12-04 00:00:00,9541
2022-12-11 00:00:00,9873
2022-12-18 00:00:00,10199
2022-12-25 00:00:00,9609
2023-01-01 00:00:00,11658
2023-01-08 00:00:00,11168
2023-01-15 00:00:00,8294
2023-01-22 00:00:00,8309
2023-01-29 00:00:00,9122
2023-02-05 00:00:00,10261
2023-02-12 00:00:00,8691
2023-02-19 00:00:00,7499
2023-02-26 00:00:00,5983
2023-03-05 00:00:00,0
