date,OT
2020-03-08 00:00:00,11
2020-03-15 00:00:00,53
2020-03-22 00:00:00,579
2020-03-29 00:00:00,2149
2020-04-05 00:00:00,2612
2020-04-12 00:00:00,4393
2020-04-19 00:00:00,3977
2020-04-26 00:00:00,5006
2020-05-03 00:00:00,7024
2020-05-10 00:00:00,8063
2020-05-17 00:00:00,6948
2020-05-24 00:00:00,6419
2020-05-31 00:00:00,6464
2020-06-07 00:00:00,16354
2020-06-14 00:00:00,15153
2020-06-21 00:00:00,25498
2020-06-28 00:00:00,39688
2020-07-05 00:00:00,46602
2020-07-12 00:00:00,60737
2020-07-19 00:00:00,59930
2020-07-26 00:00:00,56549
2020-08-02 00:00:00,54354
2020-08-09 00:00:00,76848
2020-08-16 00:00:00,68196
2020-08-23 00:00:00,42116
2020-08-30 00:00:00,34706
2020-09-06 00:00:00,25566
2020-09-13 00:00:00,34131
2020-09-20 00:00:00,35518
2020-09-27 00:00:00,24593
2020-10-04 00:00:00,27564
2020-10-11 00:00:00,23356
2020-10-18 00:00:00,33065
2020-10-25 00:00:00,33964
2020-11-01 00:00:00,48658
2020-11-08 00:00:00,49775
2020-11-15 00:00:00,59986
2020-11-22 00:00:00,79630
2020-11-29 00:00:00,99174
2020-12-06 00:00:00,98169
2020-12-13 00:00:00,100794
2020-12-20 00:00:00,128226
2020-12-27 00:00:00,121246
2021-01-03 00:00:00,169728
2021-01-10 00:00:00,160987
2021-01-17 00:00:00,159543
2021-01-24 00:00:00,126569
2021-01-31 00:00:00,120060
2021-02-07 00:00:00,123049
2021-02-14 00:00:00,76306
2021-02-21 00:00:00,28087
2021-02-28 00:00:00,55860
2021-03-07 00:00:00,42717
2021-03-14 00:00:00,31516
2021-03-21 00:00:00,26763
2021-03-28 00:00:00,26892
2021-04-04 00:00:00,21403
2021-04-11 00:00:00,24323
2021-04-18 00:00:00,23691
2021-04-25 00:00:00,22899
2021-05-02 00:00:00,23666
2021-05-09 00:00:00,17083
2021-05-16 00:00:00,14766
2021-05-23 00:00:00,12191
2021-05-30 00:00:00,11608
2021-06-06 00:00:00,9531
2021-06-13 00:00:00,14103
2021-06-20 00:00:00,8348
2021-06-27 00:00:00,8606
2021-07-04 00:00:00,10126
2021-07-11 00:00:00,12565
2021-07-18 00:00:00,22289
2021-07-25 00:00:00,35846
2021-08-01 00:00:00,63078
2021-08-08 00:00:00,97110
2021-08-15 00:00:00,98873
2021-08-22 00:00:00,121285
2021-08-29 00:00:00,106285
2021-09-05 00:00:00,135007
2021-09-12 00:00:00,118449
2021-09-19 00:00:00,114717
2021-09-26 00:00:00,82254
2021-10-03 00:00:00,66450
2021-10-10 00:00:00,52269
2021-10-17 00:00:00,41873
2021-10-24 00:00:00,31390
2021-10-31 00:00:00,28150
2021-11-07 00:00:00,22055
2021-11-14 00:00:00,22505
2021-11-21 00:00:00,23664
2021-11-28 00:00:00,16320
2021-12-05 00:00:00,36277
2021-12-12 00:00:00,29262
2021-12-19 00:00:00,41210
2021-12-26 00:00:00,85055
2022-01-02 00:00:00,185712
2022-01-09 00:00:00,360330
2022-01-16 00:00:00,433275
2022-01-23 00:00:00,412843
2022-01-30 00:00:00,260368
2022-02-06 00:00:00,191003
2022-02-13 00:00:00,100241
2022-02-20 00:00:00,59010
2022-02-27 00:00:00,35923
2022-03-06 00:00:00,26081
2022-03-13 00:00:00,32024
2022-03-20 00:00:00,19574
2022-03-27 00:00:00,34943
2022-04-03 00:00:00,20297
2022-04-10 00:00:00,34985
2022-04-17 00:00:00,13036
2022-04-24 00:00:00,24280
2022-05-01 00:00:00,17899
2022-05-08 00:00:00,21164
2022-05-15 00:00:00,24463
2022-05-22 00:00:00,28762
2022-05-29 00:00:00,25862
2022-06-05 00:00:00,52436
2022-06-12 00:00:00,47405
2022-06-19 00:00:00,46234
2022-06-26 00:00:00,71522
2022-07-03 00:00:00,58097
2022-07-10 00:00:00,94721
2022-07-17 00:00:00,89404
2022-07-24 00:00:00,84284
2022-07-31 00:00:00,62996
2022-08-07 00:00:00,78141
2022-08-14 00:00:00,75827
2022-08-21 00:00:00,58932
2022-08-28 00:00:00,53840
2022-09-04 00:00:00,57874
2022-09-11 00:00:00,41855
2022-09-18 00:00:00,36737
2022-09-25 00:00:00,24978
2022-10-02 00:00:00,21950
2022-10-09 00:00:00,14206
2022-10-16 00:00:00,13548
2022-10-23 00:00:00,11575
2022-10-30 00:00:00,11678
2022-11-06 00:00:00,11541
2022-11-13 00:00:00,8957
2022-11-20 00:00:00,18174
2022-11-27 00:00:00,9924
2022-12-04 00:00:00,21224
2022-12-11 00:00:00,29983
2022-12-18 00:00:00,29572
2022-12-25 00:00:00,29880
2023-01-01 00:00:00,33401
2023-01-08 00:00:00,38529
2023-01-15 00:00:00,35367
2023-01-22 00:00:00,26420
2023-01-29 00:00:00,23627
2023-02-05 00:00:00,38947
2023-02-12 00:00:00,25039
2023-02-19 00:00:00,18407
2023-02-26 00:00:00,16941
2023-03-05 00:00:00,19614
