date,OT
2020-03-08 00:00:00,1
2020-03-15 00:00:00,17
2020-03-22 00:00:00,144
2020-03-29 00:00:00,558
2020-04-05 00:00:00,881
2020-04-12 00:00:00,702
2020-04-19 00:00:00,766
2020-04-26 00:00:00,1054
2020-05-03 00:00:00,1052
2020-05-10 00:00:00,1076
2020-05-17 00:00:00,987
2020-05-24 00:00:00,1154
2020-05-31 00:00:00,1405
2020-06-07 00:00:00,2269
2020-06-14 00:00:00,2247
2020-06-21 00:00:00,3149
2020-06-28 00:00:00,3638
2020-07-05 00:00:00,3852
2020-07-12 00:00:00,4532
2020-07-19 00:00:00,4633
2020-07-26 00:00:00,3856
2020-08-02 00:00:00,3202
2020-08-09 00:00:00,2952
2020-08-16 00:00:00,2525
2020-08-23 00:00:00,2463
2020-08-30 00:00:00,2739
2020-09-06 00:00:00,2806
2020-09-13 00:00:00,3215
2020-09-20 00:00:00,5897
2020-09-27 00:00:00,6843
2020-10-04 00:00:00,7003
2020-10-11 00:00:00,8226
2020-10-18 00:00:00,8550
2020-10-25 00:00:00,10488
2020-11-01 00:00:00,11628
2020-11-08 00:00:00,16111
2020-11-15 00:00:00,21187
2020-11-22 00:00:00,23368
2020-11-29 00:00:00,16633
2020-12-06 00:00:00,21598
2020-12-13 00:00:00,18497
2020-12-20 00:00:00,17060
2020-12-27 00:00:00,13910
2021-01-03 00:00:00,18599
2021-01-10 00:00:00,22526
2021-01-17 00:00:00,17838
2021-01-24 00:00:00,12568
2021-01-31 00:00:00,10219
2021-02-07 00:00:00,7984
2021-02-14 00:00:00,6686
2021-02-21 00:00:00,5441
2021-02-28 00:00:00,4500
2021-03-07 00:00:00,3615
2021-03-14 00:00:00,3529
2021-03-21 00:00:00,3250
2021-03-28 00:00:00,2933
2021-04-04 00:00:00,2779
2021-04-11 00:00:00,2763
2021-04-18 00:00:00,2653
2021-04-25 00:00:00,2674
2021-05-02 00:00:00,2581
2021-05-09 00:00:00,2340
2021-05-16 00:00:00,2215
2021-05-23 00:00:00,1910
2021-05-30 00:00:00,1550
2021-06-06 00:00:00,1615
2021-06-13 00:00:00,1916
2021-06-20 00:00:00,2052
2021-06-27 00:00:00,2340
2021-07-04 00:00:00,2160
2021-07-11 00:00:00,2866
2021-07-18 00:00:00,3643
2021-07-25 00:00:00,3799
2021-08-01 00:00:00,6049
2021-08-08 00:00:00,6012
2021-08-15 00:00:00,5906
2021-08-22 00:00:00,7270
2021-08-29 00:00:00,8220
2021-09-05 00:00:00,9554
2021-09-12 00:00:00,10550
2021-09-19 00:00:00,11006
2021-09-26 00:00:00,9713
2021-10-03 00:00:00,9511
2021-10-10 00:00:00,9981
2021-10-17 00:00:00,8957
2021-10-24 00:00:00,9748
2021-10-31 00:00:00,10987
2021-11-07 00:00:00,10722
2021-11-14 00:00:00,10903
2021-11-21 00:00:00,11422
2021-11-28 00:00:00,9201
2021-12-05 00:00:00,9822
2021-12-12 00:00:00,8729
2021-12-19 00:00:00,7016
2021-12-26 00:00:00,6006
2022-01-02 00:00:00,13289
2022-01-09 00:00:00,45044
2022-01-16 00:00:00,68298
2022-01-23 00:00:00,75655
2022-01-30 00:00:00,49262
2022-02-06 00:00:00,23016
2022-02-13 00:00:00,12633
2022-02-20 00:00:00,7322
2022-02-27 00:00:00,3734
2022-03-06 00:00:00,2292
2022-03-13 00:00:00,1271
2022-03-20 00:00:00,923
2022-03-27 00:00:00,854
2022-04-03 00:00:00,626
2022-04-10 00:00:00,699
2022-04-17 00:00:00,740
2022-04-24 00:00:00,1197
2022-05-01 00:00:00,1695
2022-05-08 00:00:00,3226
2022-05-15 00:00:00,3385
2022-05-22 00:00:00,4504
2022-05-29 00:00:00,5611
2022-06-05 00:00:00,5728
2022-06-12 00:00:00,7502
2022-06-19 00:00:00,6522
2022-06-26 00:00:00,6776
2022-07-03 00:00:00,7388
2022-07-10 00:00:00,6872
2022-07-17 00:00:00,7789
2022-07-24 00:00:00,6870
2022-07-31 00:00:00,5866
2022-08-07 00:00:00,5150
2022-08-14 00:00:00,4688
2022-08-21 00:00:00,3539
2022-08-28 00:00:00,3143
2022-09-04 00:00:00,2947
2022-09-11 00:00:00,2370
2022-09-18 00:00:00,2487
2022-09-25 00:00:00,1919
2022-10-02 00:00:00,1881
2022-10-09 00:00:00,1731
2022-10-16 00:00:00,1504
2022-10-23 00:00:00,1702
2022-10-30 00:00:00,2119
2022-11-06 00:00:00,2410
2022-11-13 00:00:00,3381
2022-11-20 00:00:00,2787
2022-11-27 00:00:00,4824
2022-12-04 00:00:00,4394
2022-12-11 00:00:00,3182
2022-12-18 00:00:00,3253
2022-12-25 00:00:00,2878
2023-01-01 00:00:00,2247
2023-01-08 00:00:00,2223
2023-01-15 00:00:00,1950
2023-01-22 00:00:00,1066
2023-01-29 00:00:00,1279
2023-02-05 00:00:00,1250
2023-02-12 00:00:00,1363
2023-02-19 00:00:00,1548
2023-02-26 00:00:00,1642
2023-03-05 00:00:00,1704
