date,OT
2020-03-08 00:00:00,1
2020-03-15 00:00:00,4
2020-03-22 00:00:00,47
2020-03-29 00:00:00,183
2020-04-05 00:00:00,277
2020-04-12 00:00:00,215
2020-04-19 00:00:00,86
2020-04-26 00:00:00,38
2020-05-03 00:00:00,46
2020-05-10 00:00:00,30
2020-05-17 00:00:00,13
2020-05-24 00:00:00,16
2020-05-31 00:00:00,25
2020-06-07 00:00:00,82
2020-06-14 00:00:00,64
2020-06-21 00:00:00,32
2020-06-28 00:00:00,43
2020-07-05 00:00:00,47
2020-07-12 00:00:00,47
2020-07-19 00:00:00,54
2020-07-26 00:00:00,50
2020-08-02 00:00:00,26
2020-08-09 00:00:00,33
2020-08-16 00:00:00,56
2020-08-23 00:00:00,42
2020-08-30 00:00:00,59
2020-09-06 00:00:00,32
2020-09-13 00:00:00,36
2020-09-20 00:00:00,31
2020-09-27 00:00:00,27
2020-10-04 00:00:00,43
2020-10-11 00:00:00,83
2020-10-18 00:00:00,69
2020-10-25 00:00:00,136
2020-11-01 00:00:00,123
2020-11-08 00:00:00,196
2020-11-15 00:00:00,497
2020-11-22 00:00:00,740
2020-11-29 00:00:00,471
2020-12-06 00:00:00,915
2020-12-13 00:00:00,738
2020-12-20 00:00:00,690
2020-12-27 00:00:00,586
2021-01-03 00:00:00,764
2021-01-10 00:00:00,1174
2021-01-17 00:00:00,1090
2021-01-24 00:00:00,976
2021-01-31 00:00:00,932
2021-02-07 00:00:00,935
2021-02-14 00:00:00,777
2021-02-21 00:00:00,816
2021-02-28 00:00:00,705
2021-03-07 00:00:00,885
2021-03-14 00:00:00,807
2021-03-21 00:00:00,850
2021-03-28 00:00:00,1080
2021-04-04 00:00:00,1329
2021-04-11 00:00:00,1053
2021-04-18 00:00:00,814
2021-04-25 00:00:00,560
2021-05-02 00:00:00,550
2021-05-09 00:00:00,360
2021-05-16 00:00:00,397
2021-05-23 00:00:00,223
2021-05-30 00:00:00,103
2021-06-06 00:00:00,43
2021-06-13 00:00:00,68
2021-06-20 00:00:00,40
2021-06-27 00:00:00,32
2021-07-04 00:00:00,27
2021-07-11 00:00:00,38
2021-07-18 00:00:00,93
2021-07-25 00:00:00,126
2021-08-01 00:00:00,213
2021-08-08 00:00:00,431
2021-08-15 00:00:00,720
2021-08-22 00:00:00,1010
2021-08-29 00:00:00,922
2021-09-05 00:00:00,1022
2021-09-12 00:00:00,1120
2021-09-19 00:00:00,1520
2021-09-26 00:00:00,1397
2021-10-03 00:00:00,1190
2021-10-10 00:00:00,1451
2021-10-17 00:00:00,1646
2021-10-24 00:00:00,1525
2021-10-31 00:00:00,1348
2021-11-07 00:00:00,2122
2021-11-14 00:00:00,2488
2021-11-21 00:00:00,2575
2021-11-28 00:00:00,744
2021-12-05 00:00:00,4769
2021-12-12 00:00:00,2960
2021-12-19 00:00:00,2846
2021-12-26 00:00:00,1570
2022-01-02 00:00:00,4182
2022-01-09 00:00:00,12226
2022-01-16 00:00:00,13995
2022-01-23 00:00:00,8441
2022-01-30 00:00:00,5051
2022-02-06 00:00:00,2530
2022-02-13 00:00:00,2279
2022-02-20 00:00:00,1710
2022-02-27 00:00:00,1344
2022-03-06 00:00:00,1084
2022-03-13 00:00:00,841
2022-03-20 00:00:00,920
2022-03-27 00:00:00,981
2022-04-03 00:00:00,951
2022-04-10 00:00:00,1191
2022-04-17 00:00:00,1622
2022-04-24 00:00:00,1921
2022-05-01 00:00:00,2308
2022-05-08 00:00:00,2257
2022-05-15 00:00:00,2372
2022-05-22 00:00:00,1383
2022-05-29 00:00:00,1606
2022-06-05 00:00:00,1216
2022-06-12 00:00:00,993
2022-06-19 00:00:00,746
2022-06-26 00:00:00,615
2022-07-03 00:00:00,638
2022-07-10 00:00:00,477
2022-07-17 00:00:00,550
2022-07-24 00:00:00,569
2022-07-31 00:00:00,385
2022-08-07 00:00:00,496
2022-08-14 00:00:00,634
2022-08-21 00:00:00,447
2022-08-28 00:00:00,543
2022-09-04 00:00:00,539
2022-09-11 00:00:00,432
2022-09-18 00:00:00,542
2022-09-25 00:00:00,558
2022-10-02 00:00:00,603
2022-10-09 00:00:00,606
2022-10-16 00:00:00,634
2022-10-23 00:00:00,663
2022-10-30 00:00:00,549
2022-11-06 00:00:00,514
2022-11-13 00:00:00,429
2022-11-20 00:00:00,305
2022-11-27 00:00:00,299
2022-12-04 00:00:00,335
2022-12-11 00:00:00,444
2022-12-18 00:00:00,436
2022-12-25 00:00:00,374
2023-01-01 00:00:00,362
2023-01-08 00:00:00,442
2023-01-15 00:00:00,463
2023-01-22 00:00:00,389
2023-01-29 00:00:00,503
2023-02-05 00:00:00,478
2023-02-12 00:00:00,317
2023-02-19 00:00:00,492
2023-02-26 00:00:00,0
2023-03-05 00:00:00,0
