date,OT
2020-03-08 00:00:00,2
2020-03-15 00:00:00,35
2020-03-22 00:00:00,183
2020-03-29 00:00:00,670
2020-04-05 00:00:00,1750
2020-04-12 00:00:00,2634
2020-04-19 00:00:00,3268
2020-04-26 00:00:00,4428
2020-05-03 00:00:00,5702
2020-05-10 00:00:00,5409
2020-05-17 00:00:00,6307
2020-05-24 00:00:00,5856
2020-05-31 00:00:00,8363
2020-06-07 00:00:00,6074
2020-06-14 00:00:00,3825
2020-06-21 00:00:00,3488
2020-06-28 00:00:00,3742
2020-07-05 00:00:00,4012
2020-07-12 00:00:00,4922
2020-07-19 00:00:00,6760
2020-07-26 00:00:00,7137
2020-08-02 00:00:00,7215
2020-08-09 00:00:00,8304
2020-08-16 00:00:00,6601
2020-08-23 00:00:00,6273
2020-08-30 00:00:00,6787
2020-09-06 00:00:00,7179
2020-09-13 00:00:00,6888
2020-09-20 00:00:00,6697
2020-09-27 00:00:00,5633
2020-10-04 00:00:00,5726
2020-10-11 00:00:00,6846
2020-10-18 00:00:00,7422
2020-10-25 00:00:00,7233
2020-11-01 00:00:00,9021
2020-11-08 00:00:00,9783
2020-11-15 00:00:00,9785
2020-11-22 00:00:00,15836
2020-11-29 00:00:00,18146
2020-12-06 00:00:00,19111
2020-12-13 00:00:00,26856
2020-12-20 00:00:00,24939
2020-12-27 00:00:00,26728
2021-01-03 00:00:00,30189
2021-01-10 00:00:00,35091
2021-01-17 00:00:00,40449
2021-01-24 00:00:00,33142
2021-01-31 00:00:00,32332
2021-02-07 00:00:00,24346
2021-02-14 00:00:00,20874
2021-02-21 00:00:00,14116
2021-02-28 00:00:00,11935
2021-03-07 00:00:00,9650
2021-03-14 00:00:00,9035
2021-03-21 00:00:00,10169
2021-03-28 00:00:00,10462
2021-04-04 00:00:00,9782
2021-04-11 00:00:00,10404
2021-04-18 00:00:00,10581
2021-04-25 00:00:00,8077
2021-05-02 00:00:00,7104
2021-05-09 00:00:00,5336
2021-05-16 00:00:00,3534
2021-05-23 00:00:00,2845
2021-05-30 00:00:00,2363
2021-06-06 00:00:00,1349
2021-06-13 00:00:00,1003
2021-06-20 00:00:00,905
2021-06-27 00:00:00,1179
2021-07-04 00:00:00,1244
2021-07-11 00:00:00,1601
2021-07-18 00:00:00,1826
2021-07-25 00:00:00,3801
2021-08-01 00:00:00,6084
2021-08-08 00:00:00,10280
2021-08-15 00:00:00,13162
2021-08-22 00:00:00,16253
2021-08-29 00:00:00,20573
2021-09-05 00:00:00,23515
2021-09-12 00:00:00,23660
2021-09-19 00:00:00,25370
2021-09-26 00:00:00,22668
2021-10-03 00:00:00,19463
2021-10-10 00:00:00,18831
2021-10-17 00:00:00,14779
2021-10-24 00:00:00,11817
2021-10-31 00:00:00,10016
2021-11-07 00:00:00,8771
2021-11-14 00:00:00,9295
2021-11-21 00:00:00,10623
2021-11-28 00:00:00,10279
2021-12-05 00:00:00,12860
2021-12-12 00:00:00,17470
2021-12-19 00:00:00,19321
2021-12-26 00:00:00,35946
2022-01-02 00:00:00,69182
2022-01-09 00:00:00,102518
2022-01-16 00:00:00,130381
2022-01-23 00:00:00,100296
2022-01-30 00:00:00,73890
2022-02-06 00:00:00,46419
2022-02-13 00:00:00,30655
2022-02-20 00:00:00,20008
2022-02-27 00:00:00,13825
2022-03-06 00:00:00,9281
2022-03-13 00:00:00,7421
2022-03-20 00:00:00,6498
2022-03-27 00:00:00,5372
2022-04-03 00:00:00,4668
2022-04-10 00:00:00,6095
2022-04-17 00:00:00,7422
2022-04-24 00:00:00,8001
2022-05-01 00:00:00,10190
2022-05-08 00:00:00,14020
2022-05-15 00:00:00,17710
2022-05-22 00:00:00,22102
2022-05-29 00:00:00,22523
2022-06-05 00:00:00,19887
2022-06-12 00:00:00,20114
2022-06-19 00:00:00,17777
2022-06-26 00:00:00,17379
2022-07-03 00:00:00,19654
2022-07-10 00:00:00,18349
2022-07-17 00:00:00,21244
2022-07-24 00:00:00,21149
2022-07-31 00:00:00,21350
2022-08-07 00:00:00,20291
2022-08-14 00:00:00,18867
2022-08-21 00:00:00,17183
2022-08-28 00:00:00,17422
2022-09-04 00:00:00,16908
2022-09-11 00:00:00,13195
2022-09-18 00:00:00,11600
2022-09-25 00:00:00,10080
2022-10-02 00:00:00,7098
2022-10-09 00:00:00,8522
2022-10-16 00:00:00,7047
2022-10-23 00:00:00,7142
2022-10-30 00:00:00,7537
2022-11-06 00:00:00,7324
2022-11-13 00:00:00,6962
2022-11-20 00:00:00,5865
2022-11-27 00:00:00,6045
2022-12-04 00:00:00,9419
2022-12-11 00:00:00,10147
2022-12-18 00:00:00,12379
2022-12-25 00:00:00,14950
2023-01-01 00:00:00,8603
2023-01-08 00:00:00,12646
2023-01-15 00:00:00,17929
2023-01-22 00:00:00,10554
2023-01-29 00:00:00,10611
2023-02-05 00:00:00,9754
2023-02-12 00:00:00,8210
2023-02-19 00:00:00,7350
2023-02-26 00:00:00,5850
2023-03-05 00:00:00,5234
