date,OT
2020-03-08 00:00:00,111
2020-03-15 00:00:00,481
2020-03-22 00:00:00,1394
2020-03-29 00:00:00,2468
2020-04-05 00:00:00,3360
2020-04-12 00:00:00,2784
2020-04-19 00:00:00,1369
2020-04-26 00:00:00,1543
2020-05-03 00:00:00,1664
2020-05-10 00:00:00,1706
2020-05-17 00:00:00,1542
2020-05-24 00:00:00,1395
2020-05-31 00:00:00,1874
2020-06-07 00:00:00,2376
2020-06-14 00:00:00,2080
2020-06-21 00:00:00,2716
2020-06-28 00:00:00,3393
2020-07-05 00:00:00,4692
2020-07-12 00:00:00,4790
2020-07-19 00:00:00,6002
2020-07-26 00:00:00,5588
2020-08-02 00:00:00,5428
2020-08-09 00:00:00,5002
2020-08-16 00:00:00,4085
2020-08-23 00:00:00,3960
2020-08-30 00:00:00,3381
2020-09-06 00:00:00,3100
2020-09-13 00:00:00,2761
2020-09-20 00:00:00,2869
2020-09-27 00:00:00,3972
2020-10-04 00:00:00,3812
2020-10-11 00:00:00,4205
2020-10-18 00:00:00,4658
2020-10-25 00:00:00,5093
2020-11-01 00:00:00,6183
2020-11-08 00:00:00,9619
2020-11-15 00:00:00,13502
2020-11-22 00:00:00,16519
2020-11-29 00:00:00,18012
2020-12-06 00:00:00,19652
2020-12-13 00:00:00,21657
2020-12-20 00:00:00,11791
2020-12-27 00:00:00,14119
2021-01-03 00:00:00,18677
2021-01-10 00:00:00,16199
2021-01-17 00:00:00,18344
2021-01-24 00:00:00,10259
2021-01-31 00:00:00,11399
2021-02-07 00:00:00,8549
2021-02-14 00:00:00,7901
2021-02-21 00:00:00,5747
2021-02-28 00:00:00,5979
2021-03-07 00:00:00,4759
2021-03-14 00:00:00,4893
2021-03-21 00:00:00,5357
2021-03-28 00:00:00,6333
2021-04-04 00:00:00,7288
2021-04-11 00:00:00,7827
2021-04-18 00:00:00,9319
2021-04-25 00:00:00,9763
2021-05-02 00:00:00,9397
2021-05-09 00:00:00,9271
2021-05-16 00:00:00,8685
2021-05-23 00:00:00,4829
2021-05-30 00:00:00,8355
2021-06-06 00:00:00,4208
2021-06-13 00:00:00,4109
2021-06-20 00:00:00,3037
2021-06-27 00:00:00,3201
2021-07-04 00:00:00,2079
2021-07-11 00:00:00,2620
2021-07-18 00:00:00,4964
2021-07-25 00:00:00,6168
2021-08-01 00:00:00,6841
2021-08-08 00:00:00,15564
2021-08-15 00:00:00,18654
2021-08-22 00:00:00,21159
2021-08-29 00:00:00,22535
2021-09-05 00:00:00,24502
2021-09-12 00:00:00,22242
2021-09-19 00:00:00,23020
2021-09-26 00:00:00,19744
2021-10-03 00:00:00,20414
2021-10-10 00:00:00,17085
2021-10-17 00:00:00,17021
2021-10-24 00:00:00,15495
2021-10-31 00:00:00,14924
2021-11-07 00:00:00,12263
2021-11-14 00:00:00,12779
2021-11-21 00:00:00,11641
2021-11-28 00:00:00,6033
2021-12-05 00:00:00,12684
2021-12-12 00:00:00,9577
2021-12-19 00:00:00,9917
2021-12-26 00:00:00,13412
2022-01-02 00:00:00,35334
2022-01-09 00:00:00,81996
2022-01-16 00:00:00,110385
2022-01-23 00:00:00,110379
2022-01-30 00:00:00,142662
2022-02-06 00:00:00,73266
2022-02-13 00:00:00,42833
2022-02-20 00:00:00,0
2022-02-27 00:00:00,8245
2022-03-06 00:00:00,12737
2022-03-13 00:00:00,7679
2022-03-20 00:00:00,7309
2022-03-27 00:00:00,6004
2022-04-03 00:00:00,5037
2022-04-10 00:00:00,10795
2022-04-17 00:00:00,7489
2022-04-24 00:00:00,8784
2022-05-01 00:00:00,14784
2022-05-08 00:00:00,9949
2022-05-15 00:00:00,22365
2022-05-22 00:00:00,22526
2022-05-29 00:00:00,20695
2022-06-05 00:00:00,18003
2022-06-12 00:00:00,19139
2022-06-19 00:00:00,17590
2022-06-26 00:00:00,18274
2022-07-03 00:00:00,19644
2022-07-10 00:00:00,18367
2022-07-17 00:00:00,17024
2022-07-24 00:00:00,18084
2022-07-31 00:00:00,10173
2022-08-07 00:00:00,18645
2022-08-14 00:00:00,11982
2022-08-21 00:00:00,10073
2022-08-28 00:00:00,7772
2022-09-04 00:00:00,8791
2022-09-11 00:00:00,6353
2022-09-18 00:00:00,7234
2022-09-25 00:00:00,7502
2022-10-02 00:00:00,7882
2022-10-09 00:00:00,6361
2022-10-16 00:00:00,5087
2022-10-23 00:00:00,4826
2022-10-30 00:00:00,2618
2022-11-06 00:00:00,4242
2022-11-13 00:00:00,4591
2022-11-20 00:00:00,4823
2022-11-27 00:00:00,5459
2022-12-04 00:00:00,5668
2022-12-11 00:00:00,6485
2022-12-18 00:00:00,6494
2022-12-25 00:00:00,6302
2023-01-01 00:00:00,4537
2023-01-08 00:00:00,5525
2023-01-15 00:00:00,5595
2023-01-22 00:00:00,4605
2023-01-29 00:00:00,4797
2023-02-05 00:00:00,5575
2023-02-12 00:00:00,5513
2023-02-19 00:00:00,4909
2023-02-26 00:00:00,4223
2023-03-05 00:00:00,4495
