date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,0
2020-03-22 00:00:00,16
2020-03-29 00:00:00,97
2020-04-05 00:00:00,211
2020-04-12 00:00:00,269
2020-04-19 00:00:00,297
2020-04-26 00:00:00,165
2020-05-03 00:00:00,140
2020-05-10 00:00:00,165
2020-05-17 00:00:00,132
2020-05-24 00:00:00,267
2020-05-31 00:00:00,251
2020-06-07 00:00:00,134
2020-06-14 00:00:00,146
2020-06-21 00:00:00,243
2020-06-28 00:00:00,299
2020-07-05 00:00:00,430
2020-07-12 00:00:00,982
2020-07-19 00:00:00,746
2020-07-26 00:00:00,899
2020-08-02 00:00:00,969
2020-08-09 00:00:00,837
2020-08-16 00:00:00,872
2020-08-23 00:00:00,706
2020-08-30 00:00:00,836
2020-09-06 00:00:00,1309
2020-09-13 00:00:00,1287
2020-09-20 00:00:00,1357
2020-09-27 00:00:00,1289
2020-10-04 00:00:00,1284
2020-10-11 00:00:00,1497
2020-10-18 00:00:00,1949
2020-10-25 00:00:00,1826
2020-11-01 00:00:00,2976
2020-11-08 00:00:00,3521
2020-11-15 00:00:00,5255
2020-11-22 00:00:00,6819
2020-11-29 00:00:00,6519
2020-12-06 00:00:00,8000
2020-12-13 00:00:00,8220
2020-12-20 00:00:00,9125
2020-12-27 00:00:00,8368
2021-01-03 00:00:00,10348
2021-01-10 00:00:00,10154
2021-01-17 00:00:00,7609
2021-01-24 00:00:00,6486
2021-01-31 00:00:00,5694
2021-02-07 00:00:00,3707
2021-02-14 00:00:00,2880
2021-02-21 00:00:00,2028
2021-02-28 00:00:00,2239
2021-03-07 00:00:00,1590
2021-03-14 00:00:00,2023
2021-03-21 00:00:00,2358
2021-03-28 00:00:00,2787
2021-04-04 00:00:00,2843
2021-04-11 00:00:00,2713
2021-04-18 00:00:00,2718
2021-04-25 00:00:00,2495
2021-05-02 00:00:00,2536
2021-05-09 00:00:00,2488
2021-05-16 00:00:00,2062
2021-05-23 00:00:00,1267
2021-05-30 00:00:00,1552
2021-06-06 00:00:00,945
2021-06-13 00:00:00,707
2021-06-20 00:00:00,443
2021-06-27 00:00:00,422
2021-07-04 00:00:00,345
2021-07-11 00:00:00,316
2021-07-18 00:00:00,468
2021-07-25 00:00:00,769
2021-08-01 00:00:00,1314
2021-08-08 00:00:00,2146
2021-08-15 00:00:00,2835
2021-08-22 00:00:00,5536
2021-08-29 00:00:00,9986
2021-09-05 00:00:00,10465
2021-09-12 00:00:00,12305
2021-09-19 00:00:00,12828
2021-09-26 00:00:00,11685
2021-10-03 00:00:00,9896
2021-10-10 00:00:00,8440
2021-10-17 00:00:00,7306
2021-10-24 00:00:00,6077
2021-10-31 00:00:00,6011
2021-11-07 00:00:00,5639
2021-11-14 00:00:00,4904
2021-11-21 00:00:00,5892
2021-11-28 00:00:00,1942
2021-12-05 00:00:00,9751
2021-12-12 00:00:00,6772
2021-12-19 00:00:00,7359
2021-12-26 00:00:00,4244
2022-01-02 00:00:00,9127
2022-01-09 00:00:00,29818
2022-01-16 00:00:00,29135
2022-01-23 00:00:00,31772
2022-01-30 00:00:00,26174
2022-02-06 00:00:00,18296
2022-02-13 00:00:00,12703
2022-02-20 00:00:00,5758
2022-02-27 00:00:00,6541
2022-03-06 00:00:00,3917
2022-03-13 00:00:00,2599
2022-03-20 00:00:00,1534
2022-03-27 00:00:00,821
2022-04-03 00:00:00,634
2022-04-10 00:00:00,550
2022-04-17 00:00:00,476
2022-04-24 00:00:00,906
2022-05-01 00:00:00,1408
2022-05-08 00:00:00,1726
2022-05-15 00:00:00,2598
2022-05-22 00:00:00,3723
2022-05-29 00:00:00,4702
2022-06-05 00:00:00,4108
2022-06-12 00:00:00,4000
2022-06-19 00:00:00,3025
2022-06-26 00:00:00,4176
2022-07-03 00:00:00,3951
2022-07-10 00:00:00,4230
2022-07-17 00:00:00,5444
2022-07-24 00:00:00,5890
2022-07-31 00:00:00,6330
2022-08-07 00:00:00,6168
2022-08-14 00:00:00,6151
2022-08-21 00:00:00,5428
2022-08-28 00:00:00,5681
2022-09-04 00:00:00,6236
2022-09-11 00:00:00,5670
2022-09-18 00:00:00,4603
2022-09-25 00:00:00,3193
2022-10-02 00:00:00,2321
2022-10-09 00:00:00,1903
2022-10-16 00:00:00,1647
2022-10-23 00:00:00,1722
2022-10-30 00:00:00,1536
2022-11-06 00:00:00,1990
2022-11-13 00:00:00,1319
2022-11-20 00:00:00,1587
2022-11-27 00:00:00,903
2022-12-04 00:00:00,2167
2022-12-11 00:00:00,1762
2022-12-18 00:00:00,2229
2022-12-25 00:00:00,2291
2023-01-01 00:00:00,3107
2023-01-08 00:00:00,3054
2023-01-15 00:00:00,2148
2023-01-22 00:00:00,1888
2023-01-29 00:00:00,1825
2023-02-05 00:00:00,1801
2023-02-12 00:00:00,1663
2023-02-19 00:00:00,2146
2023-02-26 00:00:00,0
2023-03-05 00:00:00,3514
