date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,28
2020-03-22 00:00:00,353
2020-03-29 00:00:00,783
2020-04-05 00:00:00,1156
2020-04-12 00:00:00,1021
2020-04-19 00:00:00,1005
2020-04-26 00:00:00,1566
2020-05-03 00:00:00,2052
2020-05-10 00:00:00,2255
2020-05-17 00:00:00,2324
2020-05-24 00:00:00,2734
2020-05-31 00:00:00,3126
2020-06-07 00:00:00,2432
2020-06-14 00:00:00,1923
2020-06-21 00:00:00,2061
2020-06-28 00:00:00,2924
2020-07-05 00:00:00,3834
2020-07-12 00:00:00,4871
2020-07-19 00:00:00,5867
2020-07-26 00:00:00,6512
2020-08-02 00:00:00,6097
2020-08-09 00:00:00,5630
2020-08-16 00:00:00,5187
2020-08-23 00:00:00,4721
2020-08-30 00:00:00,4875
2020-09-06 00:00:00,5856
2020-09-13 00:00:00,7992
2020-09-20 00:00:00,12042
2020-09-27 00:00:00,14635
2020-10-04 00:00:00,16801
2020-10-11 00:00:00,17573
2020-10-18 00:00:00,15950
2020-10-25 00:00:00,42731
2020-11-01 00:00:00,32505
2020-11-08 00:00:00,40488
2020-11-15 00:00:00,48014
2020-11-22 00:00:00,46314
2020-11-29 00:00:00,32816
2020-12-06 00:00:00,32013
2020-12-13 00:00:00,27889
2020-12-20 00:00:00,23768
2020-12-27 00:00:00,15856
2021-01-03 00:00:00,17665
2021-01-10 00:00:00,24015
2021-01-17 00:00:00,17906
2021-01-24 00:00:00,13211
2021-01-31 00:00:00,10763
2021-02-07 00:00:00,8642
2021-02-14 00:00:00,6431
2021-02-21 00:00:00,5027
2021-02-28 00:00:00,5127
2021-03-07 00:00:00,4287
2021-03-14 00:00:00,3705
2021-03-21 00:00:00,4048
2021-03-28 00:00:00,4726
2021-04-04 00:00:00,5094
2021-04-11 00:00:00,6287
2021-04-18 00:00:00,6031
2021-04-25 00:00:00,4981
2021-05-02 00:00:00,5159
2021-05-09 00:00:00,4495
2021-05-16 00:00:00,3488
2021-05-23 00:00:00,2754
2021-05-30 00:00:00,1581
2021-06-06 00:00:00,1147
2021-06-13 00:00:00,925
2021-06-20 00:00:00,598
2021-06-27 00:00:00,579
2021-07-04 00:00:00,607
2021-07-11 00:00:00,745
2021-07-18 00:00:00,1222
2021-07-25 00:00:00,2251
2021-08-01 00:00:00,5121
2021-08-08 00:00:00,8047
2021-08-15 00:00:00,9612
2021-08-22 00:00:00,9743
2021-08-29 00:00:00,12753
2021-09-05 00:00:00,13882
2021-09-12 00:00:00,12737
2021-09-19 00:00:00,17900
2021-09-26 00:00:00,21938
2021-10-03 00:00:00,20377
2021-10-10 00:00:00,20870
2021-10-17 00:00:00,20150
2021-10-24 00:00:00,12305
2021-10-31 00:00:00,14945
2021-11-07 00:00:00,17190
2021-11-14 00:00:00,21574
2021-11-21 00:00:00,24494
2021-11-28 00:00:00,22576
2021-12-05 00:00:00,29397
2021-12-12 00:00:00,26406
2021-12-19 00:00:00,30097
2021-12-26 00:00:00,29251
2022-01-02 00:00:00,37221
2022-01-09 00:00:00,65403
2022-01-16 00:00:00,111546
2022-01-23 00:00:00,148595
2022-01-30 00:00:00,57213
2022-02-06 00:00:00,31984
2022-02-13 00:00:00,18147
2022-02-20 00:00:00,10830
2022-02-27 00:00:00,6079
2022-03-06 00:00:00,4121
2022-03-13 00:00:00,3078
2022-03-20 00:00:00,2654
2022-03-27 00:00:00,2502
2022-04-03 00:00:00,2953
2022-04-10 00:00:00,4437
2022-04-17 00:00:00,4735
2022-04-24 00:00:00,6504
2022-05-01 00:00:00,9157
2022-05-08 00:00:00,12486
2022-05-15 00:00:00,16278
2022-05-22 00:00:00,15443
2022-05-29 00:00:00,14784
2022-06-05 00:00:00,13672
2022-06-12 00:00:00,12613
2022-06-19 00:00:00,10766
2022-06-26 00:00:00,11218
2022-07-03 00:00:00,10483
2022-07-10 00:00:00,9875
2022-07-17 00:00:00,12106
2022-07-24 00:00:00,13307
2022-07-31 00:00:00,14075
2022-08-07 00:00:00,13171
2022-08-14 00:00:00,12259
2022-08-21 00:00:00,11283
2022-08-28 00:00:00,11662
2022-09-04 00:00:00,9334
2022-09-11 00:00:00,7835
2022-09-18 00:00:00,8635
2022-09-25 00:00:00,8092
2022-10-02 00:00:00,6656
2022-10-09 00:00:00,7114
2022-10-16 00:00:00,7083
2022-10-23 00:00:00,7181
2022-10-30 00:00:00,7463
2022-11-06 00:00:00,7131
2022-11-13 00:00:00,6689
2022-11-20 00:00:00,5997
2022-11-27 00:00:00,6129
2022-12-04 00:00:00,7904
2022-12-11 00:00:00,8274
2022-12-18 00:00:00,8786
2022-12-25 00:00:00,8090
2023-01-01 00:00:00,6403
2023-01-08 00:00:00,6353
2023-01-15 00:00:00,5470
2023-01-22 00:00:00,4370
2023-01-29 00:00:00,4233
2023-02-05 00:00:00,4279
2023-02-12 00:00:00,4394
2023-02-19 00:00:00,4425
2023-02-26 00:00:00,4254
2023-03-05 00:00:00,4502
