date,OT
2020-03-08 00:00:00,0
2020-03-15 00:00:00,2
2020-03-22 00:00:00,24
2020-03-29 00:00:00,60
2020-04-05 00:00:00,111
2020-04-12 00:00:00,73
2020-04-19 00:00:00,43
2020-04-26 00:00:00,189
2020-05-03 00:00:00,84
2020-05-10 00:00:00,76
2020-05-17 00:00:00,92
2020-05-24 00:00:00,84
2020-05-31 00:00:00,65
2020-06-07 00:00:00,44
2020-06-14 00:00:00,113
2020-06-21 00:00:00,137
2020-06-28 00:00:00,220
2020-07-05 00:00:00,217
2020-07-12 00:00:00,228
2020-07-19 00:00:00,264
2020-07-26 00:00:00,349
2020-08-02 00:00:00,333
2020-08-09 00:00:00,242
2020-08-16 00:00:00,236
2020-08-23 00:00:00,292
2020-08-30 00:00:00,251
2020-09-06 00:00:00,203
2020-09-13 00:00:00,314
2020-09-20 00:00:00,526
2020-09-27 00:00:00,761
2020-10-04 00:00:00,871
2020-10-11 00:00:00,1107
2020-10-18 00:00:00,1414
2020-10-25 00:00:00,2016
2020-11-01 00:00:00,2682
2020-11-08 00:00:00,3587
2020-11-15 00:00:00,5184
2020-11-22 00:00:00,5675
2020-11-29 00:00:00,4320
2020-12-06 00:00:00,3828
2020-12-13 00:00:00,3043
2020-12-20 00:00:00,2302
2020-12-27 00:00:00,1538
2021-01-03 00:00:00,1675
2021-01-10 00:00:00,1957
2021-01-17 00:00:00,2531
2021-01-24 00:00:00,1535
2021-01-31 00:00:00,1014
2021-02-07 00:00:00,715
2021-02-14 00:00:00,509
2021-02-21 00:00:00,659
2021-02-28 00:00:00,599
2021-03-07 00:00:00,370
2021-03-14 00:00:00,399
2021-03-21 00:00:00,418
2021-03-28 00:00:00,465
2021-04-04 00:00:00,401
2021-04-11 00:00:00,426
2021-04-18 00:00:00,394
2021-04-25 00:00:00,429
2021-05-02 00:00:00,446
2021-05-09 00:00:00,481
2021-05-16 00:00:00,456
2021-05-23 00:00:00,582
2021-05-30 00:00:00,483
2021-06-06 00:00:00,484
2021-06-13 00:00:00,486
2021-06-20 00:00:00,376
2021-06-27 00:00:00,461
2021-07-04 00:00:00,494
2021-07-11 00:00:00,521
2021-07-18 00:00:00,557
2021-07-25 00:00:00,728
2021-08-01 00:00:00,876
2021-08-08 00:00:00,1326
2021-08-15 00:00:00,1819
2021-08-22 00:00:00,2399
2021-08-29 00:00:00,2796
2021-09-05 00:00:00,3739
2021-09-12 00:00:00,3437
2021-09-19 00:00:00,3315
2021-09-26 00:00:00,3908
2021-10-03 00:00:00,3303
2021-10-10 00:00:00,3134
2021-10-17 00:00:00,2834
2021-10-24 00:00:00,3037
2021-10-31 00:00:00,2752
2021-11-07 00:00:00,2392
2021-11-14 00:00:00,2165
2021-11-21 00:00:00,1835
2021-11-28 00:00:00,946
2021-12-05 00:00:00,1548
2021-12-12 00:00:00,1050
2021-12-19 00:00:00,722
2021-12-26 00:00:00,658
2022-01-02 00:00:00,1396
2022-01-09 00:00:00,4219
2022-01-16 00:00:00,6611
2022-01-23 00:00:00,8901
2022-01-30 00:00:00,9157
2022-02-06 00:00:00,5316
2022-02-13 00:00:00,2739
2022-02-20 00:00:00,1501
2022-02-27 00:00:00,827
2022-03-06 00:00:00,517
2022-03-13 00:00:00,318
2022-03-20 00:00:00,163
2022-03-27 00:00:00,149
2022-04-03 00:00:00,111
2022-04-10 00:00:00,114
2022-04-17 00:00:00,0
2022-04-24 00:00:00,134
2022-05-01 00:00:00,158
2022-05-08 00:00:00,195
2022-05-15 00:00:00,286
2022-05-22 00:00:00,378
2022-05-29 00:00:00,452
2022-06-05 00:00:00,611
2022-06-12 00:00:00,1435
2022-06-19 00:00:00,2253
2022-06-26 00:00:00,1180
2022-07-03 00:00:00,1116
2022-07-10 00:00:00,1163
2022-07-17 00:00:00,1767
2022-07-24 00:00:00,1292
2022-07-31 00:00:00,1353
2022-08-07 00:00:00,1291
2022-08-14 00:00:00,1151
2022-08-21 00:00:00,1014
2022-08-28 00:00:00,726
2022-09-04 00:00:00,615
2022-09-11 00:00:00,462
2022-09-18 00:00:00,456
2022-09-25 00:00:00,510
2022-10-02 00:00:00,472
2022-10-09 00:00:00,437
2022-10-16 00:00:00,470
2022-10-23 00:00:00,397
2022-10-30 00:00:00,412
2022-11-06 00:00:00,422
2022-11-13 00:00:00,500
2022-11-20 00:00:00,472
2022-11-27 00:00:00,588
2022-12-04 00:00:00,499
2022-12-11 00:00:00,770
2022-12-18 00:00:00,503
2022-12-25 00:00:00,383
2023-01-01 00:00:00,266
2023-01-08 00:00:00,304
2023-01-15 00:00:00,234
2023-01-22 00:00:00,201
2023-01-29 00:00:00,188
2023-02-05 00:00:00,0
2023-02-12 00:00:00,1078
2023-02-19 00:00:00,254
2023-02-26 00:00:00,311
2023-03-05 00:00:00,343
