date,OT
2020-03-08 00:00:00,499
2020-03-15 00:00:00,2696
2020-03-22 00:00:00,31710
2020-03-29 00:00:00,108600
2020-04-05 00:00:00,209573
2020-04-12 00:00:00,218434
2020-04-19 00:00:00,197337
2020-04-26 00:00:00,206649
2020-05-03 00:00:00,190652
2020-05-10 00:00:00,170872
2020-05-17 00:00:00,155388
2020-05-24 00:00:00,155064
2020-05-31 00:00:00,144034
2020-06-07 00:00:00,148695
2020-06-14 00:00:00,149929
2020-06-21 00:00:00,189761
2020-06-28 00:00:00,277291
2020-07-05 00:00:00,347620
2020-07-12 00:00:00,410565
2020-07-19 00:00:00,452195
2020-07-26 00:00:00,458703
2020-08-02 00:00:00,426505
2020-08-09 00:00:00,396061
2020-08-16 00:00:00,372155
2020-08-23 00:00:00,299096
2020-08-30 00:00:00,292841
2020-09-06 00:00:00,281799
2020-09-13 00:00:00,256026
2020-09-20 00:00:00,291617
2020-09-27 00:00:00,286018
2020-10-04 00:00:00,300436
2020-10-11 00:00:00,348113
2020-10-18 00:00:00,394038
2020-10-25 00:00:00,493557
2020-11-01 00:00:00,589923
2020-11-08 00:00:00,818658
2020-11-15 00:00:00,1048060
2020-11-22 00:00:00,1212396
2020-11-29 00:00:00,1175780
2020-12-06 00:00:00,1406989
2020-12-13 00:00:00,1525552
2020-12-20 00:00:00,1548533
2020-12-27 00:00:00,1315272
2021-01-03 00:00:00,1567507
2021-01-10 00:00:00,1739963
2021-01-17 00:00:00,1528000
2021-01-24 00:00:00,1186483
2021-01-31 00:00:00,1029425
2021-02-07 00:00:00,828086
2021-02-14 00:00:00,638864
2021-02-21 00:00:00,460905
2021-02-28 00:00:00,479336
2021-03-07 00:00:00,413797
2021-03-14 00:00:00,377152
2021-03-21 00:00:00,383287
2021-03-28 00:00:00,442685
2021-04-04 00:00:00,451352
2021-04-11 00:00:00,489309
2021-04-18 00:00:00,475060
2021-04-25 00:00:00,404532
2021-05-02 00:00:00,345351
2021-05-09 00:00:00,285735
2021-05-16 00:00:00,231615
2021-05-23 00:00:00,176968
2021-05-30 00:00:00,138957
2021-06-06 00:00:00,100569
2021-06-13 00:00:00,98057
2021-06-20 00:00:00,80628
2021-06-27 00:00:00,86399
2021-07-04 00:00:00,90654
2021-07-11 00:00:00,141540
2021-07-18 00:00:00,231704
2021-07-25 00:00:00,372249
2021-08-01 00:00:00,570921
2021-08-08 00:00:00,769182
2021-08-15 00:00:00,923899
2021-08-22 00:00:00,1045196
2021-08-29 00:00:00,1095996
2021-09-05 00:00:00,1164794
2021-09-12 00:00:00,1026337
2021-09-19 00:00:00,1018131
2021-09-26 00:00:00,844108
2021-10-03 00:00:00,750005
2021-10-10 00:00:00,661939
2021-10-17 00:00:00,581683
2021-10-24 00:00:00,500026
2021-10-31 00:00:00,519252
2021-11-07 00:00:00,521256
2021-11-14 00:00:00,564354
2021-11-21 00:00:00,655083
2021-11-28 00:00:00,509530
2021-12-05 00:00:00,860042
2021-12-12 00:00:00,829257
2021-12-19 00:00:00,949520
2021-12-26 00:00:00,1465784
2022-01-02 00:00:00,2988017
2022-01-09 00:00:00,5173064
2022-01-16 00:00:00,5641443
2022-01-23 00:00:00,4920462
2022-01-30 00:00:00,3577730
2022-02-06 00:00:00,1990650
2022-02-13 00:00:00,1234083
2022-02-20 00:00:00,692245
2022-02-27 00:00:00,459419
2022-03-06 00:00:00,331119
2022-03-13 00:00:00,235962
2022-03-20 00:00:00,215462
2022-03-27 00:00:00,210370
2022-04-03 00:00:00,191695
2022-04-10 00:00:00,248732
2022-04-17 00:00:00,232468
2022-04-24 00:00:00,349568
2022-05-01 00:00:00,383194
2022-05-08 00:00:00,508818
2022-05-15 00:00:00,604940
2022-05-22 00:00:00,799416
2022-05-29 00:00:00,700889
2022-06-05 00:00:00,782239
2022-06-12 00:00:00,736424
2022-06-19 00:00:00,731422
2022-06-26 00:00:00,712079
2022-07-03 00:00:00,801468
2022-07-10 00:00:00,749112
2022-07-17 00:00:00,951323
2022-07-24 00:00:00,855700
2022-07-31 00:00:00,927792
2022-08-07 00:00:00,782462
2022-08-14 00:00:00,804707
2022-08-21 00:00:00,599113
2022-08-28 00:00:00,661173
2022-09-04 00:00:00,549824
2022-09-11 00:00:00,497280
2022-09-18 00:00:00,406199
2022-09-25 00:00:00,404175
2022-10-02 00:00:00,325175
2022-10-09 00:00:00,301002
2022-10-16 00:00:00,252210
2022-10-23 00:00:00,260994
2022-10-30 00:00:00,257065
2022-11-06 00:00:00,290962
2022-11-13 00:00:00,256890
2022-11-20 00:00:00,313694
2022-11-27 00:00:00,262174
2022-12-04 00:00:00,410520
2022-12-11 00:00:00,447843
2022-12-18 00:00:00,483025
2022-12-25 00:00:00,470130
2023-01-01 00:00:00,387426
2023-01-08 00:00:00,503328
2023-01-15 00:00:00,372812
2023-01-22 00:00:00,354525
2023-01-29 00:00:00,278219
2023-02-05 00:00:00,328687
2023-02-12 00:00:00,255765
2023-02-19 00:00:00,273198
2023-02-26 00:00:00,246686
2023-03-05 00:00:00,264212
